"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"0","45.8724738180178","36.328679361721385","0.0164794921875","0.028564453125","0.00439453125","1560","0.001724147079285604","24","0.001724147079285604","0","0.001724147079285604","0.001724147079285604","1:68","1:0.007137150225452554","1:0.008216049110516405","0.0164794921875","Yes"
"1","189.83981660526817","209.00244522023772","0.0538330078125","0.039794921875","0.06787109375","1560","0.00030749305269197393","24","0.00030749305269197393","0","0.00030749305269197393","0.00030749305269197393","2:68;0:68","2:0.0021478416619797047;0:0.007137150225452554","2:0.003835754899861016;0:0.008216049110516405","0.0538330078125","Yes"
"2","229.58328306663387","160.64574828254808","0.00537109375","0.0068359375","0.00390625","1560","0.00019653427521723154","24","0.00019653427521723154","0","0.00019653427521723154","0.00019653427521723154","1:68;3:68","1:0.0021478416619797047;3:0.001797754400882312","1:0.003835754899861016;3:0.0035256363794414214","0.00537109375","Yes"
"3","96.32935999405643","42.15933562619394","0.04296875","0.041259765625","0.044677734375","1560","0.00018677393101243487","24","0.00018677393101243487","0","0.00018677393101243487","0.00018677393101243487","16:68;2:68;4:68","16:0.002858102475474328;2:0.001797754400882312;4:0.0021152194614017517","16:0.00235874106229797;2:0.0035256363794414214;4:0.0017940452896377523","0.04296875","Yes"
"4","175.75302373047097","127.39494297174612","0.00927734375","0.009765625","0.0087890625","1560","0.0002589319766278328","24","0.0002589319766278328","0","0.0002589319766278328","0.0002589319766278328","3:68;5:68","3:0.0021152194614017517;5:0.002348978992494699","3:0.0017940452896377523;5:0.0017520237198955513","0.00927734375","Yes"
"5","167.07469504397798","164.56729833513452","0.050537109375","0.049072265625","0.052001953125","1560","0.0002600405201276153","24","0.0002600405201276153","0","0.0002600405201276153","0.0002600405201276153","6:68;4:68","6:0.011363795560021595;4:0.002348978992494699","6:0.004312819710928506;4:0.0017520237198955513","0.050537109375","Yes"
"6","230.11709680889444","160.66411404176154","0.0220947265625","0.02099609375","0.023193359375","1560","0.00020382084300576208","24","0.00020382084300576208","0","0.00020382084300576208","0.00020382084300576208","5:68;7:68","5:0.011363795560021595;7:0.0022914622485623315","5:0.004312819710928506;7:0.002283562161297714","0.0220947265625","Yes"
"7","151.9889114450549","46.21716352688882","0.0294189453125","0.04052734375","0.018310546875","1560","0.00034343976970553923","24","0.00034343976970553923","0","0.00034343976970553923","0.00034343976970553923","17:68;6:68;8:68","17:0.003193083534854868;6:0.0022914622485623315;8:0.002661088800791217","17:0.0031236257058134542;6:0.002283562161297714;8:0.002852392931841613","0.0294189453125","Yes"
"8","148.72100971776538","34.96528579026814","0.013671875","0.02001953125","0.00732421875","1560","0.0003440468035853796","24","0.0003440468035853796","0","0.0003440468035853796","0.0003440468035853796","9:68;7:68","9:0.0021202200441229058;7:0.002661088800791217","9:0.0020281667656006086;7:0.002852392931841613","0.013671875","Yes"
"9","213.25943471806107","23.990778495937942","0.02001953125","0.01806640625","0.02197265625","1560","0.00020020892113665545","24","0.00020020892113665545","0","0.00020020892113665545","0.00020020892113665545","8:68;10:68","8:0.0021202200441229058;10:0.0018004145432616026","8:0.0020281667656006086;10:0.0020059620827901636","0.02001953125","Yes"
