"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","305.8380556560197","44.43619752355095","0.017578125","0.021484375","0.013671875","2584","0.00040691230590422496","36","0.00040691230590422496","0","0.00040691230590422496","0.00040691230590422496","1:0.0024526945898905306","1:68","1:0.0019858212285008003","0.017578125","Yes"
"1","192.30049942462014","160.03193406940136","0.004638671875","0.0078125","0.00146484375","2584","0.00022577177949789819","36","0.00022577177949789819","0","0.00022577177949789819","0.00022577177949789819","2:0.0009402429959683434;0:0.0024526945898905306","2:68;0:68","2:0.0010346363169942419;0:0.0019858212285008003","0.004638671875","Yes"
"2","295.3046713936187","401.95048527732683","0.006103515625","0.00927734375","0.0029296875","2584","0.00009773114489574983","36","0.00009773114489574983","0","0.00009773114489574983","0.00009773114489574983","1:0.0009402429959683434;3:0.0012832700444043998","1:68;3:68","1:0.0010346363169942419;3:0.0011427946978058157","0.006103515625","Yes"
"3","226.39224000797063","170.64448159053177","0.00830078125","0.0087890625","0.0078125","2584","0.00028202598456507653","36","0.00028202598456507653","0","0.00028202598456507653","0.00028202598456507653","16:0.0021965518521609995;2:0.0012832700444043998;4:0.001962458805138262","16:68;2:68;4:80","16:0.002118328768070138;2:0.0011427946978058157;4:0.0016633053796554498","0.00830078125","Yes"
"4","101.58952578582917","106.01495544132067","0.00634765625","0.01220703125","0.00048828125","2584","0.0003234463237101907","36","0.0003234463237101907","0","0.0003234463237101907","0.0003234463237101907","3:0.001962458805138262;5:0.001596555312003145","3:80;5:68","3:0.0016633053796554498;5:0.001545179276409514","0.00634765625","Yes"
"5","251.7160755157381","149.81998543689681","0.003662109375","0.0048828125","0.00244140625","2584","0.0002227502579364581","36","0.0002227502579364581","0","0.0002227502579364581","0.0002227502579364581","6:0.0018902856267212498;4:0.001596555312003145","6:68;4:68","6:0.0011292858787515236;4:0.001545179276409514","0.003662109375","Yes"
"6","364.5832675986809","264.27712911504454","0.003662109375","0.00439453125","0.0029296875","2584","0.0003961149762470612","36","0.0003961149762470612","0","0.0003961149762470612","0.0003961149762470612","5:0.0018902856267212498;7:0.0013041815434443604","5:68;7:68","5:0.0011292858787515236;7:0.001262436402712508","0.003662109375","Yes"
"7","193.75312595122878","96.93143245189503","0.00634765625","0.00927734375","0.00341796875","2584","0.0001767383025891999","36","0.0001767383025891999","0","0.0001767383025891999","0.0001767383025891999","17:0.001699647596547893;6:0.0013041815434443604;8:0.002288576354149141","17:68;6:68;8:80","17:0.0015772898565088178;6:0.001262436402712508;8:0.0021736669150527466","0.00634765625","Yes"
"8","281.83658570416776","120.2059183456077","0.002685546875","0.0048828125","0.00048828125","2584","0.0002439964256904286","36","0.0002439964256904286","0","0.0002439964256904286","0.0002439964256904286","9:0.0020124791836383105;7:0.002288576354149141","9:68;7:80","9:0.0019344719335833427;7:0.0021736669150527466","0.002685546875","Yes"
"9","227.6165477552719","226.2801524592297","0.009521484375","0.013671875","0.00537109375","2584","0.00013091685350447482","36","0.00013091685350447482","0","0.00013091685350447482","0.00013091685350447482","8:0.0020124791836383105;10:0.0011324774546602467","8:68;10:68","8:0.0019344719335833427;10:0.0013634659998850995","0.009521484375","Yes"
"10","280.63527163738195","143.01065799868954","0.0068359375","0.00830078125","0.00537109375","2584","0.00016683580910633618","36","0.00016683580910633618","0","0.00016683580910633618","0.00016683580910633618","9:0.0011324774546602467;11:0.0013493316724917659","9:68;11:68","9:0.0013634659998850995;11:0.0016321803024211268","0.0068359375","Yes"
"11","296.43581031189086","86.51658577545116","0.0048828125","0.00537109375","0.00439453125","2584","0.0006253738051814492","36","0.0006253738051814492","0","0.0006253738051814492","0.0006253738051814492","18:0.0019636055258829554;10:0.0013493316724917659;12:0.0012793733987929712","18:68;10:68;12:68","18:0.0024829156251839624;10:0.0016321803024211268;12:0.0013901930722741984","0.0048828125","Yes"
"12","320.27329158209596","149.96156300034002","0.002685546875","0.00244140625","0.0029296875","2584","0.0001551355809645113","36","0.0001551355809645113","0","0.0001551355809645113","0.0001551355809645113","13:0.0013595206559723627;11:0.0012793733987929712","13:80;11:68","13:0.00145625462532592;11:0.0013901930722741984","0.002685546875","Yes"
"13","230.71282081979777","221.60960125083767","0.009033203125","0.00732421875","0.0107421875","2584","0.00025917580382608696","36","0.00025917580382608696","0","0.00025917580382608696","0.00025917580382608696","12:0.0013595206559723627;14:0.0022567014633206872","12:80;14:80","12:0.00145625462532592;14:0.004803657198251793","0.009033203125","Yes"
"14","207.1753969255636","115.59627042061204","0.005615234375","0.0078125","0.00341796875","2584","0.0001505305210119031","36","0.0001505305210119031","0","0.0001505305210119031","0.0001505305210119031","15:0.0022528503177517423;13:0.0022567014633206872","15:68;13:80","15:0.004344452093181905;13:0.004803657198251793","0.005615234375","Yes"
"15","245.903813942504","29.188263555339116","0.005859375","0.00634765625","0.00537109375","2584","0.00012292490605255598","36","0.00012292490605255598","0","0.00012292490605255598","0.00012292490605255598","14:0.0022528503177517423;19:0.002060905028459431","14:68;19:68","14:0.004344452093181905;19:0.0030494705051263837","0.005859375","Yes"
"16","128.6473115369642","66.19778355031904","0.010498046875","0.01416015625","0.0068359375","2584","0.0005334177626245324","36","0.0005334177626245324","0","0.0005334177626245324","0.0005334177626245324","23:0.0027393277635359703;3:0.0021965518521609995","23:68;3:68","23:0.003387828047106606;3:0.002118328768070138","0.010498046875","Yes"
