date,qubit,T1_us,T2_us,frequency_GHz,r_param,t_min_us,t_min_over_T2,purity_min,cpsi_min,distance_from_quarter,crosses_quarter,t_star_us,t_star_over_T2,t_coherence_crossing_us,t_coh_over_T2
2025-08-14,0,159.027,246.863,,0.77617,117.05,0.474148,0.829417,0.658834,0.408834,False,,,342.225,1.386294
2025-08-14,1,230.561,179.266,,0.388761,147.102,0.820578,0.70811,0.41622,0.16622,False,,,248.515,1.386294
2025-08-14,2,160.925,141.158,,0.438582,107.147,0.759061,0.727732,0.455464,0.205464,False,,,195.686,1.386294
2025-08-14,3,230.917,173.932,,0.376611,145.572,0.836946,0.703094,0.406188,0.156188,False,,,241.121,1.386294
2025-08-14,4,148.873,170.254,,0.571807,106.632,0.626312,0.773654,0.547308,0.297308,False,,,236.022,1.386294
2025-08-14,5,104.203,96.012,,0.460698,70.494,0.734221,0.735983,0.471965,0.221965,False,,,133.101,1.386294
2025-08-14,6,44.751,77.217,,0.862731,32.503,0.420932,0.848739,0.697478,0.447478,False,,,107.046,1.386294
2025-08-14,7,228.539,163.09,,0.35681,141.067,0.864967,0.694714,0.389429,0.139429,False,,,226.091,1.386294
2025-08-14,8,259.069,201.33,,0.388564,165.259,0.820839,0.708029,0.416059,0.166059,False,,,279.102,1.386294
2025-08-14,9,167.805,163.41,,0.486906,115.438,0.70643,0.745419,0.490837,0.240837,False,,,226.535,1.386294
2025-08-14,10,168.509,245.945,,0.72977,124.205,0.505011,0.818083,0.636166,0.386166,False,,,340.953,1.386294
2025-08-14,11,133.891,169.404,,0.632619,97.6,0.576136,0.791906,0.583812,0.333812,False,,,234.843,1.386294
2025-08-14,12,300.488,246.135,,0.409559,195.399,0.793871,0.716482,0.432964,0.182964,False,,,341.216,1.386294
2025-08-14,13,193.046,177.664,,0.460161,130.549,0.734809,0.735785,0.471571,0.221571,False,,,246.295,1.386294
2025-08-14,14,320.45,160.929,,0.251099,169.566,1.053666,0.645198,0.290395,0.040395,False,,,223.095,1.386294
2025-08-14,15,189.011,34.217,,0.090516,57.363,1.676445,0.551751,0.103503,-0.146497,True,24.784,0.724318,47.435,1.386294
2025-08-14,16,181.941,175.109,,0.481225,124.733,0.712313,0.743404,0.486807,0.236807,False,,,242.753,1.386294
2025-08-14,17,141.561,87.981,,0.310754,82.509,0.937797,0.674179,0.348357,0.098357,False,,,121.968,1.386294
2025-08-14,18,243.353,228.632,,0.469755,165.627,0.724426,0.739284,0.478569,0.228569,False,,,316.952,1.386294
2025-08-14,19,59.326,71.058,,0.598877,42.873,0.603346,0.781969,0.563938,0.313938,False,,,98.507,1.386294
2025-08-14,20,276.505,146.358,,0.264657,149.967,1.024656,0.652036,0.304073,0.054073,False,,,202.895,1.386294
2025-08-14,21,12.121,11.848,,0.488747,8.347,0.704539,0.746068,0.492136,0.242136,False,,,16.425,1.386294
2025-08-14,22,92.029,102.962,,0.559401,65.609,0.637209,0.769737,0.539474,0.289474,False,,,142.736,1.386294
2025-08-14,23,146.745,135.996,,0.463375,99.454,0.731304,0.736963,0.473926,0.223926,False,,,188.53,1.386294
2025-08-14,24,192.137,216.903,,0.564449,137.245,0.632745,0.771339,0.542678,0.292678,False,,,300.692,1.386294
