date,qubit,T1_us,T2_us,frequency_GHz,r_param,t_min_us,t_min_over_T2,purity_min,cpsi_min,distance_from_quarter,crosses_quarter,t_star_us,t_star_over_T2,t_coherence_crossing_us,t_coh_over_T2
2026-02-04,0,48.539,36.452,,0.375488,30.564,0.838489,0.702626,0.405251,0.155251,False,,,50.533,1.386294
2026-02-04,1,146.239,150.29,,0.513852,102.122,0.679497,0.754753,0.509506,0.259506,False,,,208.346,1.386294
2026-02-04,2,271.06,165.312,,0.304935,156.697,0.947892,0.671475,0.342949,0.092949,False,,,229.17,1.386294
2026-02-04,3,90.206,145.098,,0.804257,66.207,0.456291,0.835939,0.671877,0.421877,False,,,201.149,1.386294
2026-02-04,4,206.647,136.577,,0.330461,123.628,0.905186,0.683151,0.366301,0.116301,False,,,189.336,1.386294
2026-02-04,5,254.594,173.373,,0.34049,154.207,0.889452,0.687609,0.375218,0.125218,False,,,240.346,1.386294
2026-02-04,6,156.008,115.55,,0.370333,97.714,0.845643,0.700465,0.40093,0.15093,False,,,160.186,1.386294
2026-02-04,7,117.763,45.915,,0.194946,54.979,1.197416,0.615171,0.230343,-0.019657,True,42.144,0.917866,63.652,1.386294
2026-02-04,8,199.44,15.771,,0.039538,35.683,2.262603,0.518836,0.037672,-0.212328,True,11.025,0.699072,21.863,1.386294
2026-02-04,9,134.852,25.411,,0.094218,41.923,1.649819,0.554147,0.108293,-0.141707,True,18.475,0.727053,35.227,1.386294
2026-02-04,10,98.089,81.252,,0.414174,64.039,0.788153,0.718304,0.436608,0.186608,False,,,112.64,1.386294
2026-02-04,11,147.556,11.425,,0.038715,26.03,2.27832,0.518326,0.036653,-0.213347,True,7.985,0.698858,15.839,1.386294
2026-02-04,12,51.823,60.803,,0.586641,37.308,0.613594,0.778249,0.556498,0.306498,False,,,84.291,1.386294
2026-02-04,13,316.866,202.923,,0.320202,187.068,0.921868,0.678516,0.357031,0.107031,False,,,281.311,1.386294
2026-02-04,14,235.493,66.31,,0.140789,92.346,1.392647,0.58347,0.16694,-0.08306,True,51.524,0.777017,91.925,1.386294
2026-02-04,15,220.748,134.361,,0.30433,127.502,0.948955,0.671192,0.342384,0.092384,False,,,186.263,1.386294
2026-02-04,16,84.67,96.184,,0.567991,60.561,0.629638,0.772456,0.544913,0.294913,False,,,133.339,1.386294
2026-02-04,17,130.839,113.286,,0.432924,86.737,0.765642,0.725577,0.451153,0.201153,False,,,157.048,1.386294
2026-02-04,18,84.88,50.314,,0.296382,48.46,0.96315,0.667453,0.334907,0.084907,False,,,69.75,1.386294
2026-02-04,19,222.769,189.423,,0.425154,146.771,0.774834,0.722588,0.445176,0.195176,False,,,262.596,1.386294
2026-02-04,20,153.394,178.168,,0.580753,110.215,0.618602,0.776437,0.552873,0.302873,False,,,246.993,1.386294
2026-02-04,21,183.544,162.172,,0.441779,122.502,0.755386,0.728941,0.457882,0.207882,False,,,224.818,1.386294
2026-02-04,22,129.983,114.334,,0.439802,86.626,0.757656,0.728194,0.456388,0.206388,False,,,158.5,1.386294
2026-02-04,23,146.433,169.266,,0.577964,105.113,0.620993,0.775573,0.551146,0.301146,False,,,234.653,1.386294
2026-02-04,24,135.146,152.007,,0.562383,96.459,0.634567,0.770685,0.54137,0.29137,False,,,210.727,1.386294
2026-02-04,25,119.753,114.168,,0.476682,81.867,0.717072,0.74178,0.483561,0.233561,False,,,158.27,1.386294
2026-02-04,26,156.567,111.054,,0.354654,96.409,0.868127,0.693786,0.387572,0.137572,False,,,153.954,1.386294
2026-02-04,27,139.036,159.662,,0.574176,99.671,0.624258,0.774394,0.548788,0.298788,False,,,221.339,1.386294
2026-02-04,28,241.6,241.011,,0.498781,167.35,0.694368,0.749577,0.499154,0.249154,False,,,334.112,1.386294
2026-02-04,29,187.878,45.417,,0.120867,67.591,1.488244,0.571135,0.14227,-0.10773,True,34.138,0.751654,62.961,1.386294
2026-02-04,30,157.451,142.996,,0.454099,106.031,0.741492,0.733549,0.467098,0.217098,False,,,198.235,1.386294
2026-02-04,31,110.084,71.789,,0.326068,65.49,0.912254,0.681175,0.36235,0.11235,False,,,99.521,1.386294
2026-02-04,32,114.907,126.594,,0.550855,81.636,0.644862,0.766999,0.533998,0.283998,False,,,175.497,1.386294
2026-02-04,33,146.807,168.639,,0.574355,105.248,0.624103,0.77445,0.5489,0.2989,False,,,233.783,1.386294
2026-02-04,34,210.503,84.42,,0.20052,99.705,1.181062,0.618279,0.236557,-0.013443,True,80.158,0.949519,117.031,1.386294
2026-02-04,35,151.614,35.584,,0.117351,53.627,1.507039,0.568923,0.137846,-0.112154,True,26.612,0.747869,49.33,1.386294
2026-02-04,36,93.724,83.182,,0.443761,62.646,0.753122,0.729688,0.459377,0.209377,False,,,115.315,1.386294
2026-02-04,37,173.47,194.899,,0.561764,123.783,0.635114,0.770489,0.540977,0.290977,False,,,270.187,1.386294
2026-02-04,38,159.85,191.171,,0.597971,115.486,0.604098,0.781695,0.563391,0.313391,False,,,265.019,1.386294
2026-02-04,39,187.672,196.462,,0.523419,131.688,0.670296,0.757981,0.515963,0.265963,False,,,272.354,1.386294
2026-02-04,40,146.43,146.834,,0.501381,101.575,0.691768,0.750478,0.500956,0.250956,False,,,203.556,1.386294
2026-02-04,41,183.416,122.681,,0.334435,110.276,0.898885,0.684926,0.369852,0.119852,False,,,170.072,1.386294
2026-02-04,42,164.918,50.088,,0.151859,67.428,1.346187,0.590171,0.180343,-0.069657,True,39.811,0.794808,69.437,1.386294
2026-02-04,43,118.879,86.527,,0.36393,73.954,0.854689,0.697757,0.395515,0.145515,False,,,119.952,1.386294
2026-02-04,44,183.461,184.585,,0.503064,127.381,0.690093,0.75106,0.502119,0.252119,False,,,255.89,1.386294
2026-02-04,45,198.094,190.812,,0.481621,135.839,0.7119,0.743545,0.48709,0.23709,False,,,264.522,1.386294
2026-02-04,46,128.773,11.994,,0.046571,25.687,2.141627,0.52325,0.046501,-0.203499,True,8.411,0.701225,16.627,1.386294
2026-02-04,47,154.295,53.619,,0.173756,67.833,1.265088,0.603094,0.206187,-0.043813,True,45.144,0.841941,74.332,1.386294
2026-02-04,48,74.695,39.957,,0.26747,40.711,1.018857,0.653436,0.306873,0.056873,False,,,55.393,1.386294
2026-02-04,49,172.578,31.017,,0.089865,52.148,1.681256,0.55133,0.102659,-0.147341,True,22.452,0.723845,42.999,1.386294
2026-02-04,50,116.847,116.964,,0.500502,81.015,0.692646,0.750174,0.500348,0.250348,False,,,162.147,1.386294
2026-02-04,51,64.853,72.983,,0.562681,46.293,0.634305,0.770779,0.541558,0.291558,False,,,101.176,1.386294
2026-02-04,52,132.048,94.344,,0.357233,81.546,0.86435,0.694896,0.389792,0.139792,False,,,130.788,1.386294
2026-02-04,53,101.914,13.328,,0.065387,25.305,1.898654,0.535387,0.070773,-0.179227,True,9.45,0.709067,18.476,1.386294
2026-02-04,54,148.897,149.05,,0.500513,103.237,0.692635,0.750178,0.500355,0.250355,False,,,206.627,1.386294
