date,qubit,T1_us,T2_us,frequency_GHz,r_param,t_min_us,t_min_over_T2,purity_min,cpsi_min,distance_from_quarter,crosses_quarter,t_star_us,t_star_over_T2,t_coherence_crossing_us,t_coh_over_T2
2026-02-04,0,351.288,499.616,,0.71112,258.77,0.517936,0.813322,0.626645,0.376645,False,,,692.615,1.386294
2026-02-04,1,296.151,308.074,,0.520129,207.469,0.67344,0.756876,0.513752,0.263752,False,,,427.081,1.386294
2026-02-04,2,286.919,104.986,,0.182955,129.613,1.234569,0.608388,0.216776,-0.033224,True,91.263,0.869287,145.542,1.386294
2026-02-04,3,275.652,343.807,,0.623624,200.524,0.583247,0.789302,0.578603,0.328603,False,,,476.617,1.386294
2026-02-04,4,273.046,54.728,,0.100217,88.065,1.60915,0.558012,0.116025,-0.133975,True,40.051,0.73182,75.868,1.386294
2026-02-04,5,344.5,78.837,,0.114423,120.085,1.523206,0.567074,0.134147,-0.115853,True,58.722,0.744854,109.291,1.386294
2026-02-04,6,277.938,113.521,,0.20422,132.877,1.1705,0.620326,0.240652,-0.009348,True,110.881,0.976746,157.374,1.386294
2026-02-04,7,327.285,72.031,,0.110043,111.526,1.548311,0.564295,0.12859,-0.12141,True,53.344,0.740566,99.856,1.386294
2026-02-04,8,236.676,98.372,,0.20782,114.155,1.160443,0.622305,0.244611,-0.005389,True,99.584,1.012323,136.372,1.386294
2026-02-04,9,146.196,53.917,,0.184402,66.315,1.229935,0.609214,0.218427,-0.031573,True,47.135,0.87421,74.745,1.386294
2026-02-04,10,272.643,19.697,,0.036123,45.901,2.330355,0.516734,0.033469,-0.216531,True,13.747,0.697941,27.306,1.386294
2026-02-04,11,405.749,72.942,,0.089885,122.623,1.681106,0.551343,0.102686,-0.147314,True,52.8,0.72386,101.119,1.386294
2026-02-04,12,332.049,260.075,,0.391621,212.432,0.81681,0.709277,0.418554,0.168554,False,,,360.54,1.386294
2026-02-04,13,318.162,497.367,,0.781627,234.077,0.470632,0.830704,0.661407,0.411407,False,,,689.498,1.386294
2026-02-04,14,269.77,404.769,,0.750212,198.82,0.491195,0.823164,0.646328,0.396328,False,,,561.129,1.386294
2026-02-04,15,204.655,250.762,,0.612645,148.467,0.592064,0.78608,0.572159,0.322159,False,,,347.63,1.386294
2026-02-04,16,355.612,371.338,,0.52211,249.37,0.671544,0.757542,0.515085,0.265085,False,,,514.784,1.386294
2026-02-04,17,299.227,126.894,,0.212036,145.791,1.148923,0.624609,0.249218,-0.000782,True,138.477,1.091284,175.912,1.386294
2026-02-04,18,124.701,114.713,,0.459955,84.318,0.735034,0.73571,0.47142,0.22142,False,,,159.027,1.386294
2026-02-04,19,310.638,223.802,,0.36023,192.47,0.860002,0.69618,0.39236,0.14236,False,,,310.256,1.386294
2026-02-04,20,227.921,22.192,,0.048684,46.809,2.109241,0.524595,0.049189,-0.200811,True,15.578,0.701964,30.765,1.386294
2026-02-04,21,357.728,412.013,,0.575874,256.598,0.622792,0.774923,0.549847,0.299847,False,,,571.171,1.386294
2026-02-04,22,347.751,163.513,,0.235101,178.293,1.090389,0.636928,0.273855,0.023855,False,,,226.677,1.386294
2026-02-04,23,323.75,92.265,,0.142494,127.807,1.385214,0.584509,0.169019,-0.080981,True,71.929,0.779586,127.907,1.386294
2026-02-04,24,265.369,58.307,,0.109859,90.339,1.549388,0.564178,0.128357,-0.121643,True,43.17,0.740406,80.83,1.386294
2026-02-04,25,389.993,20.807,,0.026677,53.319,2.56248,0.511137,0.022275,-0.227725,True,14.478,0.695812,28.845,1.386294
2026-02-04,26,254.993,143.054,,0.280506,142.039,0.9929,0.659839,0.319678,0.069678,False,,,198.315,1.386294
2026-02-04,27,402.252,69.322,,0.086168,118.498,1.70938,0.54893,0.09786,-0.15214,True,49.999,0.721246,96.101,1.386294
2026-02-04,28,226.496,286.137,,0.63166,165.07,0.576889,0.79163,0.583259,0.333259,False,,,396.67,1.386294
2026-02-04,29,146.862,87.013,,0.29624,83.829,0.963409,0.667386,0.334772,0.084772,False,,,120.625,1.386294
2026-02-04,30,271.142,48.951,,0.090269,82.154,1.678266,0.551591,0.103183,-0.146817,True,35.448,0.724138,67.861,1.386294
2026-02-04,31,252.153,266.915,,0.529272,177.433,0.664754,0.759935,0.51987,0.26987,False,,,370.023,1.386294
2026-02-04,32,371.407,505.175,,0.680082,272.883,0.540175,0.805127,0.610255,0.360255,False,,,700.321,1.386294
2026-02-04,33,342.85,365.469,,0.532987,241.674,0.661271,0.761166,0.522332,0.272332,False,,,506.648,1.386294
2026-02-04,34,259.703,247.728,,0.476945,177.57,0.716796,0.741875,0.483749,0.233749,False,,,343.423,1.386294
2026-02-04,35,263.889,284.279,,0.538634,186.494,0.656024,0.763025,0.526051,0.276051,False,,,394.094,1.386294
2026-02-04,36,175.492,145.76,,0.41529,114.682,0.786782,0.718743,0.437485,0.187485,False,,,202.067,1.386294
2026-02-04,37,153.567,24.004,,0.078153,42.617,1.775444,0.543713,0.087425,-0.162575,True,17.188,0.716062,33.276,1.386294
2026-02-04,38,305.235,139.791,,0.228989,154.499,1.10521,0.63371,0.267419,0.017419,False,,,193.792,1.386294
2026-02-04,39,119.754,98.633,,0.411813,78.025,0.79107,0.717373,0.434746,0.184746,False,,,136.734,1.386294
2026-02-04,40,324.339,66.177,,0.102018,105.717,1.59749,0.559169,0.118338,-0.131662,True,48.529,0.733327,91.741,1.386294
