date,qubit,T1_us,T2_us,frequency_GHz,r_param,t_min_us,t_min_over_T2,purity_min,cpsi_min,distance_from_quarter,crosses_quarter,t_star_us,t_star_over_T2,t_coherence_crossing_us,t_coh_over_T2
2026-02-04,0,201.45,41.818,,0.103793,66.333,1.586234,0.560306,0.120613,-0.129387,True,30.73,0.734848,57.972,1.386294
2026-02-04,1,136.933,116.402,,0.425032,90.209,0.774981,0.72254,0.445081,0.195081,False,,,161.368,1.386294
2026-02-04,2,365.767,456.094,,0.623476,266.069,0.583364,0.789259,0.578517,0.328517,False,,,632.28,1.386294
2026-02-04,3,172.582,147.857,,0.428367,113.999,0.77101,0.723828,0.447656,0.197656,False,,,204.973,1.386294
2026-02-04,4,234.391,188.831,,0.402811,151.511,0.802364,0.713794,0.427589,0.177589,False,,,261.775,1.386294
2026-02-04,5,324.207,215.225,,0.331925,194.317,0.902855,0.683806,0.367612,0.117612,False,,,298.365,1.386294
2026-02-04,6,210.335,175.54,,0.417286,137.683,0.784338,0.719525,0.439051,0.189051,False,,,243.35,1.386294
2026-02-04,7,219.092,118.516,,0.270472,120.027,1.012749,0.654923,0.309846,0.059846,False,,,164.299,1.386294
2026-02-04,8,142.469,102.989,,0.361443,88.391,0.858252,0.696698,0.393397,0.143397,False,,,142.773,1.386294
2026-02-04,9,213.848,239.9,,0.560912,152.545,0.635869,0.770218,0.540436,0.290436,False,,,332.573,1.386294
2026-02-04,10,158.425,114.568,,0.361583,98.305,0.858051,0.696758,0.393516,0.143516,False,,,158.825,1.386294
2026-02-04,11,291.88,200.104,,0.342785,177.278,0.885927,0.688619,0.377239,0.127239,False,,,277.403,1.386294
2026-02-04,12,247.389,139.935,,0.282823,138.316,0.988436,0.660963,0.321925,0.071925,False,,,193.991,1.386294
2026-02-04,13,212.652,163.075,,0.38343,134.975,0.827686,0.705921,0.411842,0.161842,False,,,226.07,1.386294
2026-02-04,14,318.675,143.543,,0.225219,159.992,1.114592,0.631708,0.263415,0.013415,False,,,198.993,1.386294
2026-02-04,15,340.122,32.014,,0.047063,68.316,2.133947,0.523562,0.047125,-0.202875,True,22.454,0.701394,44.381,1.386294
2026-02-04,16,141.148,37.95,,0.134431,53.939,1.421327,0.579571,0.159142,-0.090858,True,29.151,0.768154,52.609,1.386294
2026-02-04,17,270.361,8.419,,0.015571,25.183,2.991088,0.505217,0.010434,-0.239566,True,5.843,0.693987,11.672,1.386294
2026-02-04,18,92.752,41.846,,0.22558,46.603,1.113686,0.6319,0.2638,0.0138,False,,,58.011,1.386294
2026-02-04,19,142.446,30.058,,0.105508,47.359,1.575567,0.561404,0.122807,-0.127193,True,22.133,0.736352,41.67,1.386294
2026-02-04,20,171.344,232.074,,0.677216,125.848,0.542276,0.804353,0.608706,0.358706,False,,,321.723,1.386294
2026-02-04,21,154.803,107.155,,0.346102,94.391,0.880881,0.690073,0.380146,0.130146,False,,,148.549,1.386294
2026-02-04,22,207.398,28.127,,0.067808,52.689,1.873273,0.536965,0.073929,-0.176071,True,19.978,0.710297,38.992,1.386294
2026-02-04,23,275.582,27.409,,0.049729,57.389,2.093804,0.525262,0.050524,-0.199476,True,19.251,0.702344,37.997,1.386294
2026-02-04,24,123.096,90.152,,0.366186,76.763,0.85148,0.698715,0.39743,0.14743,False,,,124.978,1.386294
2026-02-04,25,140.471,68.862,,0.24511,73.481,1.067078,0.642128,0.284255,0.034255,False,,,95.463,1.386294
2026-02-04,26,5.372,6.982,,0.649866,3.929,0.562775,0.79681,0.59362,0.34362,False,,,9.678,1.386294
2026-02-04,27,126.166,134.613,,0.533475,88.954,0.660815,0.761327,0.522655,0.272655,False,,,186.614,1.386294
2026-02-04,28,246.133,279.206,,0.567184,175.996,0.630344,0.772202,0.544404,0.294404,False,,,387.061,1.386294
2026-02-04,29,55.468,55.353,,0.498966,38.425,0.694182,0.749642,0.499283,0.249283,False,,,76.736,1.386294
2026-02-04,30,262.048,99.065,,0.18902,120.406,1.215427,0.611836,0.223671,-0.026329,True,88.311,0.891448,137.333,1.386294
2026-02-04,31,89.276,44.814,,0.250985,47.23,1.053916,0.64514,0.29028,0.04028,False,,,62.125,1.386294
