"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"0","315.93339011235116","245.44363979736693","0.0078125","0.00927734375","0.00634765625","2180","0.00027789543771784754","32","0.00027789543771784754","0","0.00027789543771784754","0.00027789543771784754","1:0.001013782508423433","1:68","1:0.002400040189114605","0.0078125","0.01611328125","Yes"
"1","284.32401267292914","273.39210115491665","0.009765625","0.01171875","0.0078125","2180","0.00026215747460991864","32","0.00026215747460991864","0","0.00026215747460991864","0.00026215747460991864","2:0.000999951074413724;0:0.001013782508423433","2:68;0:68","2:0.0011000514472171985;0:0.002400040189114605","0.009765625","0.053466796875","Yes"
"2","328.41432133898724","97.68824630702923","0.00537109375","0.0087890625","0.001953125","2180","0.00010762700582149192","32","0.00010762700582149192","0","0.00010762700582149192","0.00010762700582149192","1:0.000999951074413724;3:0.0016473159308566243","1:68;3:68","1:0.0011000514472171985;3:0.001827411172831278","0.00537109375","0.008544921875","Yes"
"3","155.6948084479333","198.7142325379423","0.009521484375","0.015625","0.00341796875","2180","0.00043681480679378477","32","0.00043681480679378477","0","0.00043681480679378477","0.00043681480679378477","16:0.0025435383115569032;2:0.0016473159308566243;4:0.002760317996732542","16:68;2:68;4:68","16:0.0016527990678199267;2:0.001827411172831278;4:0.0024826034536838126","0.009521484375","0.004150390625","Yes"
"4","248.12367951786976","34.62979740324257","0.012939453125","0.01318359375","0.0126953125","2180","0.0005651932683203565","32","0.0005651932683203565","0","0.0005651932683203565","0.0005651932683203565","3:0.002760317996732542;5:0.0034855624001000063","3:68;5:68","3:0.0024826034536838126;5:0.003256946269854455","0.012939453125","0.01806640625","Yes"
"5","126.04608412781367","39.13140346170592","0.006591796875","0.0087890625","0.00439453125","2180","0.00048292950457656743","32","0.00048292950457656743","0","0.00048292950457656743","0.00048292950457656743","6:0.004656187881890705;4:0.0034855624001000063","6:68;4:68","6:0.0037334515142108116;4:0.003256946269854455","0.006591796875","0.119140625","Yes"
"6","258.8743404834369","76.10823781788744","0.00634765625","0.009765625","0.0029296875","2180","0.0003157719132146314","32","0.0003157719132146314","0","0.0003157719132146314","0.0003157719132146314","5:0.004656187881890705;7:0.008187900736368686","5:68;7:80","5:0.0037334515142108116;7:0.006977990537356649","0.00634765625","0.00537109375","Yes"
"7","184.8681200475291","50.51513950958112","0.01611328125","0.0185546875","0.013671875","2180","0.00046330180073578665","32","0.00046330180073578665","0","0.00046330180073578665","0.00046330180073578665","17:0.006205210247017812;6:0.008187900736368686;8:0.008241188656693765","17:68;6:80;8:68","17:0.004521657537209706;6:0.006977990537356649;8:0.004493763347679425","0.01611328125","0.0244140625","Yes"
"8","327.0973245374724","71.31717092252754","0.005859375","0.0068359375","0.0048828125","2180","0.00033375750140017497","32","0.00033375750140017497","0","0.00033375750140017497","0.00033375750140017497","9:0.0027632420342510733;7:0.008241188656693765","9:68;7:68","9:0.001913432365089257;7:0.004493763347679425","0.005859375","0.09228515625","Yes"
"9","101.46353570731567","28.48693099036037","0.00732421875","0.0087890625","0.005859375","2180","0.0001888968995011064","32","0.0001888968995011064","0","0.0001888968995011064","0.0001888968995011064","8:0.0027632420342510733;10:0.00506055618693535","8:68;10:68","8:0.001913432365089257;10:0.002438412866756584","0.00732421875","0.0400390625","Yes"
