sheet | ratio R_L / T(flipped) at 3 points (constant? which?)
+1-1-1-1-1-1 | +0.250000 +0.250000 +0.250000 | spread 4.27e-15
+1-1-1-1-1+1 | -0.250000 -0.250000 -0.250000 | spread 5.27e-16
+1-1-1-1+1-1 | -0.250000 -0.250000 -0.250000 | spread 3.16e-15
+1-1-1-1+1+1 | +0.250000 +0.250000 +0.250000 | spread 8.60e-16
+1-1-1+1-1-1 | -0.250000 -0.250000 -0.250000 | spread 1.01e-13
+1-1-1+1-1+1 | +0.250000 +0.250000 +0.250000 | spread 8.60e-14
+1-1-1+1+1-1 | +0.250000 +0.250000 +0.250000 | spread 1.43e-14
+1-1-1+1+1+1 | -0.250000 -0.250000 -0.250000 | spread 1.02e-13
+1-1+1-1-1-1 | -0.250000 -0.250000 -0.250000 | spread 1.75e-15
+1-1+1-1-1+1 | +0.250000 +0.250000 +0.250000 | spread 8.88e-16
+1-1+1-1+1-1 | +0.250000 +0.250000 +0.250000 | spread 1.50e-15
+1-1+1-1+1+1 | -0.250000 -0.250000 -0.250000 | spread 2.78e-16
+1-1+1+1-1-1 | +0.250000 +0.250000 +0.250000 | spread 7.44e-14
+1-1+1+1-1+1 | -0.250000 -0.250000 -0.250000 | spread 4.44e-16
+1-1+1+1+1-1 | -0.250000 -0.250000 -0.250000 | spread 5.38e-15
+1-1+1+1+1+1 | +0.250000 +0.250000 +0.250000 | spread 1.94e-15
+1+1-1-1-1-1 | -0.250000 -0.250000 -0.250000 | spread 7.77e-16
+1+1-1-1-1+1 | +0.250000 +0.250000 +0.250000 | spread 1.69e-15
+1+1-1-1+1-1 | +0.250000 +0.250000 +0.250000 | spread 7.22e-16
+1+1-1-1+1+1 | -0.250000 -0.250000 -0.250000 | spread 5.55e-16
+1+1-1+1-1-1 | +0.250000 +0.250000 +0.250000 | spread 4.72e-16
+1+1-1+1-1+1 | -0.250000 -0.250000 -0.250000 | spread 2.22e-16
+1+1-1+1+1-1 | -0.250000 -0.250000 -0.250000 | spread 5.37e-14
+1+1-1+1+1+1 | +0.250000 +0.250000 +0.250000 | spread 1.69e-15
+1+1+1-1-1-1 | +0.250000 +0.250000 +0.250000 | spread 6.11e-16
+1+1+1-1-1+1 | -0.250000 -0.250000 -0.250000 | spread 3.28e-15
+1+1+1-1+1-1 | -0.250000 -0.250000 -0.250000 | spread 2.78e-16
+1+1+1-1+1+1 | +0.250000 +0.250000 +0.250000 | spread 1.05e-15
+1+1+1+1-1-1 | -0.250000 -0.250000 -0.250000 | spread 5.91e-15
+1+1+1+1-1+1 | +0.250000 +0.250000 +0.250000 | spread 4.33e-15
+1+1+1+1+1-1 | +0.250000 +0.250000 +0.250000 | spread 1.58e-15
+1+1+1+1+1+1 | -0.250000 -0.250000 -0.250000 | spread 2.19e-15
