   C sz monic inc |  cur w(z1,z2,w2)   cur grid |  new w(z1,z2,w2)   new grid  ratio  t/prime
C00  1  True  16 |     (70, 69, 40)    203,770 |     (34, 32, 18)     21,945   0.11    8.4s(P)
C01  1  True  16 |     (70, 69, 40)    203,770 |     (35, 32, 18)     22,572   0.11           
C02  1  True  16 |     (69, 70, 40)    203,770 |     (32, 34, 18)     21,945   0.11           
C03  1  True  16 |     (69, 70, 40)    203,770 |     (32, 35, 18)     22,572   0.11           
C04  1 False  16 |     (61, 61, 40)    157,604 |     (54, 54, 18)     57,475   0.36           
C05  1  True  16 |     (61, 61, 40)    157,604 |     (54, 54, 18)     57,475   0.36           
C06  1 False  18 |     (28, 28, 28)     24,389 |     (59, 59, 33)    122,400   5.02   33.0s(P)
C07  1 False  18 |     (28, 28, 28)     24,389 |     (59, 59, 33)    122,400   5.02           
C08  1 False  18 |     (28, 28, 28)     24,389 |     (47, 47, 32)     76,032   3.12           
C09  1 False  18 |     (28, 28, 28)     24,389 |     (47, 47, 32)     76,032   3.12           
