N	Qstar_se	twoN_over_pi	residual	Qstar_over_N	secant	Formulas_Qstar	Formulas_rel_err
2	1.000000	1.273240	-0.273240	0.500000	nan	1.000000	-0.000000
3	1.414214	1.909859	-0.495646	0.471405	0.414214	1.414214	-0.000000
4	1.878738	2.546479	-0.667741	0.469685	0.464525	1.878700	-0.000020
5	2.373671	3.183099	-0.809428	0.474734	0.494932	2.373700	0.000012
6	2.889253	3.819719	-0.930466	0.481542	0.515582	2.889253	0.000000
7	3.419782	4.456338	-1.036556	0.488540	0.530529	3.419782	-0.000000
8	3.961618	5.092958	-1.131340	0.495202	0.541836	3.961618	0.000000
9	4.512298	5.729578	-1.217280	0.501366	0.550680	5.729578	0.269769
10	5.070085	6.366198	-1.296113	0.507008	0.557787	6.366198	0.255639
11	5.633710	7.002817	-1.369107	0.512155	0.563625	7.002817	0.243021
12	6.202221	7.639437	-1.437216	0.516852	0.568511	7.639437	0.231726
13	6.774887	8.276057	-1.501170	0.521145	0.572665	8.276057	0.221579
14	7.351131	8.912677	-1.561546	0.525081	0.576244	8.912677	0.212423
15	7.930495	9.549297	-1.618802	0.528700	0.579364	9.549297	0.204124
16	8.512605	10.185916	-1.673312	0.532038	0.582110	10.185916	0.196569
17	9.097154	10.822536	-1.725382	0.535127	0.584549	10.822536	0.189662
18	9.683887	11.459156	-1.775269	0.537994	0.586733	11.459156	0.183322
19	10.272587	12.095776	-1.823189	0.540662	0.588700	12.095776	0.177481
20	10.863071	12.732395	-1.869325	0.543154	0.590484	12.732395	0.172081
21	11.455180	13.369015	-1.913835	0.545485	0.592110	13.369015	0.167072
22	12.048780	14.005635	-1.956855	0.547672	0.593599	14.005635	0.162411
23	12.643749	14.642255	-1.998505	0.549728	0.594970	14.642255	0.158063
24	13.239985	15.278875	-2.038890	0.551666	0.596235	15.278875	0.153995
