t,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,S
0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.857143
0.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.840020
0.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.822946
0.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.805933
0.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.788993
0.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.772138
0.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.755382
0.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.738737
0.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.722217
0.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.705832
1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.689596
1.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.673521
1.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.657618
1.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.641897
1.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.626371
1.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.611048
1.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.595939
1.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.581051
1.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.566394
1.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.551973
2.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.537798
2.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.523872
2.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.510203
2.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.496793
2.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.483648
2.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.470770
2.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.458161
2.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.445825
2.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433761
2.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.421971
3.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.410454
3.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.399209
3.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.388236
3.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.377533
3.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.367097
3.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.356925
3.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.347016
3.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.337365
3.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.327968
3.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.318821
4.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.309920
4.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.301261
4.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.292838
4.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.284646
4.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.276681
4.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.268936
4.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261407
4.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.254089
4.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.246975
4.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.240060
5.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.233339
5.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.226806
5.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.220457
5.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.214285
5.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.208286
5.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.202454
5.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.196785
5.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.191273
5.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.185913
5.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.180702
6.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.175635
6.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.170706
6.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.165913
6.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.161250
6.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.156715
6.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152302
6.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.148009
6.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.143833
6.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.139768
6.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.135814
7.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131965
7.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.128220
7.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.124576
7.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.121029
7.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.117577
7.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.114218
7.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110949
7.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.107768
7.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104672
7.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.101660
8.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.098729
8.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.095878
8.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.093104
8.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090405
8.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087780
8.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.085227
8.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.082744
8.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080330
8.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.077982
8.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.075700
9.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.073482
9.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.071325
9.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069230
9.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067194
9.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065215
9.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063293
9.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.061427
9.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.059614
9.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.057853
9.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056143
10.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054484
10.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052872
10.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.051308
10.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049791
10.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048318
10.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046889
10.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045502
10.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044157
10.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042852
10.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041586
11.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040358
11.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039168
11.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038013
11.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036894
11.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035808
11.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034756
11.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033735
11.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032746
11.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031787
11.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030858
12.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029957
12.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029083
12.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028237
12.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027416
12.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026621
12.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025850
12.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025103
12.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024379
12.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023678
12.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022998
13.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022339
13.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021700
13.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021081
13.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020482
13.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019901
13.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019338
13.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018792
13.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018263
13.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017751
13.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017254
14.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016773
14.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016307
14.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015856
14.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015418
14.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014994
14.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014583
14.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014185
14.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013799
14.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013426
14.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013064
15.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012713
15.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012373
15.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012044
15.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011725
15.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011416
15.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011116
15.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010826
15.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010545
15.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010273
15.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010009
16.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009753
16.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009506
16.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009266
16.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009033
16.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008808
16.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008590
16.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008379
16.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008174
16.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007975
16.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007783
17.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007597
17.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007416
17.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007241
17.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007071
17.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006907
17.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006747
17.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006593
17.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006443
17.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006298
17.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006157
18.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006021
18.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005888
18.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005760
18.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005635
18.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005515
18.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005397
18.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005284
18.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005173
18.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005066
18.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004962
19.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004862
19.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004764
19.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004669
19.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004576
19.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004486
19.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004399
19.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004315
19.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004232
19.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004152
19.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004075
20.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003999
20.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003925
20.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003854
20.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003784
20.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003717
20.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003651
20.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003586
20.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003524
20.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003463
20.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003404
21.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003346
21.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003289
21.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003234
21.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003181
21.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003128
21.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003077
21.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003027
21.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002978
21.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002931
21.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002884
22.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002839
22.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002794
22.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002750
22.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002708
22.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002666
22.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002625
22.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002585
22.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002546
22.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002508
22.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002470
23.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002433
23.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002396
23.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002361
23.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002326
23.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002291
23.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002258
23.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002224
23.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002192
