t,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,S
0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.857143
0.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.840038
0.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.823017
0.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.806087
0.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.789259
0.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.772543
0.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.755947
0.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.739480
0.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.723152
0.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.706972
1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.690948
1.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.675089
1.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.659402
1.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.643896
1.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.628577
1.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.613452
1.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.598529
1.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.583813
1.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.569310
1.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.555026
2.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.540964
2.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.527130
2.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.513526
2.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500158
2.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.487027
2.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.474137
2.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.461488
2.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.449084
2.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.436924
2.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.425010
3.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.413343
3.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.401922
3.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.390746
3.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379816
3.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.369130
3.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.358686
3.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.348483
3.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.338518
3.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.328790
3.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.319297
4.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.310034
4.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.301000
4.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.292191
4.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.283604
4.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.275235
4.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.267080
4.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.259137
