t,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,S
0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.857143
0.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.840086
0.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.823205
0.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.806501
0.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.789979
0.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.773642
0.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.757492
0.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.741533
0.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.725768
0.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.710200
1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.694831
1.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.679664
1.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.664700
1.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.649944
1.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.635396
1.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.621058
1.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.606932
1.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.593021
1.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.579324
1.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.565844
2.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.552581
2.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.539537
2.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.526712
2.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.514106
2.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.501720
2.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.489555
2.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.477609
2.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.465884
2.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.454377
2.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.443090
3.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.432022
3.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.421170
3.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.410535
3.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400116
3.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.389910
3.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379917
3.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.370135
3.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.360562
3.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.351197
3.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.342037
4.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333080
4.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.324325
4.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.315769
4.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.307409
4.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.299244
4.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.291270
4.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.283485
4.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.275886
4.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.268472
4.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261238
5.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.254182
5.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.247301
5.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.240592
5.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.234053
5.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.227680
5.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.221470
5.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.215420
