t,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,S
0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.857143
0.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.840110
0.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.823299
0.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.806708
0.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.790339
0.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.774193
0.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.758268
0.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.742566
0.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.727086
0.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.711829
1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.696794
1.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.681982
1.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.667392
1.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.653024
1.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.638878
1.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.624953
1.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.611249
1.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.597765
1.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.584502
1.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.571457
2.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.558631
2.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.546022
2.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.533629
2.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.521453
2.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.509491
2.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.497742
2.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.486206
2.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.474880
2.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.463764
2.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.452857
3.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.442156
3.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.431661
3.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.421369
3.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.411279
3.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.401390
3.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.391699
3.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.382205
3.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.372906
3.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.363800
3.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.354884
4.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.346158
4.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.337619
4.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.329264
4.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.321092
4.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.313100
4.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305287
