t,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,S
0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.857143
0.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.840068
0.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.823134
0.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.806347
0.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.789712
0.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.773236
0.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.756926
0.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.740787
0.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.724826
0.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.709050
1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.693465
1.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.678076
1.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.662889
1.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.647910
1.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.633143
1.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.618594
1.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.604267
1.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.590167
1.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.576297
1.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.562660
2.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.549259
2.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.536097
2.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.523177
2.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.510499
2.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.498066
2.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.485877
2.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.473934
2.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.462236
2.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.450783
2.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.439576
3.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.428611
3.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.417889
3.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.407407
3.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.397163
3.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.387155
3.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.377381
3.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.367837
3.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.358521
3.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.349429
3.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.340558
4.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.331903
4.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.323462
4.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.315229
4.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.307202
4.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.299376
4.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.291747
4.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.284310
4.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.277061
4.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.269996
4.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.263111
5.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.256400
5.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.249860
5.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.243487
5.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.237276
5.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.231223
5.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.225323
5.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.219573
5.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.213969
5.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.208507
5.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.203183
6.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.197993
6.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.192934
6.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.188001
6.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.183193
6.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.178504
6.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.173933
6.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.169475
6.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.165128
6.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.160890
6.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.156756
7.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152725
7.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.148793
7.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.144959
7.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.141219
7.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.137572
7.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134015
7.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130545
7.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.127162
7.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.123862
7.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120644
8.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.117506
8.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.114446
8.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111463
8.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.108553
8.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.105717
8.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.102951
8.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100256
8.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.097628
8.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.095067
8.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.092571
9.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090139
9.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087769
9.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.085460
9.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083211
9.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.081020
9.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.078885
9.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.076807
9.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074783
9.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.072813
9.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070895
10.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069027
10.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067210
10.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065441
10.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063720
10.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062045
10.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060415
10.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058830
10.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.057288
10.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055788
10.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054329
11.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052911
11.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.051531
11.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050190
11.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048886
11.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047619
11.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046386
11.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045188
11.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044024
11.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042892
11.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041792
12.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040723
12.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039683
12.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038673
12.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037692
12.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036738
12.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035811
12.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034910
12.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034034
12.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033183
12.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032356
13.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031552
13.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030771
13.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030012
13.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029273
13.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028556
13.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027858
13.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027180
13.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026520
13.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025879
13.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025255
14.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024649
14.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024059
14.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023485
14.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022927
14.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022384
14.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021856
14.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021342
14.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020841
14.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020354
14.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019880
15.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019419
15.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018969
15.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018531
15.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018105
15.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017690
15.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017285
15.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016891
15.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016506
15.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016131
15.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015766
16.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015410
16.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015063
16.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014724
16.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014393
16.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014070
16.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013756
16.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013448
16.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013148
16.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012855
16.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012569
17.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012290
17.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012017
17.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011750
17.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011489
17.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011235
17.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010986
17.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010742
17.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010504
17.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010271
17.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010044
18.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009821
18.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009603
18.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009390
18.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009181
18.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008977
18.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008777
18.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008582
18.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008390
18.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008203
18.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008019
19.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007840
19.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007664
19.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007492
19.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007323
19.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007158
19.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006996
19.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006838
19.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006683
19.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006531
19.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006383
20.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006237
20.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006095
20.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005955
20.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005818
20.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005685
20.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005554
20.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005425
20.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005300
20.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005177
20.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005057
21.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004939
21.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004824
21.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004712
21.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004601
