t,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,S
0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.857143
0.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.840140
0.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.823416
0.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.806967
0.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.790791
0.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.774884
0.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.759243
0.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.743865
0.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.728747
0.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.713887
1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.699282
1.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.684928
1.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.670822
1.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.656963
1.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.643346
1.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.629970
1.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.616831
1.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.603927
1.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.591255
1.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.578812
2.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.566595
2.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.554602
2.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.542830
2.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.531277
2.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.519938
2.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.508813
2.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.497897
2.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.487189
2.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.476686
2.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.466385
3.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.456283
3.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.446378
3.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.436667
3.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.427147
3.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.417817
3.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.408672
3.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.399711
3.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.390930
3.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.382328
3.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.373902
4.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.365649
4.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.357566
4.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.349651
4.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.341901
4.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.334314
4.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.326888
4.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.319619
4.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.312505
4.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305544
4.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.298733
5.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.292070
5.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.285552
5.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.279176
5.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.272941
5.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.266844
5.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.260882
5.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.255053
5.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.249355
5.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.243786
5.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.238342
6.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.233022
6.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.227823
6.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222743
6.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.217780
6.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.212932
6.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.208196
6.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.203570
6.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.199052
6.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.194640
6.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.190332
7.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.186125
7.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.182017
7.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.178007
7.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.174092
7.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.170271
7.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166541
7.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.162900
7.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.159346
7.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.155879
7.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152494
8.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.149192
8.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.145970
8.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142825
8.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.139757
8.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.136764
8.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133843
8.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130993
8.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.128213
8.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.125501
8.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.122855
9.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120274
9.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.117755
9.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.115299
9.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.112902
9.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110563
9.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.108282
9.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.106056
9.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.103884
9.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.101765
9.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.099698
10.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.097681
10.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.095712
10.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.093792
10.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.091917
10.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090088
10.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.088302
10.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086559
10.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.084858
10.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083198
10.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.081576
11.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.079993
11.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.078448
11.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.076938
11.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.075464
11.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074024
11.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.072617
11.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.071243
11.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069900
11.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068588
11.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067306
