t,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,S
0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.857143
0.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.840013
0.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.822919
0.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.805873
0.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.788889
0.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.771981
0.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.755162
0.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.738447
0.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.721849
0.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.705382
1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.689060
1.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.672895
1.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.656900
1.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.641087
1.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.625468
1.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.610054
1.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.594855
1.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.579880
1.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.565139
1.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.550640
2.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.536390
2.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.522396
2.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.508663
2.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.495196
2.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.482000
2.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.469077
2.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.456431
2.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.444063
2.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.431974
2.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.420166
3.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.408636
3.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.397386
3.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.386412
3.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.375714
3.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.365289
3.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.355133
3.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.345243
