=== RESONANCE TEST: CΨ OSCILLATION ===
N=3, J=5.00, γ=[0.0001,0.0001,0.0050]
Σγ=0.0052, dt=0.01, tmax=60

Initial state: Bell(0,1) ⊗ |+>^(N-2)
     T |   CΨ(01) |   CΨ(0B) |   MI(01) |   MI(0B) |     Pur | event
  0.05 |   0.4438 |   0.2746 | 1.467453 | 0.529123 | 0.9995 | 
  0.10 |   0.3252 |   0.2983 | 0.943635 | 1.008880 | 0.9989 | 
  0.15 |   0.2740 |   0.2813 | 0.785207 | 0.819467 | 0.9984 | 
  0.50 |   0.2902 |   0.3068 | 0.834752 | 0.956295 | 0.9948 | 
  1.00 |   0.2844 |   0.2883 | 0.689890 | 0.684557 | 0.9896 | 
  1.50 |   0.2791 |   0.2645 | 0.644417 | 0.583745 | 0.9844 | 
  2.00 |   0.2989 |   0.3021 | 0.842682 | 0.967342 | 0.9793 | 
  2.05 |   0.2562 |   0.2493 | 0.693203 | 0.666011 | 0.9788 | 
  2.50 |   0.3940 |   0.1891 | 1.840558 | 0.060262 | 0.9742 | 
  3.00 |   0.2739 |   0.2845 | 0.766382 | 0.819345 | 0.9691 | 
  3.50 |   0.2863 |   0.2995 | 0.679651 | 0.736887 | 0.9641 | 
  3.60 |   0.2497 |   0.2369 | 0.655515 | 0.602188 | 0.9631 |  ↓ CROSS #1
  3.65 |   0.2896 |   0.2961 | 0.807032 | 0.917792 | 0.9626 |  ↑ CROSS #2
  3.95 |   0.2477 |   0.2250 | 0.600538 | 0.540564 | 0.9596 |  ↓ CROSS #3
  4.00 |   0.2778 |   0.2397 | 0.571233 | 0.486077 | 0.9591 |  ↑ CROSS #4
  4.05 |   0.2844 |   0.3033 | 0.673221 | 0.779509 | 0.9586 | 
  4.50 |   0.3098 |   0.2819 | 0.860144 | 0.908338 | 0.9542 | 
  4.55 |   0.2613 |   0.2662 | 0.710840 | 0.732857 | 0.9537 | 
  4.85 |   0.2455 |   0.2257 | 0.611656 | 0.543824 | 0.9508 |  ↓ CROSS #5
  4.90 |   0.2808 |   0.2903 | 0.776424 | 0.870342 | 0.9503 |  ↑ CROSS #6
  5.00 |   0.4194 |   0.2147 | 1.639828 | 0.183468 | 0.9493 | 
  5.05 |   0.4130 |   0.2057 | 1.679675 | 0.141090 | 0.9488 | 
  5.20 |   0.2433 |   0.2302 | 0.614393 | 0.569476 | 0.9473 |  ↓ CROSS #7
  5.25 |   0.2724 |   0.2295 | 0.539123 | 0.451144 | 0.9468 |  ↑ CROSS #8
  5.50 |   0.2572 |   0.2565 | 0.696095 | 0.685584 | 0.9444 | 
  5.55 |   0.3016 |   0.2809 | 0.831487 | 0.894809 | 0.9439 | 
  6.00 |   0.2791 |   0.2984 | 0.651688 | 0.777622 | 0.9396 | 
  6.05 |   0.2731 |   0.2413 | 0.567468 | 0.487505 | 0.9391 | 
  6.10 |   0.2456 |   0.2173 | 0.570813 | 0.493582 | 0.9386 |  ↓ CROSS #9
  6.15 |   0.2728 |   0.2821 | 0.748451 | 0.817411 | 0.9381 |  ↑ CROSS #10
