D:\Entwicklung\Projekte Privat\R-equals-C-Psi-squared\compute\RCPsiSquared.Propagate.Test\Program.cs(1059,13): warning CS0219: The variable 'dSys' is assigned but its value is never used [D:\Entwicklung\Projekte Privat\R-equals-C-Psi-squared\compute\RCPsiSquared.Propagate.Test\RCPsiSquared.Propagate.csproj]
=== RESONANCE TEST: CΨ OSCILLATION ===
N=5, J=5.00, γ=[0.0001,0.0001,0.0050,0.0050,0.0050]
Σγ=0.0152, dt=0.01, tmax=30

Initial state: Bell(0,1) ⊗ |+>^(N-2)
     T |   CΨ(01) |   CΨ(0B) |   MI(01) |   MI(0B) |     Pur | event
  0.05 |   0.4465 |   0.1723 | 1.497618 | 0.002167 | 0.9985 | 
  0.10 |   0.3576 |   0.2232 | 1.100204 | 0.053122 | 0.9969 | 
  0.15 |   0.3519 |   0.3042 | 0.962036 | 0.161070 | 0.9954 | 
  0.50 |   0.4576 |   0.2353 | 0.215730 | 0.357287 | 0.9848 | 
  1.00 |   0.4425 |   0.2526 | 0.324230 | 0.241393 | 0.9698 | 
  1.50 |   0.3848 |   0.2064 | 1.056487 | 0.136631 | 0.9551 | 
  2.00 |   0.6498 |   0.2389 | 0.132503 | 0.225838 | 0.9406 | 
  2.05 |   0.6779 |   0.2497 | 0.092353 | 0.193475 | 0.9392 | 
  2.50 |   0.5023 |   0.2279 | 0.709871 | 0.144218 | 0.9265 | 
  3.00 |   0.3369 |   0.2062 | 0.665719 | 0.111469 | 0.9125 | 
  3.40 |   0.2465 |   0.3889 | 0.208988 | 0.255960 | 0.9015 |  ↓ CROSS #1
  3.45 |   0.2644 |   0.3847 | 0.153785 | 0.235025 | 0.9002 |  ↑ CROSS #2
  3.50 |   0.3555 |   0.2852 | 0.210486 | 0.219344 | 0.8988 | 
  4.00 |   0.4227 |   0.2548 | 0.542629 | 0.261625 | 0.8854 | 
  4.05 |   0.3895 |   0.2405 | 0.653956 | 0.315164 | 0.8841 | 
  4.50 |   0.5445 |   0.2299 | 0.628414 | 0.073276 | 0.8722 | 
  4.55 |   0.4704 |   0.2120 | 0.559450 | 0.074032 | 0.8709 | 
  4.95 |   0.2318 |   0.3051 | 0.119360 | 0.510161 | 0.8605 |  ↓ CROSS #3
  5.00 |   0.2610 |   0.2937 | 0.221890 | 0.302724 | 0.8592 |  ↑ CROSS #4
  5.05 |   0.3191 |   0.2635 | 0.290336 | 0.236256 | 0.8579 | 
  5.50 |   0.3667 |   0.2690 | 0.396289 | 0.300646 | 0.8464 | 
  5.55 |   0.4103 |   0.2350 | 0.595549 | 0.182614 | 0.8451 | 
  6.00 |   0.4355 |   0.2240 | 0.388246 | 0.241451 | 0.8339 | 
  6.05 |   0.4198 |   0.2376 | 0.274112 | 0.291569 | 0.8327 | 
  6.50 |   0.2626 |   0.2827 | 0.285301 | 0.245035 | 0.8216 | 
  6.55 |   0.2441 |   0.3010 | 0.246771 | 0.222489 | 0.8203 |  ↓ CROSS #5
  6.60 |   0.2809 |   0.2983 | 0.316376 | 0.196638 | 0.8191 |  ↑ CROSS #6
  7.00 |   0.4507 |   0.3027 | 0.584511 | 0.090047 | 0.8094 | 
  7.05 |   0.3727 |   0.2905 | 0.471849 | 0.138554 | 0.8082 | 
  7.50 |   0.4503 |   0.2630 | 0.383849 | 0.184098 | 0.7975 | 
  7.55 |   0.6023 |   0.2430 | 0.309045 | 0.106040 | 0.7964 | 
  8.00 |   0.3258 |   0.2840 | 0.191951 | 0.233621 | 0.7859 | 
  8.50 |   0.3191 |   0.2062 | 0.598155 | 0.175294 | 0.7743 | 
  9.00 |   0.4387 |   0.1960 | 0.363931 | 0.080444 | 0.7631 | 
  9.50 |   0.3777 |   0.2518 | 0.193811 | 0.323822 | 0.7521 | 
  9.60 |   0.2314 |   0.2633 | 0.300504 | 0.310698 | 0.7498 |  ↓ CROSS #7
  9.75 |   0.2596 |   0.2256 | 0.573894 | 0.151812 | 0.7465 |  ↑ CROSS #8
 10.00 |   0.3138 |   0.1912 | 0.860537 | 0.105303 | 0.7411 | 
 10.50 |   0.4327 |   0.1927 | 0.190531 | 0.292337 | 0.7303 | 
 11.00 |   0.3989 |   0.2005 | 0.174953 | 0.276438 | 0.7200 | 
 11.50 |   0.2602 |   0.1761 | 1.033629 | 0.056700 | 0.7095 | 
 11.65 |   0.2374 |   0.2583 | 0.497989 | 0.238330 | 0.7064 |  ↓ CROSS #9
 11.85 |   0.3179 |   0.2618 | 0.193159 | 0.262273 | 0.7023 |  ↑ CROSS #10
 12.00 |   0.4030 |   0.2042 | 0.127778 | 0.204668 | 0.6993 | 
