angle_deg	verdict	minimax_pairing	minimax_rate	M_norm
0.00	Soft	1.429560E-14	2.220446E-15	6.400000E+01
2.50	Hard	1.000000E-01	1.000000E-01	6.409126E+01
5.00	Hard	1.000000E-01	1.000000E-01	6.436358E+01
7.50	Hard	1.000000E-01	1.000000E-01	6.481262E+01
10.00	Hard	1.000000E-01	1.000000E-01	6.543137E+01
12.50	Hard	1.000000E-01	1.000000E-01	6.621044E+01
15.00	Hard	1.000000E-01	1.000000E-01	6.713844E+01
17.50	Hard	1.000000E-01	1.000000E-01	6.820238E+01
20.00	Hard	1.000000E-01	1.000000E-01	6.938812E+01
22.50	Hard	1.000000E-01	1.000000E-01	7.068075E+01
25.00	Hard	1.000000E-01	1.000000E-01	7.206495E+01
27.50	Hard	1.000000E-01	1.000000E-01	7.352532E+01
30.00	Hard	1.000000E-01	1.000000E-01	7.504665E+01
32.50	Hard	1.000000E-01	1.000000E-01	7.661408E+01
35.00	Hard	1.000000E-01	1.000000E-01	7.821326E+01
37.50	Hard	1.000000E-01	1.000000E-01	7.983049E+01
40.00	Hard	1.000000E-01	1.000000E-01	8.145276E+01
42.50	Hard	1.000000E-01	1.000000E-01	8.306779E+01
45.00	Hard	1.000000E-01	1.000000E-01	8.466404E+01
47.50	Hard	1.000000E-01	1.000000E-01	8.623075E+01
50.00	Hard	1.000000E-01	1.000000E-01	8.775789E+01
52.50	Hard	1.000000E-01	1.000000E-01	8.923616E+01
55.00	Hard	1.000000E-01	1.000000E-01	9.065697E+01
57.50	Hard	1.000000E-01	1.000000E-01	9.201241E+01
60.00	Hard	1.000000E-01	1.000000E-01	9.329523E+01
62.50	Hard	1.000000E-01	1.000000E-01	9.449882E+01
65.00	Hard	1.000000E-01	1.000000E-01	9.561717E+01
67.50	Hard	1.000000E-01	1.000000E-01	9.664488E+01
70.00	Hard	1.000000E-01	1.000000E-01	9.757709E+01
72.50	Hard	1.000000E-01	1.000000E-01	9.840953E+01
75.00	Hard	1.000000E-01	1.000000E-01	9.913844E+01
77.50	Hard	1.000000E-01	1.000000E-01	9.976060E+01
80.00	Hard	1.000000E-01	1.000000E-01	1.002733E+02
82.50	Hard	1.000000E-01	1.000000E-01	1.006743E+02
85.00	Hard	1.000000E-01	1.000000E-01	1.009620E+02
87.50	Hard	1.000000E-01	1.000000E-01	1.011351E+02
90.00	Soft	2.488485E-14	3.594347E-15	1.011929E+02
