# K = sum_lambda q_lambda * m_lambda(cos x) ; lines: lambda_parts;q_lambda (dyadic rational)
1,1,1,1,1,1;7/8192
2,1,1,1,1;5/16384
2,2,1,1;5/32768
2,2,2;3/65536
3,1,1,1;1/16384
3,2,1;1/32768
3,3;1/32768
4,1,1;-1/65536
4,2;1/131072
5,1;-1/65536
6;-1/131072
2,2,1,1,1,1;-13/16384
2,2,2,1,1;-23/32768
2,2,2,2;-35/131072
3,1,1,1,1,1;-21/16384
3,2,1,1,1;-9/16384
3,2,2,1;-11/32768
3,3,1,1;-3/16384
3,3,2;-5/32768
4,1,1,1,1;-15/32768
4,2,1,1;-13/65536
4,2,2;-25/262144
4,3,1;-1/65536
4,4;-11/524288
5,1,1,1;-3/32768
5,2,1;-1/65536
5,3;-1/65536
6,1,1;1/65536
6,2;1/262144
7,1;1/65536
8;7/1048576
2,2,2,2,1,1;223/131072
2,2,2,2,2;97/131072
3,2,2,1,1,1;65/65536
3,2,2,2,1;139/131072
3,3,1,1,1,1;49/32768
3,3,2,1,1;49/65536
3,3,2,2;83/131072
3,3,3,1;21/65536
4,2,1,1,1,1;71/131072
4,2,2,1,1;157/262144
4,2,2,2;83/262144
4,3,1,1,1;75/131072
4,3,2,1;81/262144
4,3,3;25/262144
4,4,1,1;119/524288
4,4,2;65/524288
5,1,1,1,1,1;35/65536
5,2,1,1,1;39/131072
5,2,2,1;45/262144
5,3,1,1;19/131072
5,3,2;25/262144
5,4,1;7/524288
5,5;7/524288
6,1,1,1,1;25/131072
6,2,1,1;19/262144
6,2,2;9/262144
6,3,1;-1/262144
6,4;3/524288
7,1,1,1;5/131072
7,2,1;-1/262144
7,3;-1/262144
8,1,1;-3/1048576
8,2;-5/1048576
9,1;-3/1048576
10;-1/1048576
2,2,2,2,2,2;-153/32768
3,2,2,2,2,1;-53/16384
3,3,2,2,1,1;-13/8192
3,3,2,2,2;-93/65536
3,3,3,1,1,1;-103/65536
3,3,3,2,1;-13/16384
3,3,3,3;-13/32768
4,2,2,2,1,1;-79/65536
4,2,2,2,2;-37/65536
4,3,2,1,1,1;-37/65536
4,3,2,2,1;-43/65536
4,3,3,1,1;-9/16384
4,3,3,2;-53/131072
4,4,1,1,1,1;-23/131072
4,4,2,1,1;-23/65536
4,4,2,2;-1/4096
4,4,3,1;-1/4096
4,4,4;-7/65536
5,2,2,1,1,1;-15/65536
5,2,2,2,1;-3/8192
5,3,1,1,1,1;-53/131072
5,3,2,1,1;-17/65536
5,3,2,2;-17/65536
5,3,3,1;-5/32768
5,4,1,1,1;-21/131072
5,4,2,1;-13/131072
5,4,3;-3/65536
5,5,1,1;-7/131072
5,5,2;-3/65536
6,2,1,1,1,1;-1/65536
6,2,2,1,1;-1/8192
6,2,2,2;-5/65536
6,3,1,1,1;-9/65536
6,3,2,1;-1/16384
6,3,3;-1/131072
6,4,1,1;-7/131072
6,4,2;-1/32768
7,1,1,1,1,1;-3/131072
7,2,1,1,1;-3/65536
7,2,2,1;-1/65536
7,3,1,1;-1/32768
7,3,2;-1/131072
8,1,1,1,1;-5/262144
8,2,1,1;-1/131072
9,1,1,1;-1/262144
3,3,2,2,2,2;97/32768
3,3,3,2,2,1;59/32768
3,3,3,3,1,1;21/16384
3,3,3,3,2;9/16384
4,2,2,2,2,2;175/65536
4,3,2,2,2,1;109/65536
4,3,3,2,1,1;53/65536
4,3,3,2,2;37/65536
4,3,3,3,1;23/65536
4,4,2,2,1,1;5/8192
4,4,2,2,2;1/4096
4,4,3,1,1,1;1/4096
4,4,3,2,1;1/4096
4,4,3,3;3/16384
4,4,4,1,1;7/65536
4,4,4,2;7/65536
5,2,2,2,2,1;81/65536
5,3,2,2,1,1;1/2048
5,3,2,2,2;25/65536
5,3,3,1,1,1;25/65536
5,3,3,2,1;11/65536
