Lens Survey Summary
Computed: 2026-04-11 09:05

 N  Topology    Profile                 SlowRate    SEFrac  psi_opt_shape                             |c_slow|     2ndRate       2ndSE
----------------------------------------------------------------------------------------------------------------------------------
 2  chain       uniform                   0,1000    0,0000  n/a                                            NaN     -0,1000         NaN
 2  chain       edge_sacrifice            0,1000    0,0000  n/a                                            NaN     -0,1000         NaN
 2  chain       center_sacrifice          0,1000    0,0000  n/a                                            NaN     -0,1000         NaN
 2  chain       moderate_asymmetry        0,1250    1,0000  [0,981,0,192]                               0,3025     -0,1250   0,00E+000
 3  chain       uniform                   0,1333    1,0000  [0,506,0,418,0,755]                         0,0914     -0,1000   0,00E+000
 3  chain       edge_sacrifice            0,1169    1,0000  [0,195,0,968,0,160]                         0,3092     -0,0509   0,00E+000
 3  chain       center_sacrifice          0,0030    0,9971  [0,707,0,000,0,707]                         0,2667     -0,0020   0,00E+000
 3  chain       moderate_asymmetry        0,1250    0,0000  n/a                                            NaN     -0,1250         NaN
 4  chain       uniform                   0,1499    1,0000  [0,725,0,479,0,290,0,401]                   0,1136     -0,1000   0,00E+000
 4  chain       edge_sacrifice            0,0734    0,9813  [0,270,0,653,0,654,0,271]                   0,2124     -0,0305   0,00E+000
 4  chain       center_sacrifice          0,0741    0,9993  [0,653,0,271,0,271,0,654]                   0,2194     -0,0308   0,00E+000
 4  chain       moderate_asymmetry        0,1874    0,9999  [0,399,0,290,0,478,0,726]                   0,1143     -0,1250   0,00E+000
 5  chain       uniform                   0,1598    1,0000  [0,365,0,265,0,053,0,465,0,760]             0,0536     -0,1000   0,00E+000
 5  chain       edge_sacrifice            0,0477    0,9999  [0,194,0,511,0,633,0,512,0,196]             0,1050     -0,0205   0,00E+000
 5  chain       center_sacrifice          0,0032    1,0000  [0,490,0,509,0,000,0,509,0,490]             0,0001     -0,0020   0,00E+000
 5  chain       moderate_asymmetry        0,1996    1,0000  [0,055,0,639,0,595,0,459,0,155]             0,0083     -0,1250   0,00E+000
 6  chain       uniform                   0,1665    0,9999  [0,591,0,429,0,479,0,437,0,140,0,163]       0,0153     -0,1000   0,00E+000
 6  chain       edge_sacrifice            0,0337    0,9999  [0,148,0,407,0,558,0,558,0,409,0,150]       0,0698     -0,0149   0,00E+000
 6  chain       center_sacrifice          0,0345    0,9987  [0,557,0,408,0,150,0,150,0,409,0,558]       0,0813     -0,0152   0,00E+000
 6  chain       moderate_asymmetry        0,2051    1,0000  [0,326,0,436,0,702,0,450,0,081,0,035]       0,1274     -0,1250   0,00E+000
 7  chain       uniform                   0,1710    1,0000  [0,580,0,509,0,421,0,351,0,273,0,168,0,055]    0,0153     -0,1000   0,00E+000
 7  chain       edge_sacrifice            0,0253    1,0000  [0,118,0,332,0,481,0,535,0,482,0,334,0,119]    0,1577     -0,0115   0,00E+000
 7  chain       center_sacrifice          0,0034    1,0000  [0,664,0,132,0,204,0,000,0,204,0,132,0,664]    0,0001     -0,0020   0,00E+000
 7  chain       moderate_asymmetry        0,2134    1,0000  [0,589,0,510,0,418,0,334,0,273,0,172,0,049]    0,0173     -0,1250   0,00E+000
 3  star        uniform                   0,1000    0,0000  n/a                                            NaN     -0,1000         NaN
 3  star        edge_sacrifice            0,0030    0,9998  [0,000,0,707,0,707]                         0,3245     -0,0020   0,00E+000
 3  star        center_sacrifice          0,1169    1,0000  [0,215,0,691,0,690]                         0,2153     -0,0509   0,00E+000
 3  star        moderate_asymmetry        0,1625    0,9999  [0,229,0,688,0,688]                         0,2088     -0,1125   0,00E+000
 4  star        uniform                   0,1000    1,0000  [0,866,0,289,0,289,0,289]                   0,1768     -0,1000   0,00E+000
 4  star        edge_sacrifice            0,0027    0,9999  [0,867,0,288,0,288,0,288]                   0,2655     -0,0020   0,00E+000
 4  star        center_sacrifice          0,0027    1,0000  [0,000,0,707,0,000,0,707]                   0,2334     -0,0020   0,00E+000
 4  star        moderate_asymmetry        0,1234    1,0000  [0,866,0,289,0,289,0,289]                   0,1030     -0,1083   0,00E+000
 5  star        uniform                   0,0800    0,9999  [0,894,0,224,0,224,0,224,0,224]             0,2924     -0,0800   0,00E+000
 5  star        edge_sacrifice            0,0020    1,0000  [0,000,0,239,0,251,0,371,0,861]             0,1639     -0,0020   0,00E+000
 5  star        center_sacrifice          0,0022    1,0000  [0,000,0,451,0,000,0,487,0,748]             0,1195     -0,0020   0,00E+000
 5  star        moderate_asymmetry        0,0964    1,0000  [0,894,0,224,0,224,0,224,0,224]             0,2736     -0,0964   0,00E+000
 6  star        uniform                   0,0667    1,0000  [0,913,0,183,0,183,0,183,0,183,0,183]       0,3461     -0,0667   0,00E+000
 6  star        edge_sacrifice            0,0016    0,9951  [0,000,0,403,0,120,0,123,0,871,0,225]       0,1148     -0,0016   0,00E+000
