t,d2,d_out,p_out,p_out_unitary,delta_p_out,A_stationary_frobenius,B_frobenius,trace_error,hermitian_error,A_min_eigenvalue,pair_index,physical_min_eigenvalue
0.000000000000000000e+00,9.088790297427501577e-16,1.492006720860791766e-15,8.326672684688674053e-17,0.000000000000000000e+00,8.326672684688674053e-17,8.280484329880174466e-01,1.000000000000000000e+00,4.440892098500626162e-16,8.425350797809115130e-16,-2.444867774690386820e-16,1.400000000000000000e+01,-3.687216567285753381e-16
1.000000000000000056e-01,1.933146534080213487e-07,4.094583366887792757e-06,9.966108456530009541e-05,9.966109201170469944e-05,-7.446404604039003061e-12,8.280484328119028792e-01,9.417645337289938245e-01,1.115158165386401619e-16,1.464057151220226112e-15,-3.250857997033335132e-16,1.600000000000000000e+01,-3.544468708412755773e-16
2.000000000000000111e-01,5.718649963949907484e-06,6.177396449733631991e-05,3.944721147784990833e-04,3.944730179510358425e-04,-9.031725367592002840e-10,8.280484121689528632e-01,8.869204537027146618e-01,2.232798506992659577e-16,2.862743130895267078e-15,-3.490673511533971821e-16,1.600000000000000000e+01,-4.812939826526849649e-16
3.000000000000000444e-01,3.832763262618406450e-05,2.878996468153973472e-04,8.711761107590421105e-04,8.711902808503368956e-04,-1.417009129478508100e-08,8.280481161825202774e-01,8.352704680609993604e-01,4.504028352301817871e-16,3.809170988975209876e-15,-2.529577850916326302e-16,1.600000000000000000e+01,-5.137786898757915605e-16
4.000000000000000222e-01,1.356662465738101963e-04,8.167607182569648974e-04,1.505518195098393130e-03,1.505612580521425992e-03,-9.438542303286112656e-08,8.280463968842033395e-01,7.866294996290021935e-01,2.747418443289357164e-16,4.833572523387893033e-15,-2.939482912602055783e-16,1.600000000000000000e+01,-4.244675501377835995e-16
5.000000000000000000e-01,3.292746998066143553e-04,1.741677511288250955e-03,2.260052899004230675e-03,2.260439888440435308e-03,-3.869894362046322200e-07,8.280404228872951800e-01,7.408246279839323378e-01,3.172956010276525546e-16,5.556231624918668111e-15,-4.501786318098421602e-16,1.600000000000000000e+01,-5.344374966372692917e-16
6.000000000000000888e-01,6.119556413062381128e-04,3.059972204739312522e-03,3.082992595614363063e-03,3.084143669327896187e-03,-1.151073713533123932e-06,8.280257107827974083e-01,6.976944062460351814e-01,2.830039836806146407e-16,6.308892863396640334e-15,-5.812816365169252395e-16,1.600000000000000000e+01,-6.109721592866695206e-16
7.000000000000000666e-01,9.153619528020713516e-04,4.637867995228549256e-03,3.909518136707632041e-03,3.912225493253856240e-03,-2.707356546224198857e-06,8.279977957637213448e-01,6.570869400452852283e-01,2.664718454351513364e-16,7.078179040296630975e-15,-8.391603442219492003e-16,1.600000000000000000e+01,-6.327661418712803529e-16
8.000000000000000444e-01,1.340311522011389256e-03,6.206434730146964847e-03,4.666620315715732867e-03,4.671911644150426521e-03,-5.291328434693653993e-06,8.279552912123362418e-01,6.188569578895471990e-01,3.041288121819387678e-17,7.850620315983964054e-15,-1.366969855107094948e-16,8.000000000000000000e+00,-2.898184769618687436e-16
9.000000000000000222e-01,2.187001593494206086e-03,7.395314524800774073e-03,5.281713759197627020e-03,5.290564333645887164e-03,-8.850574448260144222e-06,8.279027008245041230e-01,5.828631271763692334e-01,8.597204280676091040e-19,8.507263380700936339e-15,4.098692508018453872e-15,8.000000000000000000e+00,2.385329602755945351e-16
1.000000000000000000e+00,3.080738042506699081e-03,7.810365667799006734e-03,5.694100200173792155e-03,5.706980484948086414e-03,-1.288028477429425944e-05,8.278506578847228958e-01,5.489673133701687968e-01,6.710719648516425954e-16,9.272648313283290384e-15,2.152914621940499681e-14,8.000000000000000000e+00,3.440953321487415210e-15
1.100000000000000089e+00,3.756053981792888824e-03,7.184535791838201485e-03,5.867157696312336364e-03,5.883560375017735967e-03,-1.640267870539960371e-05,8.278120257945588145e-01,5.170368465600676533e-01,5.692444696527669378e-16,9.924379197887899769e-15,7.468470515824781564e-14,8.000000000000000000e+00,1.458904642837896709e-14
1.200000000000000178e+00,4.464886140938754966e-03,5.797677371805195351e-03,5.798298287765268552e-03,5.816440728880479388e-03,-1.814244111521083613e-05,8.277944267635412023e-01,4.869493026230743427e-01,5.658609658434963392e-16,1.067858946848444194e-14,2.011979125782214254e-13,1.800000000000000000e+01,4.639324617232378164e-14
1.300000000000000044e+00,5.117628421731967858e-03,5.848210898242630837e-03,5.523643957734062152e-03,5.540487543518315613e-03,-1.684358578425346198e-05,8.277922821420390376e-01,4.585976023953227121e-01,1.111977000017721488e-15,1.157997378585455607e-14,4.485868105776993919e-13,1.800000000000000000e+01,1.284882822293148824e-13
1.400000000000000133e+00,5.248244316998842973e-03,9.891774393465436327e-03,5.115218367971708160e-03,5.126778983779487799e-03,-1.156061580777963810e-05,8.277828891117408050e-01,4.318923809456782781e-01,1.111030222746803999e-15,1.269429934012966953e-14,1.099528024954764905e-12,1.800000000000000000e+01,3.445785824242077907e-13
1.500000000000000000e+00,4.717824277708115854e-03,1.634425971797894006e-02,4.670149070768878780e-03,4.671850984889190997e-03,-1.701914120312217338e-06,8.277302511261298568e-01,4.067592708609336638e-01,1.114283327957977169e-15,1.367972166266049281e-14,3.027331954664734109e-12,1.800000000000000000e+01,9.131331691002723963e-13
1.600000000000000089e+00,3.858244679340497307e-03,2.358408727049624357e-02,4.293518540808637096e-03,4.280173389692921992e-03,1.334515111571510371e-05,8.275971818957255088e-01,3.831309383047356576e-01,1.229472241387229088e-15,1.505453951786233167e-14,8.098366491733955415e-12,2.000000000000000000e+01,2.322997172405877267e-12
1.700000000000000178e+00,4.582368769935010570e-03,3.046038683664646987e-02,4.078468457235626121e-03,4.043453972699853627e-03,3.501448453577249431e-05,8.273618630801852225e-01,3.609364923802462766e-01,9.000800160328909059e-16,1.546292033318566090e-14,1.874035620453293053e-11,7.000000000000000000e+00,5.841139843657493904e-12
1.800000000000000044e+00,5.265066884785158871e-03,3.591449519320395745e-02,4.088294281873419700e-03,4.021725512021664950e-03,6.656876985175474992e-05,8.270317744590302000e-01,3.400927812696876162e-01,6.661406234555956304e-16,1.615792895667568457e-14,4.658855921387071330e-11,7.000000000000000000e+00,1.509805655795081725e-11
1.900000000000000133e+00,6.031051309887801998e-03,3.899850355824341364e-02,4.345105311153923955e-03,4.231203752374956828e-03,1.139015587789671269e-04,8.266477222134164249e-01,3.205018737777018956e-01,2.282162438630271273e-16,1.685453473732944048e-14,1.157119598721987867e-10,1.400000000000000000e+01,3.744739547005220015e-11
2.000000000000000000e+00,7.312305916303293504e-03,3.899899640866768408e-02,4.828087040957662612e-03,4.642430777261369323e-03,1.856562636962932888e-04,8.262740714617609061e-01,3.020565971193043264e-01,3.180320376925236642e-16,1.766433682063406981e-14,2.562012146972225195e-10,1.400000000000000000e+01,8.396127231374659256e-11
2.100000000000000089e+00,8.009033404854030980e-03,3.561071158163370276e-02,5.481853289344973401e-03,5.189543529026091617e-03,2.923097603188817839e-04,8.259769404691353900e-01,2.846525081862326667e-01,3.672400260944292565e-16,1.845785607654976107e-14,5.053586555577166076e-10,1.400000000000000000e+01,1.715102105302940290e-10
2.200000000000000178e+00,8.195288301613633600e-03,2.924257188205101748e-02,6.232544195278605370e-03,5.788371146876136741e-03,4.441730484024686287e-04,8.257977027040974694e-01,2.682017498255177546e-01,4.812091408439020388e-16,1.923359293512125234e-14,9.181935838098224002e-10,1.000000000000000000e+00,3.281421945160339663e-10
2.300000000000000266e+00,7.785025458639112036e-03,2.194086783118522760e-02,7.007087214069590564e-03,6.358431205579967438e-03,6.486560084896231260e-04,8.257323559697341553e-01,2.526430916226874435e-01,5.374765735572759902e-16,2.003282936748388818e-14,1.543148691325308723e-09,1.000000000000000000e+00,5.956287630215522223e-10
2.400000000000000355e+00,7.581793616890468261e-03,1.998137538352295905e-02,7.750125587800749116e-03,6.842638987893556735e-03,9.074865999071923817e-04,8.257265027302647109e-01,2.379435462902947385e-01,8.735246812856634035e-16,2.086338033593696180e-14,2.469946793470384671e-09,1.900000000000000000e+01,1.057822655071637886e-09
2.500000000000000000e+00,1.091617723586632560e-02,2.838734820069226464e-02,8.433870993925951520e-03,7.219144718335068767e-03,1.214726275590882754e-03,8.256903800430072105e-01,2.240901029736373229e-01,6.625228956104360863e-16,2.174069534523710722e-14,4.909717335304809539e-09,4.000000000000000000e+00,2.035475660657083935e-09
2.600000000000000089e+00,1.529771912614727447e-02,4.127651736317879128e-02,9.058363706804656301e-03,7.502063220859084280e-03,1.556300485945572021e-03,8.255300821458672056e-01,2.110743494969369027e-01,7.689445615417361400e-16,2.255411374615055925e-14,9.930802348052850337e-09,4.000000000000000000e+00,4.040351359520636707e-09
2.700000000000000178e+00,1.735793735319837716e-02,5.384915710760163066e-02,9.642646412814467882e-03,7.731265695412756211e-03,1.911380717401711671e-03,8.251834557780824975e-01,1.988761911149999340e-01,9.505274105331291193e-16,2.393526842104228090e-14,1.906056347252566173e-08,1.000000000000000000e+01,7.797601469983122797e-09
2.800000000000000266e+00,1.647799816490380653e-02,6.370458302387485561e-02,1.021021987385029028e-02,7.954792499325763488e-03,2.255427374524526796e-03,8.246462083507883900e-01,1.874535224419267010e-01,9.618990443708235588e-16,2.464031061831065173e-14,3.629161104662703631e-08,1.000000000000000000e+01,1.414977742179547245e-08
2.900000000000000355e+00,1.419440193585141952e-02,6.938265679496209704e-02,1.077392507446302272e-02,8.209716831898167255e-03,2.564208242564855467e-03,8.239773454269206931e-01,1.767419854314244143e-01,9.556465958712312757e-16,2.550409546066591816e-14,5.795873388443950441e-08,3.000000000000000000e+00,2.215326721616206929e-08
3.000000000000000000e+00,1.749546361808912431e-02,7.007027749110932013e-02,1.132550305512493305e-02,8.507683167201594843e-03,2.817819887923338207e-03,8.232813000926547664e-01,1.666643781898211607e-01,9.804864616652622274e-16,2.582037929291750131e-14,7.953395114334575168e-08,3.000000000000000000e+00,3.096320271240602917e-08
3.100000000000000089e+00,2.010307401885068346e-02,6.561453745976364438e-02,1.183347714416995225e-02,8.829713751152842502e-03,3.003763393017109748e-03,8.226730369816014354e-01,1.571453628539301317e-01,1.009445988752779746e-15,2.607034424408045004e-14,1.034920837965608955e-07,3.000000000000000000e+00,4.141205262594570517e-08
3.200000000000000178e+00,2.526031062585130937e-02,5.665854429589368968e-02,1.225020243621504669e-02,9.131750327136355441e-03,3.118452109078691248e-03,8.222385688739924925e-01,1.481254559684050121e-01,6.134807453810744709e-16,2.817237469322601022e-14,1.330773140540188862e-07,1.300000000000000000e+01,5.468626465029186567e-08
3.300000000000000266e+00,2.573866872604812020e-02,4.502161892627590950e-02,1.252584965731162563e-02,9.358814201652571399e-03,3.167035455659054227e-03,8.220050958165515675e-01,1.395689836447986110e-01,7.633971852615443225e-16,2.821360022243715335e-14,1.689609884876702026e-07,1.300000000000000000e+01,7.131186560999032389e-08
3.400000000000000355e+00,2.007301106090279494e-02,3.486579731520701719e-02,1.262474518076725852e-02,9.462825753511769702e-03,3.161919427255488815e-03,8.219319922206439477e-01,1.314631656978827445e-01,6.531724039329905679e-16,2.865053050289677816e-14,2.083550612711024750e-07,1.300000000000000000e+01,9.088418675499659198e-08
3.500000000000000000e+00,1.849871892336889950e-02,3.372304715599934444e-02,1.253864628077660560e-02,9.417978446920991994e-03,3.120667833855613610e-03,8.219265559932718013e-01,1.238090448747043298e-01,6.335850411142599272e-16,2.993098161874116888e-14,2.530477377013581590e-07,6.000000000000000000e+00,1.147782910272335988e-07
3.600000000000000089e+00,1.671949448287018275e-02,4.303625793508301933e-02,1.229246626906785843e-02,9.228492016131777803e-03,3.063974252936080625e-03,8.218788237730708657e-01,1.166084211778475599e-01,9.624847876420045657e-16,3.044315427504904042e-14,3.385497155984387787e-07,6.000000000000000000e+00,1.556619582693456918e-07
3.700000000000000178e+00,1.646474296211476035e-02,5.522398290800254600e-02,1.194036874216231232e-02,8.926247566985800325e-03,3.014121175176511999e-03,8.217018580791106697e-01,1.098526051160447492e-01,8.438214926836229563e-16,3.175819377495358930e-14,5.083097712243322754e-07,2.000000000000000000e+01,2.329386968832775942e-07
3.800000000000000266e+00,2.373780683669193814e-02,6.522741183981325963e-02,1.155323452526115305e-02,8.559310752137358133e-03,2.993923773123794915e-03,8.213618103261606240e-01,1.035175912988640506e-01,7.870347846144077652e-16,3.222731381391378623e-14,7.418694964877557004e-07,8.000000000000000000e+00,3.454524348042038393e-07
3.900000000000000355e+00,2.523001681277126096e-02,7.079610287063298202e-02,1.120126273137258405e-02,8.175475968040746277e-03,3.025786763331837770e-03,8.208869054456920944e-01,9.756686553503357562e-02,5.271583311582602845e-16,3.312879292236202895e-14,1.053271058331120195e-06,8.000000000000000000e+00,4.985709282585215246e-07
4.000000000000000000e+00,2.374611545455453110e-02,7.105572050543650098e-02,1.093700737147317026e-02,7.806647364926672106e-03,3.130360006546498153e-03,8.203535226364140343e-01,9.195955389924621859e-02,5.543005119433998224e-16,3.422619213831493998e-14,1.499294827790849848e-06,1.400000000000000000e+01,6.943145348135064940e-07
4.100000000000000533e+00,2.513080158439592177e-02,6.608580479566068810e-02,1.078398686177388377e-02,7.459544515167171319e-03,3.324442346606712451e-03,8.198562353971736716e-01,8.665974948811627776e-02,5.598979629180768131e-16,3.541525808083991349e-14,1.738615727398183781e-06,1.400000000000000000e+01,7.488737744157751089e-07
4.200000000000000178e+00,2.456177872567102613e-02,5.688123580368705662e-02,1.073420689166110220e-02,7.116006776079319973e-03,3.618200115581782228e-03,8.194736854419861771e-01,8.164299214960553386e-02,7.141622851000185257e-16,3.562375335576191428e-14,1.801030531708962654e-06,1.400000000000000000e+01,7.839357817900246776e-07
4.299999999999999822e+00,2.559503775238038126e-02,4.561499266678568920e-02,1.075510385190148188e-02,6.742838774379672495e-03,4.012265077521809387e-03,8.192425159521615763e-01,7.689748030234712373e-02,9.685234521366678028e-16,3.630313975531139270e-14,1.877823364124318062e-06,4.000000000000000000e+00,8.309792266085807766e-07
4.400000000000000355e+00,2.325861077922177639e-02,3.647241609080290742e-02,1.080346496969991632e-02,6.307831744412989439e-03,4.495633225286926882e-03,8.191479143068171043e-01,7.241997044091039171e-02,1.076526257793817797e-15,3.729063745365744483e-14,1.981300373370083905e-06,4.000000000000000000e+00,8.931361905569466742e-07
4.500000000000000000e+00,1.563180231771324133e-02,3.549729109544801781e-02,1.084175052724212218e-02,5.796432661178546608e-03,5.045317866063575574e-03,8.191329900277254383e-01,6.820867315948328513e-02,1.408615131318399062e-15,3.746561856616743154e-14,2.116104624600624493e-06,4.000000000000000000e+00,9.719454316323341437e-07
4.600000000000000533e+00,1.030486640099439501e-02,4.296937386919053026e-02,1.085158954616191607e-02,5.223234468079429593e-03,5.628355078082486473e-03,8.191222819213259676e-01,6.425672611971131043e-02,1.434384583149853765e-15,3.895683334308151571e-14,2.309069139882316968e-06,0.000000000000000000e+00,1.078081957066273957e-06
4.700000000000000178e+00,1.118715578850830103e-02,5.256714926820904576e-02,1.084021625666967137e-02,4.634107288014110981e-03,6.206108968655560387e-03,8.190497331411700221e-01,6.054924354638040879e-02,1.295505508784554713e-15,3.978770094429312685e-14,2.626272537444794751e-06,1.800000000000000000e+01,1.243154615403374900e-06
4.800000000000000711e+00,1.752473519644273670e-02,5.992637011025794824e-02,1.083790971709572282e-02,4.097811682442970005e-03,6.740098034652752812e-03,8.188805612994707328e-01,5.706484508128702865e-02,1.378640256853103102e-15,4.048643925437031639e-14,3.126290947881540135e-06,1.000000000000000000e+01,1.503018198092147440e-06
4.900000000000000355e+00,2.061490070189123114e-02,6.314595510280904267e-02,1.088734590046533390e-02,3.689316673358311593e-03,7.198029227107022310e-03,8.186198013162137022e-01,5.378029927613888622e-02,1.499045761130873667e-15,4.087312523115479856e-14,3.829336900787444538e-06,1.000000000000000000e+01,1.871070493480235891e-06
