t,d2,d_out,p_out,p_out_unitary,delta_p_out,A_stationary_frobenius,B_frobenius,trace_error,hermitian_error,A_min_eigenvalue,pair_index,physical_min_eigenvalue
0.000000000000000000e+00,9.540979117872437047e-16,1.382706103709273725e-15,4.440892098500626162e-16,-5.551115123125782702e-17,4.996003610813204432e-16,8.529204110746502199e-01,9.999999999999995559e-01,4.463737109295438113e-16,1.080338960328980348e-15,-1.471292786170922889e-16,3.000000000000000000e+00,-3.902884419733568165e-16
1.000000000000000056e-01,2.121703865291809194e-07,4.089108441807589133e-06,9.966029270647158711e-05,9.966030013255910980e-05,-7.426087522688362696e-12,8.529204109039922876e-01,9.417645337287238183e-01,6.705369831714525640e-16,1.727506201503578189e-15,-5.488437788306803254e-16,7.000000000000000000e+00,-3.691976151192539760e-16
2.000000000000000111e-01,6.233497206432860030e-06,6.143955750458263880e-05,3.944229821847278217e-04,3.944238756055096218e-04,-8.934207818001027590e-10,8.529203910160773061e-01,8.869204535757299057e-01,4.583015982642533562e-16,2.572845403098568354e-15,-7.709172946963197171e-16,7.000000000000000000e+00,-5.039413118190160412e-16
3.000000000000000444e-01,4.128212005291421977e-05,2.843156702770795446e-04,8.706450926284359237e-04,8.706589129706954200e-04,-1.382034225949624329e-08,8.529201088373856710e-01,8.352704637123141707e-01,6.725910988343030493e-16,3.303487798802007396e-15,-7.564946417263167238e-16,7.000000000000000000e+00,-8.636714036969693522e-16
4.000000000000000222e-01,1.435326702012028918e-04,7.980881613095898918e-04,1.502750859957269203e-03,1.502841007389177364e-03,-9.014743190816076890e-08,8.529184964302635175e-01,7.866294496822114901e-01,8.881902991587529005e-16,3.994207127347831096e-15,-9.940153814646788038e-16,7.000000000000000000e+00,-8.968388292130217197e-16
5.000000000000000000e-01,3.396421079461672756e-04,1.676622354279966916e-03,2.250497828802294764e-03,2.250856815447205284e-03,-3.589866449105194590e-07,8.529130254210257611e-01,7.408243177212097130e-01,9.048129956388050237e-16,4.638707560628425175e-15,-1.295900989055594493e-15,7.000000000000000000e+00,-1.113303514348888925e-15
6.000000000000000888e-01,6.091650096746981623e-04,2.885382546046144636e-03,3.057848856539972793e-03,3.058875098188001962e-03,-1.026241648029169173e-06,8.528999942545326673e-01,6.976931183238475054e-01,7.538423718168659855e-16,5.033495414626890370e-15,-1.048110387877695473e-15,7.000000000000000000e+00,-9.996954773223316421e-16
7.000000000000000666e-01,8.657979342094116165e-04,4.249016837001741778e-03,3.855283650483667945e-03,3.857570592613997207e-03,-2.286942130329261413e-06,8.528763997771959815e-01,6.570829472360805168e-01,8.656302199580369251e-16,5.753086922644565005e-15,-4.425739705839244920e-16,7.000000000000000000e+00,-7.485268798417739543e-16
8.000000000000000444e-01,1.327047401178421682e-03,5.456208837268616135e-03,4.566709983660534496e-03,4.570857317352760608e-03,-4.147333692226112811e-06,8.528428127568287165e-01,6.188470996510737621e-01,1.008626105731323259e-15,6.667350700092818589e-15,-2.542079762853430024e-16,1.300000000000000000e+01,-8.029568673400322295e-16
9.000000000000000222e-01,2.086024556709573097e-03,6.111237023016296600e-03,5.120833555335285552e-03,5.127058490924291112e-03,-6.224935589005560488e-06,8.528052909505688950e-01,5.828429817288572901e-01,9.394098133271546281e-16,7.711740331531997949e-15,3.873661829199185863e-15,1.300000000000000000e+01,-4.725929376224569662e-16
1.000000000000000000e+00,2.798371490256610500e-03,5.853562928366909043e-03,5.465207322118010788e-03,5.472854453831292078e-03,-7.647131713281289656e-06,8.527740005403111612e-01,5.489324853966814910e-01,9.696999103286920858e-16,8.517061233034596609e-15,2.135688693680421914e-14,1.300000000000000000e+01,2.858543248946012714e-15
1.100000000000000089e+00,3.337170802374334055e-03,4.693511670231209978e-03,5.579709945657727876e-03,5.586864731417490355e-03,-7.154785759762478936e-06,8.527575712707541333e-01,5.169854762709052975e-01,1.019614713083888569e-15,9.228958703066736433e-15,7.000913067118422853e-14,3.000000000000000000e+00,1.383995520584982905e-14
1.200000000000000178e+00,4.005592350810840974e-03,4.432837088660934732e-03,5.485478750644308225e-03,5.488899777191656726e-03,-3.421026547348500479e-06,8.527548927391366274e-01,4.868851250834101418e-01,1.290056790835780073e-15,9.788690880485364768e-15,1.702421457341295093e-13,6.000000000000000000e+00,4.453364506945855967e-14
1.300000000000000044e+00,4.301076643447698800e-03,8.152423543084045404e-03,5.245788575696047618e-03,5.241239017615072562e-03,4.549558080975055208e-06,8.527486350859752040e-01,4.585321027935770899e-01,1.404000258045485768e-15,1.033617769754822847e-14,4.423519191158117152e-13,6.000000000000000000e+00,1.320341544929236778e-13
1.400000000000000133e+00,4.009882471396997161e-03,1.446443563522775179e-02,4.957120063414912833e-03,4.939925620939224910e-03,1.719444247568792383e-05,8.527054706601876477e-01,4.318443295343161181e-01,1.149442538257003679e-15,1.115538167399565773e-14,1.321815752422378316e-12,6.000000000000000000e+00,3.766280139510273618e-13
1.500000000000000000e+00,3.078396155225593400e-03,2.181179797894652536e-02,4.731333616455689339e-03,4.696731378910301569e-03,3.460223754538777063e-05,8.525857073759760540e-01,4.067506030187066912e-01,1.340384238343591608e-15,1.196392752871784542e-14,3.665345731344757505e-12,6.000000000000000000e+00,1.019569633693160592e-12
1.600000000000000089e+00,4.180094413325183625e-03,2.907676007456314396e-02,4.672683258088117242e-03,4.615405479983777925e-03,5.727777810433931638e-05,8.523603375468414844e-01,3.831795477452072940e-01,1.111782420115252628e-15,1.268588455955415330e-14,9.182602097292835432e-12,1.600000000000000000e+01,2.815673728706986072e-12
1.700000000000000178e+00,5.160039324649553713e-03,3.514092992258920078e-02,4.855410311186483807e-03,4.768092278446434129e-03,8.731803274004967808e-05,8.520286044487361821e-01,3.610483694785366349e-01,1.332301596808186817e-15,1.275518803607378016e-14,2.541951303949444710e-11,1.600000000000000000e+01,7.933190865053933206e-12
1.800000000000000044e+00,5.171728727511758737e-03,3.892385837360175238e-02,5.308046491149132073e-03,5.178479244087721978e-03,1.295672470614100957e-04,8.516270025165718627e-01,3.402569943620228909e-01,8.882143619853565074e-16,1.337481850018210474e-14,6.604507710735536662e-11,1.600000000000000000e+01,2.048319723383662813e-11
1.900000000000000133e+00,6.283599751652566533e-03,3.953349588982528473e-02,6.009004620352503823e-03,5.816852605023625777e-03,1.921520153288780453e-04,8.512229142666908333e-01,3.206913662596182490e-01,6.667044540398368182e-16,1.394798001780280060e-14,1.487220281663005382e-10,3.000000000000000000e+00,4.720301022713854396e-11
2.000000000000000000e+00,7.117767400504827757e-03,3.647021009223305743e-02,6.894876700234031652e-03,6.609014711001226505e-03,2.858619892328051471e-04,8.508922613946789948e-01,3.022357131859539914e-01,1.678859719919538437e-17,1.487184152726711328e-14,3.057958013804945186e-10,3.000000000000000000e+00,1.013399831938768981e-10
2.100000000000000089e+00,7.412529981825176882e-03,2.997078905934768417e-02,7.879034355309094684e-03,7.456866555893865156e-03,4.221677994152295277e-04,8.506880591352283805e-01,2.847894071819072059e-01,4.463858726711721625e-16,1.565079415645345856e-14,5.965053373874424356e-10,1.900000000000000000e+01,2.085602904154405551e-10
2.200000000000000178e+00,7.869297803173301228e-03,2.205532838923402253e-02,8.874894571481772854e-03,8.264726829491669813e-03,6.101677419901030408e-04,8.506124259975849089e-01,2.682814939324970060e-01,1.382565240864109529e-16,1.661151225185402705e-14,1.083104062703649142e-09,3.000000000000000000e+00,4.099481599340255618e-10
2.300000000000000266e+00,8.751157175246972175e-03,1.996660765312611302e-02,9.816715911543344442e-03,8.963467849822076561e-03,8.532480617212678808e-04,8.506056274432470810e-01,2.526761200469579416e-01,2.448407323284780887e-16,1.719307176261229358e-14,1.858138803748087070e-09,1.000000000000000000e+00,7.901508144189552685e-10
