label,site,alpha,beta,rmse,boundary
0.9,0,0.9688202731781906,-0.04940363984708249,0.003976350217524885,0
0.9,1,15.627976462608407,-0.7125870967967708,0.062490365737538155,0
0.9,2,1.0086430370694024,-0.00240415424957949,0.0004541628688089629,0
0.9,3,0.9962104017511347,0.0016629694155052182,0.00025334431807997834,0
0.9,4,0.9974475665417241,0.00131809150706224,0.00033918030591609624,0
0.9,5,15.650788206942117,-0.7192373819084147,0.0605556834763768,0
0.9,6,0.9610540442013776,0.026325868437098103,0.002108802503315311,0
1,0,0.999999996515746,0.0,5.307390926481043e-10,0
1,1,15.65077368308101,-0.7192347332843094,0.06054817909635036,0
1,2,0.9999999976254111,0.0,1.3837449811628206e-10,0
1,3,0.9999999976385812,0.0,1.3852451933488483e-10,0
1,4,0.999999997625411,0.0,1.383744787555594e-10,0
1,5,15.650791385752653,-0.7192399224508776,0.06054817909635683,0
1,6,0.999999996515746,0.0,5.307391014060821e-10,0
1.1,0,14.888091258436711,-0.40656541736202056,0.0676528214992419,0
1.1,1,15.674552887806557,-0.7259681526253372,0.05861762268286879,0
1.1,2,0.9906233411863797,0.002709325733515288,0.0003858297490380854,0
1.1,3,1.0037458811600328,-0.0016309071037481843,0.00019369876928507652,0
1.1,4,1.0021314361995515,-0.0011119521408403002,0.00028595425745303637,0
1.1,5,15.65078312821141,-0.7192370890821227,0.060548476704977684,0
1.1,6,1.0380410929479045,-0.025946777132338006,0.0021030046885645794,0
