s,f,abs_kappa_sq,re_kappa,im_kappa,lambda_s,lambda_f
62,28,6.626280500976738e-28,2.0164607279489433e-14,-1.6000520721577642e-14,-0.22360202545107066,-0.4763979745489286
69,22,4.258768615076352e-28,-1.798724680154738e-14,-1.0116116547759752e-14,-0.22450782941127312,-0.47549217058872706
67,27,2.956168164448135e-28,1.532119225200273e-14,-7.802428110657925e-15,-0.22360202545107163,-0.4763979745489276
66,29,1.7244650845956354e-28,-1.311795633790799e-14,-6.047561296118527e-16,-0.22360202545107138,-0.4763979745489288
75,18,1.2787346370689912e-28,1.2242457760164227e-15,-1.1241649611458502e-14,-0.22450782941127412,-0.47549217058872595
58,36,1.0102545856391503e-28,9.482021041061832e-15,-3.334176891044585e-15,-0.2236020254510691,-0.47639797454893074
63,31,8.655729375220607e-29,3.721063067342422e-15,8.527073554336579e-15,-0.2236020254510708,-0.47639797454892924
59,34,4.47446395434961e-29,-6.677995144665292e-15,-3.860315936848714e-16,-0.22360202545106972,-0.4763979745489302
70,20,4.061479322386388e-29,6.372880760202735e-15,3.440988377903282e-17,-0.22450782941127326,-0.47549217058872667
73,26,3.474696889630138e-29,3.904570338097043e-15,-4.416027555524775e-15,-0.22450782941127362,-0.47549217058872945
74,19,3.021364420614116e-29,-1.5293931133557465e-15,5.279640225523058e-15,-0.22450782941127392,-0.475492170588726
76,25,2.967542872276825e-29,-1.2895606532049926e-15,5.292680043652153e-15,-0.2245078294112742,-0.4754921705887284
78,12,2.865973183328464e-29,2.2357349261212735e-15,-4.8642801290022505e-15,-0.22888187950565153,-0.4711181204943484
77,17,2.368411609611104e-29,1.954691856673892e-15,4.4568257584926756e-15,-0.2245078294112747,-0.47549217058872534
72,23,2.153198894513358e-29,2.4165148632588158e-15,-3.961369063945292e-15,-0.22450782941127345,-0.4754921705887273
79,9,1.2181780013991092e-29,-3.274864972483117e-15,-1.2070788814299771e-15,-0.22888187950565228,-0.4711181204943478
60,35,1.0134733089402518e-29,-1.1520741838275981e-15,2.9677362019493055e-15,-0.22360202545107014,-0.4763979745489306
65,30,7.083721589651352e-30,3.794280531566521e-16,2.634341652506201e-15,-0.22360202545107108,-0.47639797454892896
64,32,3.758187772024068e-30,-1.8161992491145915e-15,6.779439943975179e-16,-0.22360202545107083,-0.4763979745489295
71,21,3.730398719413617e-30,1.931296220625295e-15,-2.2217731929008957e-17,-0.22450782941127326,-0.47549217058872684
68,24,3.5125135390232555e-30,1.0256363098725318e-15,-1.5686247795104828e-15,-0.2245078294112729,-0.47549217058872767
12,14,2.5766986626920905e-30,8.059138589802364e-16,1.388236836636917e-15,-0.10000000000000003,-0.47111812049434953
13,16,2.508552839901298e-30,1.570349407302223e-15,-2.0629003583996678e-16,-0.10000000000000005,-0.4711181204943499
61,33,1.9134513961612495e-30,-1.3415612008553008e-15,3.3714231493678214e-16,-0.22360202545107022,-0.4763979745489297
