N,topology,P,Q,parity,num_distinct,max_sv,frob_sq,cluster
3,chain,X,Y,odd,1,2.828427,512.0000,"(2.8284,64)"
3,chain,X,Z,odd,1,2.828427,512.0000,"(2.8284,64)"
3,chain,Y,X,odd,1,2.828427,512.0000,"(2.8284,64)"
3,chain,Z,X,odd,1,2.828427,512.0000,"(2.8284,64)"
3,chain,Y,Z,even,2,5.656854,1024.0000,"(5.6569,32), (0.0000,32)"
3,chain,Z,Y,even,2,5.656854,1024.0000,"(5.6569,32), (0.0000,32)"
3,star,X,Y,odd,2,4.000000,512.0000,"(4.0000,32), (0.0000,32)"
3,star,X,Z,odd,2,4.000000,512.0000,"(4.0000,32), (0.0000,32)"
3,star,Y,X,odd,2,4.000000,512.0000,"(4.0000,32), (0.0000,32)"
3,star,Z,X,odd,2,4.000000,512.0000,"(4.0000,32), (0.0000,32)"
3,star,Y,Z,even,3,8.000000,1024.0000,"(8.0000,8), (4.0000,32), (0.0000,24)"
3,star,Z,Y,even,3,8.000000,1024.0000,"(8.0000,8), (4.0000,32), (0.0000,24)"
3,ring,X,Y,odd,1,3.464102,768.0000,"(3.4641,64)"
3,ring,X,Z,odd,1,3.464102,768.0000,"(3.4641,64)"
3,ring,Y,X,odd,1,3.464102,768.0000,"(3.4641,64)"
3,ring,Z,X,odd,1,3.464102,768.0000,"(3.4641,64)"
3,ring,Y,Z,even,2,6.928203,1536.0000,"(6.9282,32), (0.0000,32)"
3,ring,Z,Y,even,2,6.928203,1536.0000,"(6.9282,32), (0.0000,32)"
4,chain,X,Y,odd,2,4.472136,3072.0000,"(4.4721,128), (2.0000,128)"
4,chain,X,Z,odd,2,4.472136,3072.0000,"(4.4721,128), (2.0000,128)"
4,chain,Y,X,odd,2,4.472136,3072.0000,"(4.4721,128), (2.0000,128)"
4,chain,Z,X,odd,2,4.472136,3072.0000,"(4.4721,128), (2.0000,128)"
4,chain,Y,Z,even,5,8.944272,6144.0000,"(8.9443,32), (6.4721,64), (4.0000,32), (2.4721,64), (0.0000,64)"
4,chain,Z,Y,even,5,8.944272,6144.0000,"(8.9443,32), (6.4721,64), (4.0000,32), (2.4721,64), (0.0000,64)"
4,star,X,Y,odd,2,6.000000,3072.0000,"(6.0000,64), (2.0000,192)"
4,star,X,Z,odd,2,6.000000,3072.0000,"(6.0000,64), (2.0000,192)"
4,star,Y,X,odd,2,6.000000,3072.0000,"(6.0000,64), (2.0000,192)"
4,star,Z,X,odd,2,6.000000,3072.0000,"(6.0000,64), (2.0000,192)"
4,star,Y,Z,even,4,12.000000,6144.0000,"(12.0000,8), (8.0000,48), (4.0000,120), (0.0000,80)"
4,star,Z,Y,even,4,12.000000,6144.0000,"(12.0000,8), (8.0000,48), (4.0000,120), (0.0000,80)"
4,ring,X,Y,odd,3,5.656854,4096.0000,"(5.6569,64), (4.0000,128), (0.0000,64)"
4,ring,X,Z,odd,3,5.656854,4096.0000,"(5.6569,64), (4.0000,128), (0.0000,64)"
4,ring,Y,X,odd,3,5.656854,4096.0000,"(5.6569,64), (4.0000,128), (0.0000,64)"
4,ring,Z,X,odd,3,5.656854,4096.0000,"(5.6569,64), (4.0000,128), (0.0000,64)"
