t,CPsi_0,CPsi_1,CPsi_2,CPsi_3,CPsi_4
0.050000,0.389717,0.408854,0.408965,0.408942,0.408942
0.100000,0.369781,0.405797,0.406643,0.406468,0.406466
0.150000,0.351799,0.401869,0.404564,0.404027,0.404006
0.200000,0.335866,0.396800,0.402762,0.401645,0.401561
0.250000,0.321997,0.390453,0.401203,0.399364,0.399124
0.300000,0.310122,0.382825,0.399782,0.397241,0.396692
0.350000,0.300092,0.374029,0.398334,0.395340,0.394262
0.400000,0.291692,0.364282,0.396659,0.393718,0.391841
0.450000,0.284661,0.353875,0.394543,0.392414,0.389442
0.500000,0.278718,0.343143,0.391785,0.391437,0.387094
0.550000,0.273583,0.332439,0.388224,0.390750,0.384837
0.600000,0.269002,0.322102,0.383752,0.390275,0.382729
0.650000,0.264760,0.312424,0.378329,0.389883,0.380836
0.700000,0.260694,0.303625,0.371988,0.389415,0.379232
0.750000,0.256690,0.295839,0.364833,0.388684,0.377991
0.800000,0.252689,0.289100,0.357027,0.387503,0.377175
0.850000,0.248671,0.283352,0.348783,0.385694,0.376825
0.900000,0.244654,0.278461,0.340340,0.383117,0.376956
0.950000,0.240676,0.274242,0.331946,0.379673,0.377544
1.000000,0.236787,0.270484,0.323829,0.375327,0.378529
1.050000,0.233037,0.266982,0.316180,0.370107,0.379812
1.100000,0.229469,0.263555,0.309129,0.364113,0.381264
1.150000,0.226109,0.260064,0.302735,0.357510,0.382734
1.200000,0.222969,0.256420,0.296984,0.350525,0.384059
1.250000,0.220040,0.252579,0.291795,0.343429,0.385079
1.300000,0.217299,0.248543,0.287037,0.336526,0.385648
1.350000,0.214712,0.244344,0.282557,0.330119,0.385642
1.400000,0.212239,0.240034,0.278199,0.324489,0.384967
1.450000,0.209836,0.235670,0.273837,0.319858,0.383566
1.500000,0.207464,0.231304,0.269391,0.316364,0.381421
1.550000,0.205086,0.226978,0.264841,0.314039,0.378549
1.600000,0.202673,0.222713,0.260234,0.312803,0.375003
1.650000,0.200199,0.218518,0.255677,0.312477,0.370867
1.700000,0.197645,0.214390,0.251332,0.312804,0.366249
1.750000,0.194991,0.210326,0.247385,0.313484,0.361273
1.800000,0.192220,0.206333,0.244029,0.314212,0.356072
1.850000,0.189315,0.202439,0.241427,0.314703,0.350777
1.900000,0.186257,0.198697,0.239686,0.314723,0.345509
1.950000,0.183031,0.195191,0.238836,0.314102,0.340372
2.000000,0.179628,0.192032,0.238823,0.312739,0.335447
2.050000,0.176045,0.189346,0.239511,0.310607,0.330784
2.100000,0.172294,0.187259,0.240701,0.307745,0.326403
2.150000,0.168405,0.185879,0.242160,0.304249,0.322297
