t,CPsi_0,CPsi_1,CPsi_2,CPsi_3,CPsi_4
0.050000,0.990062,0.990062,0.990062,0.990062,0.990062
0.100000,0.980248,0.980248,0.980248,0.980248,0.980248
0.150000,0.970555,0.970555,0.970555,0.970555,0.970555
0.200000,0.960982,0.960982,0.960982,0.960982,0.960982
0.250000,0.951527,0.951527,0.951527,0.951527,0.951527
0.300000,0.942188,0.942188,0.942188,0.942188,0.942188
0.350000,0.932965,0.932965,0.932965,0.932965,0.932965
0.400000,0.923855,0.923855,0.923855,0.923855,0.923855
0.450000,0.914857,0.914857,0.914857,0.914857,0.914857
0.500000,0.905969,0.905969,0.905969,0.905969,0.905969
0.550000,0.897189,0.897189,0.897189,0.897189,0.897189
0.600000,0.888517,0.888517,0.888517,0.888517,0.888517
0.650000,0.879951,0.879951,0.879951,0.879951,0.879951
0.700000,0.871489,0.871489,0.871489,0.871489,0.871489
0.750000,0.863130,0.863130,0.863130,0.863130,0.863130
0.800000,0.854872,0.854872,0.854872,0.854872,0.854872
0.850000,0.846714,0.846714,0.846714,0.846714,0.846714
0.900000,0.838655,0.838655,0.838655,0.838655,0.838655
0.950000,0.830694,0.830694,0.830694,0.830694,0.830694
1.000000,0.822828,0.822828,0.822828,0.822828,0.822828
1.050000,0.815057,0.815057,0.815057,0.815057,0.815057
1.100000,0.807379,0.807379,0.807379,0.807379,0.807379
1.150000,0.799793,0.799793,0.799793,0.799793,0.799793
1.200000,0.792298,0.792298,0.792298,0.792298,0.792298
1.250000,0.784893,0.784893,0.784893,0.784893,0.784893
1.300000,0.777576,0.777576,0.777576,0.777576,0.777576
1.350000,0.770346,0.770346,0.770346,0.770346,0.770346
1.400000,0.763203,0.763203,0.763203,0.763203,0.763203
1.450000,0.756143,0.756143,0.756143,0.756143,0.756143
1.500000,0.749168,0.749168,0.749168,0.749168,0.749168
1.550000,0.742275,0.742275,0.742275,0.742275,0.742275
1.600000,0.735464,0.735464,0.735464,0.735464,0.735464
1.650000,0.728732,0.728732,0.728732,0.728732,0.728732
1.700000,0.722080,0.722080,0.722080,0.722080,0.722080
1.750000,0.715506,0.715506,0.715506,0.715506,0.715506
1.800000,0.709009,0.709009,0.709009,0.709009,0.709009
1.850000,0.702588,0.702588,0.702588,0.702588,0.702588
1.900000,0.696242,0.696242,0.696242,0.696242,0.696242
1.950000,0.689970,0.689970,0.689970,0.689970,0.689970
2.000000,0.683771,0.683771,0.683771,0.683771,0.683771
2.050000,0.677644,0.677644,0.677644,0.677644,0.677644
2.100000,0.671588,0.671588,0.671588,0.671588,0.671588
2.150000,0.665602,0.665602,0.665602,0.665602,0.665602
2.200000,0.659685,0.659685,0.659685,0.659685,0.659685
2.250000,0.653836,0.653836,0.653836,0.653836,0.653836
2.300000,0.648055,0.648055,0.648055,0.648055,0.648055
2.350000,0.642340,0.642340,0.642340,0.642340,0.642340
2.400000,0.636690,0.636690,0.636690,0.636690,0.636690
2.450000,0.631105,0.631105,0.631105,0.631105,0.631105
2.500000,0.625584,0.625584,0.625584,0.625584,0.625584
2.550000,0.620125,0.620125,0.620125,0.620125,0.620125
2.600000,0.614729,0.614729,0.614729,0.614729,0.614729
