t,CPsi_0,CPsi_1,CPsi_2,CPsi_3,CPsi_4
0.050000,0.951435,0.914167,0.914385,0.914167,0.951435
0.100000,0.837360,0.713436,0.716224,0.713436,0.837360
0.150000,0.684695,0.476243,0.486252,0.476243,0.684695
0.200000,0.523751,0.269525,0.290227,0.269525,0.523751
0.250000,0.377910,0.116364,0.149930,0.116364,0.377910
0.300000,0.258702,0.002521,0.055879,0.002521,0.258702
0.350000,0.167152,0.093875,0.004671,0.093875,0.167152
0.400000,0.098744,0.179504,0.035099,0.179504,0.098744
0.450000,0.048309,0.245103,0.035373,0.245103,0.048309
0.500000,0.012510,0.279063,0.009876,0.279063,0.012510
0.550000,0.010154,0.279009,0.033270,0.279009,0.010154
0.600000,0.020516,0.253012,0.086468,0.253012,0.020516
0.650000,0.019757,0.213549,0.142936,0.213549,0.019757
0.700000,0.009668,0.171294,0.194197,0.171294,0.009668
0.750000,0.007659,0.132546,0.230531,0.132546,0.007659
0.800000,0.030284,0.099690,0.245421,0.099690,0.030284
0.850000,0.056689,0.072637,0.239304,0.072637,0.056689
0.900000,0.085787,0.049996,0.218902,0.049996,0.085787
0.950000,0.116782,0.029822,0.193316,0.029822,0.116782
1.000000,0.148964,0.010145,0.170414,0.010145,0.148964
1.050000,0.181547,0.010628,0.155390,0.010628,0.181547
1.100000,0.213556,0.033453,0.150932,0.033453,0.213556
1.150000,0.243785,0.058546,0.157835,0.058546,0.243785
1.200000,0.270803,0.085386,0.175527,0.085386,0.270803
1.250000,0.293049,0.112713,0.202413,0.112713,0.293049
1.300000,0.308979,0.138569,0.236046,0.138569,0.308979
1.350000,0.317277,0.160471,0.273203,0.160471,0.317277
1.400000,0.317079,0.175820,0.310067,0.175820,0.317079
1.450000,0.308154,0.182456,0.342629,0.182456,0.308154
1.500000,0.290998,0.179151,0.367184,0.179151,0.290998
1.550000,0.266805,0.165835,0.380703,0.165835,0.266805
1.600000,0.237297,0.143481,0.381003,0.143481,0.237297
1.650000,0.204478,0.113729,0.366843,0.113729,0.204478
1.700000,0.170352,0.078385,0.338150,0.078385,0.170352
1.750000,0.136696,0.038936,0.296351,0.038936,0.136696
1.800000,0.104948,0.003793,0.244539,0.003793,0.104948
1.850000,0.076243,0.049633,0.187059,0.049633,0.076243
1.900000,0.051541,0.098532,0.128408,0.098532,0.051541
1.950000,0.031777,0.149462,0.071978,0.149462,0.031777
2.000000,0.017916,0.199180,0.019611,0.199180,0.017916
2.050000,0.010875,0.241690,0.027455,0.241690,0.010875
2.100000,0.011329,0.269273,0.066886,0.269273,0.011329
2.150000,0.019535,0.275147,0.094472,0.275147,0.019535
2.200000,0.035271,0.256585,0.105445,0.256585,0.035271
2.250000,0.057946,0.216513,0.097153,0.216513,0.057946
2.300000,0.086744,0.162252,0.070793,0.162252,0.086744
2.350000,0.120646,0.102007,0.030505,0.102007,0.120646
2.400000,0.158211,0.041437,0.019404,0.041437,0.158211
2.450000,0.197221,0.017273,0.076381,0.017273,0.197221
2.500000,0.234471,0.073436,0.138745,0.073436,0.234471
2.550000,0.265997,0.124869,0.202876,0.124869,0.265997
2.600000,0.287836,0.166588,0.261425,0.166588,0.287836
2.650000,0.297053,0.192357,0.304743,0.192357,0.297053
2.700000,0.292614,0.197897,0.324901,0.197897,0.292614
2.750000,0.275667,0.183284,0.319451,0.183284,0.275667
2.800000,0.249129,0.152884,0.292352,0.152884,0.249129
2.850000,0.216795,0.113141,0.251780,0.113141,0.216795
2.900000,0.182380,0.069970,0.206630,0.069970,0.182380
2.950000,0.148860,0.027390,0.163902,0.027390,0.148860
3.000000,0.118245,0.012237,0.127925,0.012237,0.118245
3.050000,0.091685,0.047199,0.100906,0.047199,0.091685
3.100000,0.069712,0.075775,0.083745,0.075775,0.069712
3.150000,0.052444,0.096404,0.076459,0.096404,0.052444
3.200000,0.039698,0.108352,0.078216,0.108352,0.039698
3.250000,0.031034,0.112228,0.087299,0.112228,0.031034
3.300000,0.025804,0.109940,0.101144,0.109940,0.025804
3.350000,0.023231,0.104179,0.116456,0.104179,0.023231
3.400000,0.022522,0.097748,0.129454,0.097748,0.022522
3.450000,0.022994,0.093024,0.136415,0.093024,0.022994
3.500000,0.024183,0.091609,0.134569,0.091609,0.024183
3.550000,0.025917,0.094137,0.123020,0.094137,0.025917
3.600000,0.028337,0.100183,0.103088,0.100183,0.028337
3.650000,0.031861,0.108256,0.077823,0.108256,0.031861
3.700000,0.037100,0.115907,0.051070,0.115907,0.037100
3.750000,0.044739,0.120041,0.026743,0.120041,0.044739
3.800000,0.055411,0.117537,0.008568,0.117537,0.055411
3.850000,0.069579,0.106106,0.000138,0.106106,0.069579
3.900000,0.087443,0.085059,0.002974,0.085059,0.087443
3.950000,0.108863,0.055445,0.018648,0.055445,0.108863
4.000000,0.133267,0.019436,0.045960,0.019436,0.133267
4.050000,0.159534,0.020527,0.082853,0.020527,0.159534
4.100000,0.185890,0.061951,0.126348,0.061951,0.185890
4.150000,0.209923,0.101601,0.171766,0.101601,0.209923
4.200000,0.228838,0.134752,0.211839,0.134752,0.228838
4.250000,0.239984,0.155667,0.237579,0.155667,0.239984
4.300000,0.241525,0.159639,0.241586,0.159639,0.241525
4.350000,0.232990,0.145308,0.221844,0.145308,0.232990
4.400000,0.215433,0.115389,0.182879,0.115389,0.215433
4.450000,0.191127,0.075128,0.133169,0.075128,0.191127
4.500000,0.162942,0.029737,0.080928,0.029737,0.162942
4.550000,0.133679,0.017160,0.031611,0.017160,0.133679
4.600000,0.105641,0.063122,0.011614,0.063122,0.105641
4.650000,0.080507,0.105460,0.046051,0.105460,0.080507
4.700000,0.059412,0.140480,0.068751,0.140480,0.059412
4.750000,0.043088,0.164247,0.077523,0.164247,0.043088
4.800000,0.031937,0.174229,0.072346,0.174229,0.031937
4.850000,0.026029,0.170472,0.055627,0.170472,0.026029
4.900000,0.025091,0.155497,0.031146,0.155497,0.025091
4.950000,0.028534,0.133181,0.002719,0.133181,0.028534
5.000000,0.035530,0.107430,0.026527,0.107430,0.035530
5.050000,0.045126,0.081326,0.054174,0.081326,0.045126
5.100000,0.056338,0.056910,0.078346,0.056910,0.056338
5.150000,0.068231,0.035346,0.097713,0.035346,0.068231
5.200000,0.079969,0.017199,0.111639,0.017199,0.079969
5.250000,0.090853,0.002639,0.120235,0.002639,0.090853
5.300000,0.100345,0.008417,0.124199,0.008417,0.100345
