t,CPsi_0,CPsi_1,CPsi_2,CPsi_3,CPsi_4
0.010000,0.410936,0.410936,0.410936,0.410936,0.410936
0.020000,0.410436,0.410436,0.410436,0.410436,0.410436
0.030000,0.409937,0.409937,0.409937,0.409937,0.409937
0.040000,0.409439,0.409439,0.409439,0.409439,0.409439
0.050000,0.408942,0.408942,0.408942,0.408942,0.408942
0.060000,0.408445,0.408445,0.408445,0.408445,0.408445
0.070000,0.407949,0.407949,0.407949,0.407949,0.407949
0.080000,0.407454,0.407454,0.407454,0.407454,0.407454
0.090000,0.406960,0.406960,0.406960,0.406960,0.406960
0.100000,0.406466,0.406466,0.406466,0.406466,0.406466
0.110000,0.405973,0.405973,0.405973,0.405973,0.405973
0.120000,0.405481,0.405481,0.405481,0.405481,0.405481
0.130000,0.404990,0.404990,0.404990,0.404990,0.404990
0.140000,0.404499,0.404499,0.404499,0.404499,0.404499
0.150000,0.404009,0.404009,0.404009,0.404009,0.404009
0.160000,0.403520,0.403520,0.403520,0.403520,0.403520
0.170000,0.403031,0.403031,0.403031,0.403031,0.403031
0.180000,0.402544,0.402544,0.402544,0.402544,0.402544
0.190000,0.402057,0.402057,0.402057,0.402057,0.402057
0.200000,0.401571,0.401571,0.401571,0.401571,0.401571
0.210000,0.401085,0.401085,0.401085,0.401085,0.401085
0.220000,0.400601,0.400601,0.400601,0.400601,0.400601
0.230000,0.400117,0.400117,0.400117,0.400117,0.400117
0.240000,0.399633,0.399633,0.399633,0.399633,0.399633
0.250000,0.399151,0.399151,0.399151,0.399151,0.399151
0.260000,0.398669,0.398669,0.398669,0.398669,0.398669
0.270000,0.398188,0.398188,0.398188,0.398188,0.398188
0.280000,0.397708,0.397708,0.397708,0.397708,0.397708
0.290000,0.397228,0.397228,0.397228,0.397228,0.397228
0.300000,0.396749,0.396749,0.396749,0.396749,0.396749
0.310000,0.396271,0.396271,0.396271,0.396271,0.396271
0.320000,0.395794,0.395794,0.395794,0.395794,0.395794
0.330000,0.395317,0.395317,0.395317,0.395317,0.395317
0.340000,0.394841,0.394841,0.394841,0.394841,0.394841
0.350000,0.394366,0.394366,0.394366,0.394366,0.394366
0.360000,0.393891,0.393891,0.393891,0.393891,0.393891
0.370000,0.393418,0.393418,0.393418,0.393418,0.393418
0.380000,0.392944,0.392944,0.392944,0.392944,0.392944
0.390000,0.392472,0.392472,0.392472,0.392472,0.392472
0.400000,0.392000,0.392000,0.392000,0.392000,0.392000
0.410000,0.391529,0.391529,0.391529,0.391529,0.391529
0.420000,0.391059,0.391059,0.391059,0.391059,0.391059
0.430000,0.390590,0.390590,0.390590,0.390590,0.390590
0.440000,0.390121,0.390121,0.390121,0.390121,0.390121
0.450000,0.389653,0.389653,0.389653,0.389653,0.389653
0.460000,0.389185,0.389185,0.389185,0.389185,0.389185
0.470000,0.388718,0.388718,0.388718,0.388718,0.388718
0.480000,0.388252,0.388252,0.388252,0.388252,0.388252
0.490000,0.387787,0.387787,0.387787,0.387787,0.387787
0.500000,0.387322,0.387322,0.387322,0.387322,0.387322
