t,CPsi_0,CPsi_1,CPsi_2,CPsi_3,CPsi_4
0.010000,0.998002,0.998002,0.998002,0.998002,0.998002
0.020000,0.996010,0.996010,0.996010,0.996010,0.996010
0.030000,0.994022,0.994022,0.994022,0.994022,0.994022
0.040000,0.992040,0.992040,0.992040,0.992040,0.992040
0.050000,0.990062,0.990062,0.990062,0.990062,0.990062
0.060000,0.988089,0.988089,0.988089,0.988089,0.988089
0.070000,0.986122,0.986122,0.986122,0.986122,0.986122
0.080000,0.984159,0.984159,0.984159,0.984159,0.984159
0.090000,0.982201,0.982201,0.982201,0.982201,0.982201
0.100000,0.980248,0.980248,0.980248,0.980248,0.980248
0.110000,0.978299,0.978299,0.978299,0.978299,0.978299
0.120000,0.976356,0.976356,0.976356,0.976356,0.976356
0.130000,0.974417,0.974417,0.974417,0.974417,0.974417
0.140000,0.972484,0.972484,0.972484,0.972484,0.972484
0.150000,0.970555,0.970555,0.970555,0.970555,0.970555
0.160000,0.968631,0.968631,0.968631,0.968631,0.968631
0.170000,0.966711,0.966711,0.966711,0.966711,0.966711
0.180000,0.964797,0.964797,0.964797,0.964797,0.964797
0.190000,0.962887,0.962887,0.962887,0.962887,0.962887
0.200000,0.960982,0.960982,0.960982,0.960982,0.960982
0.210000,0.959081,0.959081,0.959081,0.959081,0.959081
0.220000,0.957186,0.957186,0.957186,0.957186,0.957186
0.230000,0.955295,0.955295,0.955295,0.955295,0.955295
0.240000,0.953408,0.953408,0.953408,0.953408,0.953408
0.250000,0.951527,0.951527,0.951527,0.951527,0.951527
0.260000,0.949650,0.949650,0.949650,0.949650,0.949650
0.270000,0.947777,0.947777,0.947777,0.947777,0.947777
0.280000,0.945910,0.945910,0.945910,0.945910,0.945910
0.290000,0.944047,0.944047,0.944047,0.944047,0.944047
0.300000,0.942188,0.942188,0.942188,0.942188,0.942188
0.310000,0.940335,0.940335,0.940335,0.940335,0.940335
0.320000,0.938485,0.938485,0.938485,0.938485,0.938485
0.330000,0.936641,0.936641,0.936641,0.936641,0.936641
0.340000,0.934801,0.934801,0.934801,0.934801,0.934801
0.350000,0.932965,0.932965,0.932965,0.932965,0.932965
0.360000,0.931134,0.931134,0.931134,0.931134,0.931134
0.370000,0.929307,0.929307,0.929307,0.929307,0.929307
0.380000,0.927485,0.927485,0.927485,0.927485,0.927485
0.390000,0.925668,0.925668,0.925668,0.925668,0.925668
0.400000,0.923855,0.923855,0.923855,0.923855,0.923855
0.410000,0.922046,0.922046,0.922046,0.922046,0.922046
0.420000,0.920242,0.920242,0.920242,0.920242,0.920242
0.430000,0.918443,0.918443,0.918443,0.918443,0.918443
0.440000,0.916647,0.916647,0.916647,0.916647,0.916647
0.450000,0.914857,0.914857,0.914857,0.914857,0.914857
0.460000,0.913070,0.913070,0.913070,0.913070,0.913070
0.470000,0.911288,0.911288,0.911288,0.911288,0.911288
0.480000,0.909511,0.909511,0.909511,0.909511,0.909511
0.490000,0.907738,0.907738,0.907738,0.907738,0.907738
0.500000,0.905969,0.905969,0.905969,0.905969,0.905969
0.510000,0.904204,0.904204,0.904204,0.904204,0.904204
0.520000,0.902444,0.902444,0.902444,0.902444,0.902444
0.530000,0.900688,0.900688,0.900688,0.900688,0.900688
0.540000,0.898937,0.898937,0.898937,0.898937,0.898937
0.550000,0.897189,0.897189,0.897189,0.897189,0.897189
0.560000,0.895446,0.895446,0.895446,0.895446,0.895446
0.570000,0.893708,0.893708,0.893708,0.893708,0.893708
0.580000,0.891973,0.891973,0.891973,0.891973,0.891973
0.590000,0.890243,0.890243,0.890243,0.890243,0.890243
0.600000,0.888517,0.888517,0.888517,0.888517,0.888517
0.610000,0.886796,0.886796,0.886796,0.886796,0.886796
0.620000,0.885078,0.885078,0.885078,0.885078,0.885078
0.630000,0.883365,0.883365,0.883365,0.883365,0.883365
0.640000,0.881656,0.881656,0.881656,0.881656,0.881656
0.650000,0.879951,0.879951,0.879951,0.879951,0.879951
0.660000,0.878250,0.878250,0.878250,0.878250,0.878250
0.670000,0.876554,0.876554,0.876554,0.876554,0.876554
0.680000,0.874861,0.874861,0.874861,0.874861,0.874861
0.690000,0.873173,0.873173,0.873173,0.873173,0.873173
0.700000,0.871489,0.871489,0.871489,0.871489,0.871489
0.710000,0.869809,0.869809,0.869809,0.869809,0.869809
0.720000,0.868133,0.868133,0.868133,0.868133,0.868133
0.730000,0.866461,0.866461,0.866461,0.866461,0.866461
0.740000,0.864794,0.864794,0.864794,0.864794,0.864794
0.750000,0.863130,0.863130,0.863130,0.863130,0.863130
0.760000,0.861470,0.861470,0.861470,0.861470,0.861470
0.770000,0.859815,0.859815,0.859815,0.859815,0.859815
0.780000,0.858163,0.858163,0.858163,0.858163,0.858163
0.790000,0.856516,0.856516,0.856516,0.856516,0.856516
0.800000,0.854872,0.854872,0.854872,0.854872,0.854872
0.810000,0.853233,0.853233,0.853233,0.853233,0.853233
0.820000,0.851597,0.851597,0.851597,0.851597,0.851597
0.830000,0.849966,0.849966,0.849966,0.849966,0.849966
0.840000,0.848338,0.848338,0.848338,0.848338,0.848338
0.850000,0.846714,0.846714,0.846714,0.846714,0.846714
0.860000,0.845095,0.845095,0.845095,0.845095,0.845095
0.870000,0.843479,0.843479,0.843479,0.843479,0.843479
0.880000,0.841867,0.841867,0.841867,0.841867,0.841867
0.890000,0.840259,0.840259,0.840259,0.840259,0.840259
0.900000,0.838655,0.838655,0.838655,0.838655,0.838655
0.910000,0.837055,0.837055,0.837055,0.837055,0.837055
0.920000,0.835459,0.835459,0.835459,0.835459,0.835459
0.930000,0.833867,0.833867,0.833867,0.833867,0.833867
0.940000,0.832278,0.832278,0.832278,0.832278,0.832278
0.950000,0.830694,0.830694,0.830694,0.830694,0.830694
0.960000,0.829113,0.829113,0.829113,0.829113,0.829113
0.970000,0.827536,0.827536,0.827536,0.827536,0.827536
0.980000,0.825963,0.825963,0.825963,0.825963,0.825963
0.990000,0.824393,0.824393,0.824393,0.824393,0.824393
1.000000,0.822828,0.822828,0.822828,0.822828,0.822828
1.010000,0.821266,0.821266,0.821266,0.821266,0.821266
1.020000,0.819708,0.819708,0.819708,0.819708,0.819708
1.030000,0.818154,0.818154,0.818154,0.818154,0.818154
1.040000,0.816603,0.816603,0.816603,0.816603,0.816603
1.050000,0.815057,0.815057,0.815057,0.815057,0.815057
1.060000,0.813514,0.813514,0.813514,0.813514,0.813514
1.070000,0.811974,0.811974,0.811974,0.811974,0.811974
1.080000,0.810439,0.810439,0.810439,0.810439,0.810439
1.090000,0.808907,0.808907,0.808907,0.808907,0.808907
1.100000,0.807379,0.807379,0.807379,0.807379,0.807379
1.110000,0.805854,0.805854,0.805854,0.805854,0.805854
1.120000,0.804334,0.804334,0.804334,0.804334,0.804334
1.130000,0.802817,0.802817,0.802817,0.802817,0.802817
1.140000,0.801303,0.801303,0.801303,0.801303,0.801303
1.150000,0.799793,0.799793,0.799793,0.799793,0.799793
1.160000,0.798287,0.798287,0.798287,0.798287,0.798287
1.170000,0.796784,0.796784,0.796784,0.796784,0.796784
