t,CPsi_0,CPsi_1,CPsi_2,CPsi_3,CPsi_4
0.010000,0.958832,0.957292,0.994823,0.994816,0.996408
0.020000,0.848061,0.842538,0.983468,0.983356,0.989665
0.030000,0.690416,0.680051,0.966404,0.965848,0.979845
0.040000,0.515032,0.500731,0.944329,0.942632,0.967055
0.050000,0.348290,0.332024,0.918113,0.914144,0.951432
0.060000,0.206129,0.189643,0.888724,0.880904,0.933140
0.070000,0.090488,0.073979,0.857150,0.843496,0.912367
0.080000,0.008994,0.027631,0.824337,0.802553,0.889323
0.090000,0.108827,0.133796,0.791125,0.758735,0.864236
0.100000,0.223459,0.259896,0.758211,0.712711,0.837345
0.110000,0.358094,0.410322,0.726120,0.665141,0.808902
0.120000,0.505193,0.575037,0.695199,0.616666,0.779160
0.130000,0.645915,0.731711,0.665620,0.567886,0.748378
0.140000,0.755932,0.852600,0.637393,0.519357,0.716810
0.150000,0.813454,0.913623,0.610390,0.471574,0.684704
0.160000,0.806536,0.902320,0.584373,0.424969,0.652299
0.170000,0.737044,0.821863,0.559029,0.379901,0.619823
0.180000,0.619898,0.689765,0.533998,0.336653,0.587486
0.190000,0.477959,0.531895,0.508920,0.295429,0.555484
0.200000,0.334452,0.374090,0.483462,0.256352,0.523993
0.210000,0.205697,0.234401,0.457355,0.219464,0.493169
0.220000,0.096711,0.118703,0.430425,0.184732,0.463147
0.230000,0.001166,0.021048,0.402608,0.152047,0.434042
0.240000,0.094415,0.071639,0.373960,0.121238,0.405947
0.250000,0.203882,0.172481,0.344654,0.092079,0.378936
0.260000,0.334628,0.287952,0.314962,0.064304,0.353063
0.270000,0.483213,0.414056,0.285227,0.037618,0.328363
0.280000,0.635002,0.536739,0.255828,0.011719,0.304857
0.290000,0.767944,0.636266,0.227146,0.013689,0.282550
0.300000,0.859108,0.693841,0.199529,0.038879,0.261434
0.310000,0.891704,0.697994,0.173276,0.064082,0.241491
0.320000,0.860169,0.648399,0.148617,0.089483,0.222695
0.330000,0.771658,0.555819,0.125722,0.115203,0.205013
0.340000,0.643568,0.438307,0.104707,0.141300,0.188408
0.350000,0.498085,0.315161,0.085649,0.167767,0.172839
0.360000,0.355715,0.200859,0.068601,0.194533,0.158266
0.370000,0.229991,0.101158,0.053605,0.221473,0.144647
0.380000,0.125038,0.012641,0.040691,0.248417,0.131944
0.390000,0.036552,0.074270,0.029880,0.275155,0.120119
0.400000,0.044418,0.170091,0.021169,0.301457,0.109140
0.410000,0.126469,0.280822,0.014527,0.327076,0.098977
0.420000,0.213505,0.404307,0.009881,0.351763,0.089604
0.430000,0.302599,0.529672,0.007108,0.375270,0.081000
0.440000,0.384670,0.640033,0.006043,0.397359,0.073147
0.450000,0.447601,0.717449,0.006475,0.417805,0.066032
0.460000,0.480493,0.748373,0.008158,0.436395,0.059643
0.470000,0.477467,0.727733,0.010828,0.452933,0.053973
0.480000,0.439626,0.660293,0.014210,0.467234,0.049016
0.490000,0.374557,0.558977,0.018034,0.479131,0.044767
0.500000,0.293634,0.440824,0.022046,0.488467,0.041225
0.510000,0.208218,0.322066,0.026019,0.495104,0.038385
0.520000,0.126138,0.213973,0.029762,0.498922,0.036245
0.530000,0.049746,0.120789,0.033130,0.499823,0.034801
0.540000,0.023833,0.040239,0.036027,0.497737,0.034049
0.550000,0.100418,0.033786,0.038410,0.492630,0.033981
0.560000,0.185372,0.107513,0.040291,0.484508,0.034590
0.570000,0.280365,0.183946,0.041736,0.473428,0.035866
0.580000,0.381500,0.261068,0.042857,0.459498,0.037797
0.590000,0.479479,0.332139,0.043805,0.442882,0.040371
0.600000,0.561781,0.387861,0.044764,0.423800,0.043573
0.610000,0.616081,0.419525,0.045939,0.402527,0.047386
0.620000,0.633767,0.421949,0.047544,0.379380,0.051794
0.630000,0.612374,0.395174,0.049794,0.354711,0.056779
0.640000,0.556185,0.344355,0.052895,0.328894,0.062323
0.650000,0.474854,0.277979,0.057037,0.302308,0.068407
0.660000,0.380593,0.205107,0.062386,0.275318,0.075013
0.670000,0.284896,0.132681,0.069084,0.248265,0.082122
0.680000,0.195870,0.063830,0.077244,0.221446,0.089717
0.690000,0.116963,0.002258,0.086954,0.195108,0.097780
0.700000,0.047370,0.068933,0.098277,0.169438,0.106291
0.710000,0.016196,0.139737,0.111252,0.144562,0.115234
0.720000,0.077136,0.216007,0.125899,0.120545,0.124589
0.730000,0.136872,0.295328,0.142212,0.097398,0.134336
0.740000,0.193791,0.371419,0.160160,0.075086,0.144454
0.750000,0.243514,0.435478,0.179681,0.053538,0.154920
0.760000,0.280315,0.478555,0.200669,0.032660,0.165710
0.770000,0.299094,0.494111,0.222972,0.012341,0.176794
0.780000,0.297145,0.479911,0.246381,0.007531,0.188142
0.790000,0.275069,0.438629,0.270628,0.027063,0.199719
0.800000,0.236537,0.376996,0.295387,0.046350,0.211487
0.810000,0.187027,0.303826,0.320277,0.065473,0.223402
0.820000,0.132042,0.227599,0.344879,0.084491,0.235418
0.830000,0.075490,0.154425,0.368752,0.103441,0.247482
0.840000,0.018815,0.087017,0.391450,0.122342,0.259537
0.850000,0.038825,0.024936,0.412551,0.141188,0.271521
0.860000,0.099415,0.034076,0.431672,0.159952,0.283368
0.870000,0.164443,0.092249,0.448495,0.178587,0.295006
0.880000,0.233390,0.150116,0.462776,0.197025,0.306361
0.890000,0.302934,0.205645,0.474361,0.215177,0.317352
0.900000,0.367185,0.254464,0.483184,0.232933,0.327898
0.910000,0.418919,0.291062,0.489272,0.250163,0.337915
0.920000,0.451392,0.310495,0.492733,0.266719,0.347318
0.930000,0.460151,0.309988,0.493749,0.282435,0.356023
0.940000,0.444235,0.289813,0.492559,0.297127,0.363947
0.950000,0.406386,0.253191,0.489445,0.310603,0.371009
0.960000,0.352247,0.205233,0.484715,0.322664,0.377136
0.970000,0.288829,0.151363,0.478687,0.333108,0.382258
0.980000,0.222770,0.095786,0.471674,0.341743,0.386315
0.990000,0.158963,0.040559,0.463973,0.348389,0.389256
1.000000,0.099934,0.014421,0.455848,0.352893,0.391041
1.010000,0.046089,0.070546,0.447527,0.355128,0.391643
1.020000,0.003371,0.129101,0.439193,0.355011,0.391046
1.030000,0.049263,0.189895,0.430976,0.352499,0.389251
1.040000,0.091465,0.250454,0.422958,0.347600,0.386270
1.050000,0.128510,0.306100,0.415161,0.340372,0.382129
1.060000,0.157859,0.350918,0.407558,0.330921,0.376869
1.070000,0.176695,0.379279,0.400067,0.319399,0.370541
1.080000,0.182900,0.387399,0.392560,0.305999,0.363210
1.090000,0.175803,0.374406,0.384868,0.290944,0.354948
1.100000,0.156421,0.342549,0.376788,0.274478,0.345835
1.110000,0.127101,0.296527,0.368096,0.256858,0.335959
1.120000,0.090727,0.242172,0.358562,0.238343,0.325411
1.130000,0.049814,0.184985,0.347963,0.219180,0.314284
1.140000,0.005846,0.128988,0.336101,0.199599,0.302671
1.150000,0.040860,0.076270,0.322823,0.179803,0.290663
1.160000,0.090738,0.027272,0.308033,0.159966,0.278350
1.170000,0.144146,0.018373,0.291709,0.140223,0.265815
1.180000,0.200472,0.060834,0.273903,0.120676,0.253138
1.190000,0.257534,0.099353,0.254751,0.101389,0.240390
1.200000,0.311526,0.132048,0.234456,0.082393,0.227637
1.210000,0.357587,0.156324,0.213279,0.063688,0.214938
1.220000,0.390821,0.169679,0.191518,0.045249,0.202343
1.230000,0.407456,0.170562,0.169484,0.027030,0.189896
1.240000,0.405758,0.158925,0.147480,0.008968,0.177635
1.250000,0.386435,0.136238,0.125782,0.009007,0.165590
