t,CPsi_0,CPsi_1,CPsi_2,CPsi_3,CPsi_4
0.050000,0.951653,0.989932,0.990062,0.990062,0.990062
0.100000,0.906915,0.979240,0.980242,0.980248,0.980248
0.150000,0.866112,0.967301,0.970511,0.970554,0.970555
0.200000,0.829403,0.953668,0.960803,0.960979,0.960982
0.250000,0.796789,0.938108,0.951010,0.951516,0.951527
0.300000,0.768132,0.920614,0.940981,0.942153,0.942188
0.350000,0.743186,0.901387,0.930533,0.932867,0.932963
0.400000,0.721617,0.880801,0.919475,0.923623,0.923847
0.450000,0.703034,0.859352,0.907627,0.914366,0.914836
0.500000,0.687012,0.837593,0.894849,0.905026,0.905918
0.550000,0.673116,0.816079,0.881062,0.895514,0.897079
0.600000,0.660925,0.795310,0.866268,0.885728,0.888292
0.650000,0.650050,0.775695,0.850557,0.875564,0.879524
0.700000,0.640143,0.757527,0.834100,0.864922,0.870727
0.750000,0.630918,0.740972,0.817141,0.853723,0.861835
0.800000,0.622148,0.726072,0.799970,0.841919,0.852773
0.850000,0.613666,0.712762,0.782899,0.829505,0.843446
0.900000,0.605368,0.700888,0.766229,0.816529,0.833752
0.950000,0.597197,0.690234,0.750226,0.803090,0.823579
1.000000,0.589138,0.680549,0.735099,0.789343,0.812818
1.050000,0.581204,0.671573,0.720983,0.775480,0.801369
1.100000,0.573425,0.663064,0.707934,0.761725,0.789149
1.150000,0.565835,0.654812,0.695931,0.748310,0.776104
1.200000,0.558470,0.646652,0.684886,0.735455,0.762218
1.250000,0.551353,0.638473,0.674660,0.723353,0.747514
1.300000,0.544501,0.630213,0.665079,0.712146,0.732064
1.350000,0.537913,0.621855,0.655960,0.701918,0.715985
1.400000,0.531580,0.613411,0.647127,0.692682,0.699434
1.450000,0.525481,0.604917,0.638435,0.684380,0.682604
1.500000,0.519590,0.596415,0.629778,0.676888,0.665705
1.550000,0.513876,0.587945,0.621100,0.670025,0.648958
1.600000,0.508305,0.579537,0.612394,0.663568,0.632580
1.650000,0.502844,0.571209,0.603695,0.657274,0.616766
1.700000,0.497460,0.562967,0.595073,0.650900,0.601685
1.750000,0.492120,0.554806,0.586614,0.644226,0.587463
1.800000,0.486793,0.546721,0.578409,0.637078,0.574184
1.850000,0.481445,0.538707,0.570537,0.629338,0.561886
1.900000,0.476045,0.530768,0.563053,0.620961,0.550558
1.950000,0.470556,0.522920,0.555985,0.611970,0.540148
2.000000,0.464947,0.515194,0.549326,0.602454,0.530569
2.050000,0.459182,0.507633,0.543038,0.592555,0.521705
2.100000,0.453234,0.500290,0.537058,0.582451,0.513425
2.150000,0.447078,0.493221,0.531309,0.572332,0.505588
2.200000,0.440702,0.486479,0.525704,0.562387,0.498058
2.250000,0.434101,0.480107,0.520164,0.552780,0.490711
2.300000,0.427289,0.474132,0.514623,0.543640,0.483444
2.350000,0.420290,0.468558,0.509036,0.535051,0.476180
2.400000,0.413147,0.463367,0.503383,0.527048,0.468871
2.450000,0.405912,0.458518,0.497669,0.519620,0.461497
2.500000,0.398652,0.453949,0.491919,0.512715,0.454066
2.550000,0.391438,0.449580,0.486171,0.506250,0.446609
2.600000,0.384346,0.445325,0.480470,0.500121,0.439170
2.650000,0.377450,0.441098,0.474857,0.494216,0.431805
2.700000,0.370818,0.436817,0.469361,0.488427,0.424572
2.750000,0.364508,0.432418,0.463994,0.482659,0.417527
2.800000,0.358567,0.427855,0.458748,0.476839,0.410715
2.850000,0.353026,0.423108,0.453591,0.470917,0.404174
2.900000,0.347902,0.418182,0.448475,0.464871,0.397926
2.950000,0.343194,0.413102,0.443339,0.458698,0.391983
3.000000,0.338890,0.407916,0.438117,0.452414,0.386342
3.050000,0.334964,0.402682,0.432745,0.446045,0.380993
3.100000,0.331381,0.397465,0.427174,0.439622,0.375915
3.150000,0.328098,0.392329,0.421373,0.433171,0.371084
3.200000,0.325069,0.387332,0.415334,0.426713,0.366473
3.250000,0.322247,0.382520,0.409079,0.420259,0.362051
3.300000,0.319586,0.377924,0.402651,0.413808,0.357790
3.350000,0.317044,0.373557,0.396117,0.407354,0.353659
