# shell census N=11 qStar=0.502123 qRefined=0.502122876 lambdaA=-4.311143785 pairGap=3.138E-006 memberTol=3.138E-005 rParity=1 usable=True
p	w	dim	dimEven	dimOdd	shift	shiftRe	probed	method	sigmaEven	sigmaOdd	sigmaMin	converged	windowMargin	itersEven	itersOdd	seconds
0	0	1	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	4.311144E+000	0	0	0.00
0	0	1	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	1.768886E+001	0	0	0.00
0	11	1	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	1.768886E+001	0	0	0.00
0	11	1	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	4.311144E+000	0	0	0.00
0	1	11	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	2.311144E+000	0	0	0.00
0	1	11	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	1.568886E+001	0	0	0.00
0	10	11	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	1.568886E+001	0	0	0.00
0	10	11	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	2.311144E+000	0	0	0.00
0	2	55	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	3.111438E-001	0	0	0.00
0	2	55	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	1.368886E+001	0	0	0.00
0	9	55	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	1.368886E+001	0	0	0.00
0	9	55	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	3.111438E-001	0	0	0.00
1	1	121	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	3.111438E-001	0	0	0.00
1	1	121	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	1.368886E+001	0	0	0.00
1	10	121	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	1.368886E+001	0	0	0.00
1	10	121	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	3.111438E-001	0	0	0.00
0	3	165	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	1.688856E+000	0	0	0.00
0	3	165	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	1.168886E+001	0	0	0.00
0	8	165	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	1.168886E+001	0	0	0.00
0	8	165	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	1.688856E+000	0	0	0.00
0	4	330	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	3.688856E+000	0	0	0.00
0	4	330	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	9.688856E+000	0	0	0.00
0	7	330	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	9.688856E+000	0	0	0.00
0	7	330	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	3.688856E+000	0	0	0.00
0	5	462	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	5.688856E+000	0	0	0.00
0	5	462	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	7.688856E+000	0	0	0.00
0	6	462	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	7.688856E+000	0	0	0.00
0	6	462	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	5.688856E+000	0	0	0.00
1	2	605	305	300	lambdaA	-4.311143785	1	lu-rparity	2.791161E-013	9.813498E-004	2.791161E-013	1	0.000000E+000	4	4	0.14
1	2	605	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	1.168886E+001	0	0	0.00
1	9	605	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	1.168886E+001	0	0	0.00
1	9	605	305	300	mu	-17.688856215	1	lu-rparity	2.790832E-013	9.813498E-004	2.790832E-013	1	0.000000E+000	4	4	0.04
1	3	1815	910	905	lambdaA	-4.311143785	1	lu-rparity	4.450339E-002	5.460822E-002	4.450339E-002	1	0.000000E+000	7	10	0.23
1	3	1815	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	9.688856E+000	0	0	0.00
1	8	1815	910	905	lambdaA	-4.311143785	1	control	9.730628E+000	9.730318E+000	9.730318E+000	1	9.688856E+000	37	39	0.25
1	8	1815	910	905	mu	-17.688856215	1	lu-rparity	4.450340E-002	5.460793E-002	4.450340E-002	1	0.000000E+000	8	8	0.11
2	2	3025	1525	1500	lambdaA	-4.311143785	1	lu-rparity	1.568802E-003	4.341961E-004	4.341961E-004	1	0.000000E+000	5	4	0.22
2	2	3025	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	9.688856E+000	0	0	0.00
2	9	3025	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	9.688856E+000	0	0	0.00
2	9	3025	1525	1500	mu	-17.688856215	1	lu-rparity	1.568802E-003	4.341961E-004	4.341961E-004	1	0.000000E+000	5	4	0.31
1	4	3630	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	1.688856E+000	0	0	0.00
1	4	3630	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	7.688856E+000	0	0	0.00
1	7	3630	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	7.688856E+000	0	0	0.00
1	7	3630	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	1.688856E+000	0	0	0.00
1	5	5082	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	3.688856E+000	0	0	0.00
1	5	5082	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	5.688856E+000	0	0	0.00
1	6	5082	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	5.688856E+000	0	0	0.00
1	6	5082	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	3.688856E+000	0	0	0.00
2	3	9075	4550	4525	lambdaA	-4.311143785	1	lu-rparity	6.423567E-004	2.791241E-013	2.791241E-013	1	0.000000E+000	9	4	1.64
2	3	9075	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	7.688856E+000	0	0	0.00
2	8	9075	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	7.688856E+000	0	0	0.00
2	8	9075	4550	4525	mu	-17.688856215	1	lu-rparity	6.423583E-004	2.790440E-013	2.790440E-013	1	0.000000E+000	8	4	1.49
2	4	18150	9100	9050	lambdaA	-4.311143785	1	lu-rparity	1.212447E-002	1.487915E-002	1.212447E-002	1	0.000000E+000	6	5	6.76
2	4	18150	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	5.688856E+000	0	0	0.00
2	7	18150	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	5.688856E+000	0	0	0.00
2	7	18150	9100	9050	mu	-17.688856215	1	lu-rparity	1.212447E-002	1.487915E-002	1.212447E-002	1	0.000000E+000	5	6	7.18
2	5	25410	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	1.688856E+000	0	0	0.00
2	5	25410	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	3.688856E+000	0	0	0.00
2	6	25410	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	3.688856E+000	0	0	0.00
2	6	25410	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	1.688856E+000	0	0	0.00
3	3	27225	13625	13600	lambdaA	-4.311143785	1	lu-rparity	1.101787E-003	1.028801E-004	1.028801E-004	1	0.000000E+000	9	5	19.17
3	3	27225	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	5.688856E+000	0	0	0.00
3	8	27225	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	5.688856E+000	0	0	0.00
3	8	27225	13625	13600	mu	-17.688856215	1	lu-rparity	1.101786E-003	1.028801E-004	1.028801E-004	1	0.000000E+000	8	5	18.72
3	4	54450	27250	27200	lambdaA	-4.311143785	1	lu-rparity	2.790572E-013	4.055431E-004	2.790572E-013	1	0.000000E+000	4	9	138.06
3	4	54450	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	3.688856E+000	0	0	0.00
3	7	54450	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	3.688856E+000	0	0	0.00
3	7	54450	27250	27200	mu	-17.688856215	1	lu-rparity	2.790452E-013	4.055432E-004	2.790452E-013	1	0.000000E+000	4	7	133.51
3	5	76230	38140	38090	lambdaA	-4.311143785	1	lu-rparity	1.212447E-002	1.178494E-002	1.178494E-002	1	0.000000E+000	6	12	380.16
3	5	76230	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	1.688856E+000	0	0	0.00
3	6	76230	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	1.688856E+000	0	0	0.00
3	6	76230	38140	38090	mu	-17.688856215	1	lu-rparity	1.212447E-002	1.178491E-002	1.178491E-002	1	0.000000E+000	6	16	399.60
4	4	108900	54500	54400	lambdaA	-4.311143785	0	deferred	NaN	NaN	NaN	1	0.000000E+000	0	0	0.00
4	4	108900	-1	-1	mu	-17.688856215	0	window	NaN	NaN	NaN	1	1.688856E+000	0	0	0.00
4	7	108900	-1	-1	lambdaA	-4.311143785	0	window	NaN	NaN	NaN	1	1.688856E+000	0	0	0.00
4	7	108900	54500	54400	mu	-17.688856215	0	deferred	NaN	NaN	NaN	1	0.000000E+000	0	0	0.00
4	5	152460	76280	76180	lambdaA	-4.311143785	0	deferred	NaN	NaN	NaN	1	0.000000E+000	0	0	0.00
4	5	152460	76280	76180	mu	-17.688856215	0	deferred	NaN	NaN	NaN	1	0.000000E+000	0	0	0.00
4	6	152460	76280	76180	lambdaA	-4.311143785	0	deferred	NaN	NaN	NaN	1	0.000000E+000	0	0	0.00
4	6	152460	76280	76180	mu	-17.688856215	0	deferred	NaN	NaN	NaN	1	0.000000E+000	0	0	0.00
5	5	213444	106772	106672	lambdaA	-4.311143785	0	deferred	NaN	NaN	NaN	1	0.000000E+000	0	0	0.00
5	5	213444	106772	106672	mu	-17.688856215	0	deferred	NaN	NaN	NaN	1	0.000000E+000	0	0	0.00
5	6	213444	106772	106672	lambdaA	-4.311143785	0	deferred	NaN	NaN	NaN	1	0.000000E+000	0	0	0.00
5	6	213444	106772	106672	mu	-17.688856215	0	deferred	NaN	NaN	NaN	1	0.000000E+000	0	0	0.00
