# shell census N=11 qStar=0.631587 qRefined=0.631586911 lambdaA=-5.256312605 pairGap=2.267E-006 memberTol=2.267E-005 rParity=-1 usable=True
p	w	dim	dimEven	dimOdd	shift	shiftRe	probed	method	sigmaEven	sigmaOdd	sigmaMin	converged	windowMargin	itersEven	itersOdd	seconds
0	0	1	-1	-1	lambdaA	-5.256312605	0	window	NaN	NaN	NaN	1	5.256313E+000	0	0	0.00
0	0	1	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	1.674369E+001	0	0	0.00
0	11	1	-1	-1	lambdaA	-5.256312605	0	window	NaN	NaN	NaN	1	1.674369E+001	0	0	0.00
0	11	1	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	5.256313E+000	0	0	0.00
0	1	11	-1	-1	lambdaA	-5.256312605	0	window	NaN	NaN	NaN	1	3.256313E+000	0	0	0.00
0	1	11	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	1.474369E+001	0	0	0.00
0	10	11	-1	-1	lambdaA	-5.256312605	0	window	NaN	NaN	NaN	1	1.474369E+001	0	0	0.00
0	10	11	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	3.256313E+000	0	0	0.00
0	2	55	-1	-1	lambdaA	-5.256312605	0	window	NaN	NaN	NaN	1	1.256313E+000	0	0	0.00
0	2	55	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	1.274369E+001	0	0	0.00
0	9	55	-1	-1	lambdaA	-5.256312605	0	window	NaN	NaN	NaN	1	1.274369E+001	0	0	0.00
0	9	55	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	1.256313E+000	0	0	0.00
1	1	121	-1	-1	lambdaA	-5.256312605	0	window	NaN	NaN	NaN	1	1.256313E+000	0	0	0.00
1	1	121	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	1.274369E+001	0	0	0.00
1	10	121	-1	-1	lambdaA	-5.256312605	0	window	NaN	NaN	NaN	1	1.274369E+001	0	0	0.00
1	10	121	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	1.256313E+000	0	0	0.00
0	3	165	-1	-1	lambdaA	-5.256312605	0	window	NaN	NaN	NaN	1	7.436874E-001	0	0	0.00
0	3	165	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	1.074369E+001	0	0	0.00
0	8	165	-1	-1	lambdaA	-5.256312605	0	window	NaN	NaN	NaN	1	1.074369E+001	0	0	0.00
0	8	165	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	7.436874E-001	0	0	0.00
0	4	330	-1	-1	lambdaA	-5.256312605	0	window	NaN	NaN	NaN	1	2.743687E+000	0	0	0.00
0	4	330	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	8.743687E+000	0	0	0.00
0	7	330	-1	-1	lambdaA	-5.256312605	0	window	NaN	NaN	NaN	1	8.743687E+000	0	0	0.00
0	7	330	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	2.743687E+000	0	0	0.00
0	5	462	-1	-1	lambdaA	-5.256312605	0	window	NaN	NaN	NaN	1	4.743687E+000	0	0	0.00
0	5	462	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	6.743687E+000	0	0	0.00
0	6	462	-1	-1	lambdaA	-5.256312605	0	window	NaN	NaN	NaN	1	6.743687E+000	0	0	0.00
0	6	462	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	4.743687E+000	0	0	0.00
1	2	605	305	300	lambdaA	-5.256312605	1	lu-rparity	1.111495E-002	3.561301E-013	3.561301E-013	1	0.000000E+000	6	4	0.17
1	2	605	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	1.074369E+001	0	0	0.00
1	9	605	-1	-1	lambdaA	-5.256312605	0	window	NaN	NaN	NaN	1	1.074369E+001	0	0	0.00
1	9	605	305	300	mu	-16.743687395	1	lu-rparity	1.112479E-002	3.562250E-013	3.562250E-013	1	0.000000E+000	5	4	0.08
1	3	1815	910	905	lambdaA	-5.256312605	1	lu-rparity	6.618882E-002	4.624020E-003	4.624020E-003	1	0.000000E+000	11	4	0.18
1	3	1815	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	8.743687E+000	0	0	0.00
1	8	1815	910	905	lambdaA	-5.256312605	1	control	8.784076E+000	8.783423E+000	8.783423E+000	1	8.743687E+000	41	42	0.29
1	8	1815	910	905	mu	-16.743687395	1	lu-rparity	6.618953E-002	4.624020E-003	4.624020E-003	1	0.000000E+000	12	5	0.28
2	2	3025	1525	1500	lambdaA	-5.256312605	1	lu-rparity	4.624020E-003	4.563461E-003	4.563461E-003	1	0.000000E+000	5	9	0.45
2	2	3025	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	8.743687E+000	0	0	0.00
2	9	3025	-1	-1	lambdaA	-5.256312605	0	window	NaN	NaN	NaN	1	8.743687E+000	0	0	0.00
2	9	3025	1525	1500	mu	-16.743687395	1	lu-rparity	4.624020E-003	4.563440E-003	4.563440E-003	1	0.000000E+000	5	11	0.56
1	4	3630	-1	-1	lambdaA	-5.256312605	0	window	NaN	NaN	NaN	1	7.436874E-001	0	0	0.00
1	4	3630	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	6.743687E+000	0	0	0.00
1	7	3630	-1	-1	lambdaA	-5.256312605	0	window	NaN	NaN	NaN	1	6.743687E+000	0	0	0.00
1	7	3630	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	7.436874E-001	0	0	0.00
1	5	5082	-1	-1	lambdaA	-5.256312605	0	window	NaN	NaN	NaN	1	2.743687E+000	0	0	0.00
1	5	5082	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	4.743687E+000	0	0	0.00
1	6	5082	-1	-1	lambdaA	-5.256312605	0	window	NaN	NaN	NaN	1	4.743687E+000	0	0	0.00
1	6	5082	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	2.743687E+000	0	0	0.00
2	3	9075	4550	4525	lambdaA	-5.256312605	1	lu-rparity	3.564114E-013	1.622972E-003	3.564114E-013	1	0.000000E+000	4	7	1.42
2	3	9075	-1	-1	mu	-16.743687395	0	window	NaN	NaN	NaN	1	6.743687E+000	0	0	0.00
2	8	9075	-1	-1	lambdaA	-5.256312605	0	window	NaN	NaN	NaN	1	6.743687E+000	0	0	0.00
