=== TEMPORAL SACRIFICE PROTOCOL ===
Edge -> Center switch sweep at N=7
Phase 1: [0.344, 0.001x6], Phase 2: [0.001x3, 0.344, 0.001x3]
Baselines: Edge SumMI=0.4076 PeakMI=0.0364 PeakT=2.00 | Center SumMI=0.1818 PeakMI=0.1089 PeakT=1.00

--- t_switch=0.5 ---
T=0.50 SumMI=0.080394 PeakMI=0.000000 Phase=1
T=1.00 SumMI=0.144605 PeakMI=0.000216 Phase=2
T=1.50 SumMI=0.187992 PeakMI=0.022451 Phase=2
T=2.00 SumMI=0.127687 PeakMI=0.027402 Phase=2
T=2.50 SumMI=0.031917 PeakMI=0.014988 Phase=2
T=3.00 SumMI=0.043608 PeakMI=0.041188 Phase=2
T=3.50 SumMI=0.048938 PeakMI=0.075309 Phase=2
T=4.00 SumMI=0.024094 PeakMI=0.080130 Phase=2
T=4.50 SumMI=0.014959 PeakMI=0.051384 Phase=2
T=5.00 SumMI=0.017306 PeakMI=0.044872 Phase=2
T=5.50 SumMI=0.018083 PeakMI=0.049838 Phase=2
T=6.00 SumMI=0.016300 PeakMI=0.056896 Phase=2
T=6.50 SumMI=0.016724 PeakMI=0.048930 Phase=2
T=7.00 SumMI=0.018715 PeakMI=0.047316 Phase=2
T=7.50 SumMI=0.015101 PeakMI=0.045379 Phase=2
T=8.00 SumMI=0.012315 PeakMI=0.054371 Phase=2
T=8.50 SumMI=0.013427 PeakMI=0.053785 Phase=2
T=9.00 SumMI=0.012666 PeakMI=0.048891 Phase=2
T=9.50 SumMI=0.010690 PeakMI=0.041528 Phase=2
T=10.00 SumMI=0.009907 PeakMI=0.045063 Phase=2
T=10.50 SumMI=0.010504 PeakMI=0.047150 Phase=2
T=11.00 SumMI=0.010662 PeakMI=0.046181 Phase=2
T=11.50 SumMI=0.009660 PeakMI=0.040348 Phase=2
T=12.00 SumMI=0.008940 PeakMI=0.040966 Phase=2
T=12.50 SumMI=0.008813 PeakMI=0.042058 Phase=2
T=13.00 SumMI=0.008403 PeakMI=0.042678 Phase=2
T=13.50 SumMI=0.007828 PeakMI=0.038819 Phase=2
T=14.00 SumMI=0.007360 PeakMI=0.036974 Phase=2
T=14.50 SumMI=0.007171 PeakMI=0.036352 Phase=2
T=15.00 SumMI=0.007049 PeakMI=0.037697 Phase=2
T=15.50 SumMI=0.006748 PeakMI=0.036931 Phase=2
T=16.00 SumMI=0.006445 PeakMI=0.034873 Phase=2
T=16.50 SumMI=0.006148 PeakMI=0.032596 Phase=2
T=17.00 SumMI=0.005945 PeakMI=0.033094 Phase=2
T=17.50 SumMI=0.005776 PeakMI=0.034190 Phase=2
T=18.00 SumMI=0.005515 PeakMI=0.032990 Phase=2
T=18.50 SumMI=0.005212 PeakMI=0.030254 Phase=2
T=19.00 SumMI=0.004999 PeakMI=0.029326 Phase=2
T=19.50 SumMI=0.004907 PeakMI=0.030791 Phase=2
T=20.00 SumMI=0.004830 PeakMI=0.030693 Phase=2
RESULT SumMI=0.187992 PeakMI=0.080130 PeakT=1.50 SwitchT=0.50

--- t_switch=1.0 ---
T=0.50 SumMI=0.080394 PeakMI=0.000000 Phase=1
T=1.00 SumMI=0.215622 PeakMI=0.000046 Phase=1
T=1.50 SumMI=0.243791 PeakMI=0.004084 Phase=2
T=2.00 SumMI=0.237965 PeakMI=0.008994 Phase=2
T=2.50 SumMI=0.101506 PeakMI=0.005693 Phase=2
T=3.00 SumMI=0.037546 PeakMI=0.006764 Phase=2
T=3.50 SumMI=0.057950 PeakMI=0.032478 Phase=2
T=4.00 SumMI=0.050015 PeakMI=0.062544 Phase=2
T=4.50 SumMI=0.018915 PeakMI=0.054419 Phase=2
T=5.00 SumMI=0.011390 PeakMI=0.035685 Phase=2
T=5.50 SumMI=0.014560 PeakMI=0.031775 Phase=2
T=6.00 SumMI=0.014341 PeakMI=0.035473 Phase=2
T=6.50 SumMI=0.012378 PeakMI=0.035772 Phase=2
T=7.00 SumMI=0.015524 PeakMI=0.027882 Phase=2
T=7.50 SumMI=0.015713 PeakMI=0.027154 Phase=2
T=8.00 SumMI=0.011534 PeakMI=0.033625 Phase=2
T=8.50 SumMI=0.010093 PeakMI=0.040190 Phase=2
T=9.00 SumMI=0.011023 PeakMI=0.036629 Phase=2
T=9.50 SumMI=0.009327 PeakMI=0.029530 Phase=2
T=10.00 SumMI=0.007319 PeakMI=0.028514 Phase=2
T=10.50 SumMI=0.007280 PeakMI=0.032903 Phase=2
T=11.00 SumMI=0.008288 PeakMI=0.033585 Phase=2
T=11.50 SumMI=0.007984 PeakMI=0.029861 Phase=2
T=12.00 SumMI=0.006983 PeakMI=0.027393 Phase=2
T=12.50 SumMI=0.006597 PeakMI=0.029081 Phase=2
T=13.00 SumMI=0.006686 PeakMI=0.031148 Phase=2
T=13.50 SumMI=0.006156 PeakMI=0.029578 Phase=2
T=14.00 SumMI=0.005568 PeakMI=0.026364 Phase=2
T=14.50 SumMI=0.005248 PeakMI=0.025120 Phase=2
T=15.00 SumMI=0.005262 PeakMI=0.026416 Phase=2
T=15.50 SumMI=0.005147 PeakMI=0.027411 Phase=2
T=16.00 SumMI=0.004935 PeakMI=0.025959 Phase=2
T=16.50 SumMI=0.004643 PeakMI=0.023415 Phase=2
T=17.00 SumMI=0.004494 PeakMI=0.022979 Phase=2
T=17.50 SumMI=0.004377 PeakMI=0.024534 Phase=2
T=18.00 SumMI=0.004325 PeakMI=0.025019 Phase=2
T=18.50 SumMI=0.004015 PeakMI=0.022580 Phase=2
T=19.00 SumMI=0.003797 PeakMI=0.020683 Phase=2
T=19.50 SumMI=0.003677 PeakMI=0.021433 Phase=2
T=20.00 SumMI=0.003749 PeakMI=0.022916 Phase=2
RESULT SumMI=0.243791 PeakMI=0.062544 PeakT=1.50 SwitchT=1.00

--- t_switch=1.5 ---
T=0.50 SumMI=0.080394 PeakMI=0.000000 Phase=1
T=1.00 SumMI=0.215622 PeakMI=0.000046 Phase=1
T=1.50 SumMI=0.332528 PeakMI=0.001719 Phase=1
T=2.00 SumMI=0.319155 PeakMI=0.011447 Phase=2
T=2.50 SumMI=0.180490 PeakMI=0.005857 Phase=2
T=3.00 SumMI=0.085489 PeakMI=0.003051 Phase=2
T=3.50 SumMI=0.054742 PeakMI=0.007182 Phase=2
T=4.00 SumMI=0.064200 PeakMI=0.032279 Phase=2
T=4.50 SumMI=0.042178 PeakMI=0.045002 Phase=2
T=5.00 SumMI=0.016571 PeakMI=0.042511 Phase=2
T=5.50 SumMI=0.011794 PeakMI=0.030344 Phase=2
T=6.00 SumMI=0.013654 PeakMI=0.023137 Phase=2
T=6.50 SumMI=0.012697 PeakMI=0.021829 Phase=2
T=7.00 SumMI=0.012895 PeakMI=0.019451 Phase=2
T=7.50 SumMI=0.014824 PeakMI=0.014653 Phase=2
T=8.00 SumMI=0.013444 PeakMI=0.020373 Phase=2
T=8.50 SumMI=0.010774 PeakMI=0.024808 Phase=2
T=9.00 SumMI=0.009408 PeakMI=0.027156 Phase=2
