edge	angle_deg	verdict	pairing_error	rate_error
field	0.0000	Truly	2.931325E-014	3.573530E-015
frustration	0.0000	Soft	4.871289E-014	6.633583E-015
field	0.0057	Soft	4.000001E-009	4.000001E-009
frustration	0.0057	Hard	3.097521E-005	2.020188E-007
field	0.0115	Soft	1.600000E-008	1.600000E-008
frustration	0.0115	Hard	5.937543E-005	8.083774E-007
field	0.0286	Soft	9.999999E-008	9.999999E-008
frustration	0.0286	Hard	7.593796E-005	5.065713E-006
field	0.0573	Soft	3.999999E-007	3.999999E-007
frustration	0.0573	Hard	8.109959E-005	2.046170E-005
field	0.1146	Hard	1.599998E-006	1.599998E-006
frustration	0.1146	Hard	2.374265E-004	8.267733E-005
field	0.2865	Hard	9.999917E-006	9.999917E-006
frustration	0.2865	Hard	1.750050E-003	9.577652E-004
field	0.5000	Hard	3.046097E-005	3.046097E-005
frustration	0.5000	Hard	3.379057E-003	1.557471E-003
field	0.5730	Hard	3.999868E-005	3.999868E-005
frustration	0.5730	Hard	1.955666E-003	1.082286E-003
field	1.0000	Hard	1.218347E-004	1.218347E-004
frustration	1.0000	Hard	3.072507E-003	1.326767E-003
field	1.1459	Hard	1.599788E-004	1.599788E-004
frustration	1.1459	Hard	3.958178E-003	2.320289E-003
field	1.5000	Hard	2.740935E-004	2.740935E-004
frustration	1.5000	Hard	5.589252E-003	4.581190E-003
field	2.0000	Hard	4.871914E-004	4.871914E-004
frustration	2.0000	Hard	6.738826E-003	4.480094E-003
field	2.5000	Hard	7.610640E-004	7.610640E-004
frustration	2.5000	Hard	7.485209E-003	4.604365E-003
field	2.8648	Hard	9.991732E-004	9.991732E-004
frustration	2.8648	Hard	1.153735E-002	3.505631E-003
field	3.0000	Hard	1.095628E-003	1.095628E-003
frustration	3.0000	Hard	7.504192E-003	4.809665E-003
field	3.5000	Hard	1.490784E-003	1.490784E-003
frustration	3.5000	Hard	1.256627E-002	5.929495E-003
field	4.0000	Hard	1.946410E-003	1.946410E-003
frustration	4.0000	Hard	1.315076E-002	6.103899E-003
field	4.5000	Hard	2.462370E-003	2.462370E-003
frustration	4.5000	Hard	7.291342E-003	7.291342E-003
field	5.0000	Hard	3.038507E-003	3.038507E-003
frustration	5.0000	Hard	9.695335E-003	8.465521E-003
field	5.5000	Hard	3.674647E-003	3.674647E-003
frustration	5.5000	Hard	9.607537E-003	9.607537E-003
field	6.0000	Hard	4.370598E-003	4.370598E-003
frustration	6.0000	Hard	1.070503E-002	1.070503E-002
field	6.5000	Hard	5.126149E-003	5.126149E-003
frustration	6.5000	Hard	1.175119E-002	1.175119E-002
field	7.0000	Hard	5.941072E-003	5.941072E-003
frustration	7.0000	Hard	1.274354E-002	1.274354E-002
field	7.5000	Hard	6.815120E-003	6.815120E-003
frustration	7.5000	Hard	1.368263E-002	1.368263E-002
field	8.0000	Hard	7.748029E-003	7.748029E-003
frustration	8.0000	Hard	1.457100E-002	1.457100E-002
field	8.5000	Hard	8.739516E-003	8.739516E-003
frustration	8.5000	Hard	1.541232E-002	1.541232E-002
field	9.0000	Hard	9.789281E-003	9.789281E-003
frustration	9.0000	Hard	1.621076E-002	1.621076E-002
field	9.5000	Hard	1.089701E-002	1.089701E-002
frustration	9.5000	Hard	1.697057E-002	1.697057E-002
field	10.0000	Hard	1.206236E-002	1.206236E-002
frustration	10.0000	Hard	1.769584E-002	1.769584E-002
field	10.5000	Hard	1.328498E-002	1.328498E-002
frustration	10.5000	Hard	1.839035E-002	1.839035E-002
field	11.0000	Hard	1.456451E-002	1.456451E-002
frustration	11.0000	Hard	1.905746E-002	1.905746E-002
field	11.5000	Hard	1.590055E-002	1.590055E-002
frustration	11.5000	Hard	1.970010E-002	1.970010E-002
field	12.0000	Hard	1.729270E-002	1.729270E-002
frustration	12.0000	Hard	2.032079E-002	2.032079E-002
field	12.5000	Hard	1.874053E-002	1.874053E-002
frustration	12.5000	Hard	2.092163E-002	2.092163E-002
field	13.0000	Hard	2.024362E-002	2.024362E-002
frustration	13.0000	Hard	2.150437E-002	2.150437E-002
field	13.5000	Hard	2.180150E-002	2.180150E-002
frustration	13.5000	Hard	2.207045E-002	2.207045E-002
field	14.0000	Hard	2.341371E-002	2.341371E-002
frustration	14.0000	Hard	2.262100E-002	2.262100E-002
field	14.5000	Hard	2.507974E-002	2.507974E-002
frustration	14.5000	Hard	2.315696E-002	2.315696E-002
field	15.0000	Hard	2.679911E-002	2.679911E-002
frustration	15.0000	Hard	2.367906E-002	2.367906E-002
field	15.5000	Hard	2.857128E-002	2.857128E-002
frustration	15.5000	Hard	2.418788E-002	2.418788E-002
field	16.0000	Hard	3.039572E-002	3.039572E-002
frustration	16.0000	Hard	2.468390E-002	2.468390E-002
field	16.5000	Hard	3.227187E-002	3.227187E-002
frustration	16.5000	Hard	2.516747E-002	2.516747E-002
field	17.0000	Hard	3.419917E-002	3.419917E-002
frustration	17.0000	Hard	2.563892E-002	2.563892E-002
field	17.5000	Hard	3.617703E-002	3.617703E-002
frustration	17.5000	Hard	2.609848E-002	2.609848E-002
field	18.0000	Hard	3.820485E-002	3.820485E-002
frustration	18.0000	Hard	2.654638E-002	2.654638E-002
field	18.5000	Hard	4.028202E-002	4.028202E-002
frustration	18.5000	Hard	2.698279E-002	2.698279E-002
field	19.0000	Hard	4.240790E-002	4.240790E-002
frustration	19.0000	Hard	2.740786E-002	2.740786E-002
field	19.5000	Hard	4.458185E-002	4.458185E-002
frustration	19.5000	Hard	2.782171E-002	2.782171E-002
field	20.0000	Hard	4.680320E-002	4.680320E-002
frustration	20.0000	Hard	2.822446E-002	2.822446E-002
field	20.5000	Hard	4.907129E-002	4.907129E-002
frustration	20.5000	Hard	2.861619E-002	2.861619E-002
field	21.0000	Hard	5.138542E-002	5.138542E-002
frustration	21.0000	Hard	2.899698E-002	2.899698E-002
field	21.5000	Hard	5.374489E-002	5.374489E-002
frustration	21.5000	Hard	2.936687E-002	2.936687E-002
field	22.0000	Hard	5.614898E-002	5.614898E-002
frustration	22.0000	Hard	2.972590E-002	2.972590E-002
field	22.5000	Hard	8.535076E-002	5.859696E-002
frustration	22.5000	Hard	3.007409E-002	3.007409E-002
field	23.0000	Hard	8.472798E-002	6.108809E-002
frustration	23.0000	Hard	3.041146E-002	3.041146E-002
field	23.5000	Hard	8.409460E-002	6.362160E-002
frustration	23.5000	Hard	3.073798E-002	3.073798E-002
field	24.0000	Hard	8.345082E-002	6.619673E-002
frustration	24.0000	Hard	3.105365E-002	3.105365E-002
field	24.5000	Hard	8.279683E-002	6.881270E-002
frustration	24.5000	Hard	3.135842E-002	3.135842E-002
field	25.0000	Hard	8.213283E-002	7.146870E-002
frustration	25.0000	Hard	3.165225E-002	3.165225E-002
field	25.5000	Hard	8.145902E-002	7.416392E-002
frustration	25.5000	Hard	3.193510E-002	3.193510E-002
field	26.0000	Hard	8.077561E-002	7.689756E-002
frustration	26.0000	Hard	3.220691E-002	3.220691E-002
field	26.5000	Hard	1.601656E-001	7.966876E-002
frustration	26.5000	Hard	3.246762E-002	3.246762E-002
field	27.0000	Hard	1.206192E-001	8.247670E-002
frustration	27.0000	Hard	3.271716E-002	3.271716E-002
field	27.5000	Hard	1.213301E-001	8.532051E-002
frustration	27.5000	Hard	3.295547E-002	3.295547E-002
field	28.0000	Hard	1.220498E-001	8.819932E-002
frustration	28.0000	Hard	3.318248E-002	3.318248E-002
field	28.5000	Hard	1.227781E-001	9.111226E-002
frustration	28.5000	Hard	3.339814E-002	3.339814E-002
field	29.0000	Hard	1.235146E-001	9.405844E-002
frustration	29.0000	Hard	3.360238E-002	3.360238E-002
field	29.5000	Hard	1.242592E-001	9.703696E-002
frustration	29.5000	Hard	3.392150E-002	3.379516E-002
field	30.0000	Hard	1.250117E-001	1.000469E-001
frustration	30.0000	Hard	3.493183E-002	3.397643E-002
field	30.5000	Hard	1.257718E-001	1.030874E-001
frustration	30.5000	Hard	3.596271E-002	3.414616E-002
field	31.0000	Hard	1.265394E-001	1.061574E-001
frustration	31.0000	Hard	3.701431E-002	3.430432E-002
field	31.5000	Hard	1.273140E-001	1.092561E-001
frustration	31.5000	Hard	3.808677E-002	3.445091E-002
field	32.0000	Hard	1.280956E-001	1.123825E-001
frustration	32.0000	Hard	3.918022E-002	3.458594E-002
field	32.5000	Hard	1.288839E-001	1.155357E-001
frustration	32.5000	Hard	4.029477E-002	3.470941E-002
field	33.0000	Hard	1.296787E-001	1.187146E-001
frustration	33.0000	Hard	4.121688E-002	3.482137E-002
field	33.5000	Hard	1.304796E-001	1.219184E-001
frustration	33.5000	Hard	4.237506E-002	3.492187E-002
field	34.0000	Hard	1.374270E-001	1.251459E-001
frustration	34.0000	Hard	4.355442E-002	3.501098E-002
field	34.5000	Hard	1.320991E-001	1.283964E-001
frustration	34.5000	Hard	4.475498E-002	3.508879E-002
field	35.0000	Hard	1.329172E-001	1.316687E-001
frustration	35.0000	Hard	4.618682E-002	3.515540E-002
field	35.5000	Hard	1.349618E-001	1.325191E-001
frustration	35.5000	Hard	4.721969E-002	3.521095E-002
field	36.0000	Hard	1.382748E-001	1.308626E-001
frustration	36.0000	Hard	4.848377E-002	3.525557E-002
field	36.5000	Hard	1.416066E-001	1.291967E-001
frustration	36.5000	Hard	4.976894E-002	3.528945E-002
field	37.0000	Hard	1.449563E-001	1.275219E-001
frustration	37.0000	Hard	5.107508E-002	3.531275E-002
field	37.5000	Hard	1.483227E-001	1.258386E-001
frustration	37.5000	Hard	5.240211E-002	3.532570E-002
field	38.0000	Hard	1.517049E-001	1.241475E-001
frustration	38.0000	Hard	5.374987E-002	3.532852E-002
field	38.5000	Hard	1.551018E-001	1.224491E-001
frustration	38.5000	Hard	5.511820E-002	3.532145E-002
field	39.0000	Hard	1.585125E-001	1.207438E-001
frustration	39.0000	Hard	5.650692E-002	3.530475E-002
field	39.5000	Hard	1.619357E-001	1.190321E-001
