scenario,initial,t,SumMI,Purity,MI_01,MI_12,MI_23,MI_34
"1 Mean-T2, No DD",01010,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"1 Mean-T2, No DD",01010,0.5,1.339613018240509,0.9846091689204901,0.32118257539370254,0.34758871079734877,0.34903008474468544,0.3218116473047723
"1 Mean-T2, No DD",01010,1.0,1.429237200371108,0.9628359928413711,0.3726874614867093,0.3410779754678266,0.3418845009503557,0.37358726246621643
"1 Mean-T2, No DD",01010,1.5,0.8601762102922779,0.9449263102737537,0.27699807038508095,0.15360219952559273,0.15292719783642972,0.27664874254517446
"1 Mean-T2, No DD",01010,2.0,1.388495255026864,0.9261293079308222,0.18504365291999947,0.5100149077454619,0.5083108595727104,0.18512583478869238
"1 Mean-T2, No DD",01010,2.5,1.6499680219114468,0.9071515696858676,0.28845084332108195,0.5357763003204281,0.5356928245337593,0.29004805373617737
"1 Mean-T2, No DD",01010,3.0,1.594715714581279,0.893489141666433,0.5763160716881148,0.21924432673355976,0.21928223694959104,0.5798730792100133
"1 Mean-T2, No DD",01010,3.5,1.4531660901741241,0.8737150943751393,0.21303850179311756,0.5136460976824888,0.5129457337251793,0.2135357569733385
"1 Mean-T2, No DD",01010,4.0,1.7028663869371923,0.8545476825702285,0.5164081651479566,0.33740281928595683,0.3344820198800238,0.514573382623255
"1 Mean-T2, No DD",01010,4.5,2.1573837097569335,0.843707632620077,0.5712828522838438,0.5075949243695348,0.5072396162785267,0.571266316825028
"1 Mean-T2, No DD",01010,5.0,1.3261762649787412,0.8267060138868509,0.11884738404012651,0.545194527162904,0.5431949126644195,0.11893944111129118
"2 Mean-T2, Uniform DD",01010,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"2 Mean-T2, Uniform DD",01010,0.5,1.3448684308051502,0.9922648563787166,0.32159624821436306,0.3503149498599263,0.35104279853092635,0.3219144341999345
"2 Mean-T2, Uniform DD",01010,1.0,1.4433903062062967,0.9812064937706639,0.37646375006743327,0.34480032599158017,0.3452071957765581,0.37691903437072516
"2 Mean-T2, Uniform DD",01010,1.5,0.8595623409515458,0.9720018068596682,0.27862498560893156,0.151422561116354,0.15107200444581448,0.2784427897804458
"2 Mean-T2, Uniform DD",01010,2.0,1.429054788629184,0.9622365708559926,0.18627928325379317,0.5286726518732849,0.5277849324204591,0.1863179210816468
"2 Mean-T2, Uniform DD",01010,2.5,1.732685073025894,0.9522639801702156,0.29842629361300665,0.5674819852305886,0.5674470322132299,0.2993297619690689
"2 Mean-T2, Uniform DD",01010,3.0,1.6505839015121357,0.9450024714679112,0.5985091812217358,0.22581159746281587,0.22585283801759148,0.6004102848099926
"2 Mean-T2, Uniform DD",01010,3.5,1.523829738004694,0.9343800284784997,0.21589448275523937,0.5460976240986457,0.5456818293059873,0.21615580184482153
"2 Mean-T2, Uniform DD",01010,4.0,1.8110144386102454,0.9239531401371325,0.5485126881239473,0.3583394701792897,0.35670031979420913,0.5474619605127993
"2 Mean-T2, Uniform DD",01010,4.5,2.3265598606559816,0.9179937926523735,0.6085256728063242,0.5548403990332056,0.5546778151312395,0.6085159736852126
