scenario,t,SumMI,Purity,MI_01,MI_12,MI_23,MI_34,CPsi_01,CPsi_12
"1 Mean-T2, No DD",0.0,3.8441118045779016e-15,0.9999999999999991,9.610279511444754e-16,9.610279511444754e-16,9.610279511444754e-16,9.610279511444754e-16,0.9999999999999978,0.9999999999999978
"1 Mean-T2, No DD",0.5,0.0002624534180303284,0.953033318047469,7.687092691988084e-05,0.00012390884097258914,5.899450055338318e-05,2.6791495844752378e-06,0.9634478802160267,0.9646870578325116
"1 Mean-T2, No DD",1.0,0.0003226562948890621,0.9087020627756912,4.3350622677684747e-07,0.00014134311593311244,0.00013917049491210531,4.170917781706751e-05,0.9318061866144176,0.9347054287190025
"1 Mean-T2, No DD",1.5,0.0005439210915875181,0.8668386736088092,3.119547728774874e-05,0.0001935548636964879,0.00021221060939238812,0.00010696014121089337,0.9038336841946794,0.9061253969605843
"1 Mean-T2, No DD",2.0,0.0004633514234040348,0.8272834051568247,6.286306182257118e-05,0.00012290068115261565,0.00011572993683472976,0.0001618577435941182,0.8777612101014188,0.8803413739179821
"1 Mean-T2, No DD",2.5,0.0003007617214629277,0.789897192287601,2.698431659703404e-05,4.783649222439568e-05,9.574298446368701e-05,0.00013019792817781095,0.8508641907353929,0.8525996847513114
"1 Mean-T2, No DD",3.0,0.0001481424650123242,0.7545568603338746,1.0726431892149613e-06,3.8142244761008026e-05,5.890191005564205e-05,5.002566700645916e-05,0.8233926062715509,0.8250802226863905
"1 Mean-T2, No DD",3.5,0.0001457816524897959,0.7211374496943448,1.0671243134363628e-05,5.6176992156264927e-05,5.39026086443517e-05,2.5030808554815653e-05,0.7979243831311358,0.7995925730574159
"1 Mean-T2, No DD",4.0,0.00022426653250906536,0.6895213670816349,1.833694317066037e-05,0.0001174118767189869,7.18365296115131e-05,1.6681183007904998e-05,0.7750293284684483,0.7751122986005758
"1 Mean-T2, No DD",4.5,0.00022752395457303898,0.6595934348105588,2.167964653632115e-05,0.00011890356090127341,7.756435077521662e-05,9.376396360227801e-06,0.7546976750568407,0.7539807509264329
"1 Mean-T2, No DD",5.0,0.00016065472646020762,0.6312503698188692,2.1155577267450987e-05,6.546020609210501e-05,5.616112692041764e-05,1.7877816180233985e-05,0.7344387774731279,0.7320519446105628
"2 Mean-T2, Uniform DD",0.0,3.8441118045779016e-15,0.9999999999999991,9.610279511444754e-16,9.610279511444754e-16,9.610279511444754e-16,9.610279511444754e-16,0.9999999999999978,0.9999999999999978
"2 Mean-T2, Uniform DD",0.5,0.00013211090413261378,0.9761746382840397,3.867753267908225e-05,6.240077177132458e-05,2.9689154763819225e-05,1.3434449183877262e-06,0.9815183966873492,0.9821511081305871
