N,topo,Q,pc,pr,dn,route,frozen,imMax,nXy,rate,rigidity
3,chain,0.5,1,1,0,UnfreezingSeEp,1,1.094590822e-15,0.064585653,0.258342613,0.935414347
3,chain,0.565304,1,1,0,UnfreezingSeEp,1,2.627585363e-17,0.083367313,0.29494664,0.916632687
3,chain,0.639138,1,1,0,UnfreezingSeEp,1,2.121653864e-17,0.107951085,0.337802083,0.892048915
3,chain,0.722615,1,1,0,UnfreezingSeEp,1,7.150430439e-17,0.140399093,0.388586111,0.859600907
3,chain,0.816995,1,1,0,UnfreezingSeEp,1,8.300720379e-17,0.183752709,0.449825823,0.816247291
3,chain,0.923702,1,1,0,UnfreezingSeEp,1,2.146966643e-16,0.242776345,0.525659674,0.757223655
3,chain,1.044345,1,1,0,UnfreezingSeEp,1,5.520000163e-17,0.325706567,0.623752743,0.674293433
3,chain,1.180746,1,1,0,UnfreezingSeEp,1,3.51645428e-16,0.449618526,0.761584,0.550381474
3,chain,1.334961,1,1,0,UnfreezingSeEp,1,3.259421811e-16,0.66994095,1.003685844,0.33005905
3,chain,1.509319,1,1,0,UnfreezingSeEp,0,4.94072587e-01,1,1.325100856,0.349362077
3,chain,1.706449,1,1,0,UnfreezingSeEp,0,7.914285657e-01,1,1.172024243,0.559624506
3,chain,1.929327,0,1,1,UnfreezingSeEp,0,1.414213562e+00,1,1.036631151,1
3,chain,2.181313,1,1,0,UnfreezingSeEp,0,1.076723421e+00,1,0.916878767,0.761358433
3,chain,2.466212,0,1,1,UnfreezingSeEp,0,1.414213562e+00,1,0.810960266,1
3,chain,2.788321,1,1,0,UnfreezingSeEp,0,1.218816196e+00,1,0.717277547,0.861833197
3,chain,3.1525,1,1,0,UnfreezingSeEp,0,1.263928365e+00,1,0.634417124,0.893732318
3,chain,3.564244,0,1,1,UnfreezingSeEp,0,1.414213562e+00,1,0.561128797,1
3,chain,4.029766,1,1,0,UnfreezingSeEp,0,1.324265672e+00,1,0.496306791,0.936397237
3,chain,4.556088,0,1,1,UnfreezingSeEp,0,1.414213562e+00,1,0.43897307,1
3,chain,5.151153,0,1,1,UnfreezingSeEp,0,1.414213562e+00,1,0.388262582,1
3,chain,5.823939,0,1,1,UnfreezingSeEp,0,1.414213562e+00,1,0.343410206,1
3,chain,6.584596,1,1,0,UnfreezingSeEp,0,1.381210517e+00,1,0.30373921,0.976663323
3,chain,7.444602,1,1,0,UnfreezingSeEp,0,1.388461962e+00,1,0.268651036,0.981790869
3,chain,8.416932,1,1,0,UnfreezingSeEp,0,1.394108499e+00,1,0.237616273,0.985783573
3,chain,9.516257,1,1,0,UnfreezingSeEp,0,1.398509911e+00,1,0.210166668,0.988895842
3,chain,10.759163,0,1,1,UnfreezingSeEp,0,1.414213562e+00,1,0.185888062,1
3,chain,12.164404,0,1,1,UnfreezingSeEp,1,5.366800754e-18,1,0.164414138,1
3,chain,13.753182,1,1,0,UnfreezingSeEp,0,1.406717016e+00,1,0.145420898,0.994699141
3,chain,15.549467,1,1,0,UnfreezingSeEp,0,1.408352385e+00,1,0.12862177,0.995855522
3,chain,17.580364,0,1,1,UnfreezingSeEp,0,1.414213562e+00,1,0.11376329,1
3,chain,19.876513,0,1,1,UnfreezingSeEp,0,1.414213562e+00,1,0.100621272,1
3,chain,22.472559,0,1,1,UnfreezingSeEp,0,1.414213562e+00,1,0.088997429,1
3,chain,25.407672,0,1,1,UnfreezingSeEp,0,1.414213562e+00,1,0.078716382,1
3,chain,28.726136,0,1,1,UnfreezingSeEp,0,1.414213562e+00,1,0.069623008,1
3,chain,32.478021,0,1,1,UnfreezingSeEp,0,1.414213562e+00,1,0.061580108,1
3,chain,36.719934,0,1,1,UnfreezingSeEp,0,1.414213562e+00,1,0.054466329,1
3,chain,41.515878,1,1,0,UnfreezingSeEp,0,1.413392809e+00,1,0.048174339,0.99941964
3,chain,46.938215,1,1,0,UnfreezingSeEp,0,1.413571525e+00,1,0.042609204,0.999546011
3,chain,53.068756,1,1,0,UnfreezingSeEp,0,1.413711319e+00,1,0.037686958,0.99964486
3,chain,60,0,1,1,UnfreezingSeEp,0,1.414213562e+00,1,0.033333333,1
3,ring,0.5,1,1,0,FrozenLevelCrossing,1,7.838781707e-17,0.196606389,0.786425558,0.768497143
3,ring,0.565304,1,1,0,FrozenLevelCrossing,1,4.996003611e-16,0.254608048,0.900782164,0.737337469
3,ring,0.639138,1,1,0,FrozenLevelCrossing,1,7.771561172e-16,0.330709007,1.034859366,0.700830731
3,ring,0.722615,1,1,0,FrozenLevelCrossing,1,9.992007222e-16,0.430615725,1.191826005,0.627767977
3,ring,0.816995,1,1,0,FrozenLevelCrossing,1,2.220446049e-15,0.560102147,1.371127591,0.542234371
3,ring,0.923702,1,1,0,FrozenLevelCrossing,1,1.526153318e-15,0.71872012,1.556173789,0.480205181
3,ring,1.044345,1,1,0,FrozenLevelCrossing,1,1.207909448e-16,0.884968587,1.694781867,0.455997294
3,ring,1.180746,0,1,1,UnfreezingSeEp,0,1e+00,1,1.693844795,0.947974637
