N,topo,Qstar,Q,delta,signedDelta,imMax,rigidity,K,rate
4,chain,1.878584,1.874584,0.004,-0.004,5.568598177e-16,0.065648629,232.0324,1.011506261
4,chain,1.878584,1.874095,0.004489,-0.004489,6.852155214e-17,0.06939619,207.6485,1.007721789
4,chain,1.878584,1.873547,0.005037,-0.005037,2.967367865e-15,0.073372757,185.7506,1.003719309
4,chain,1.878584,1.872932,0.005652,-0.005652,1.436457333e-16,0.077591363,166.1014,0.99948795
4,chain,1.878584,1.872242,0.006342,-0.006342,3.711102656e-16,0.082065803,148.4826,0.99501635
4,chain,1.878584,1.871467,0.007117,-0.007117,9.402478089e-16,0.086810671,132.6948,0.990292647
4,chain,1.878584,1.870598,0.007986,-0.007986,6.68309293e-16,0.0918414,118.5559,0.985304467
4,chain,1.878584,1.869622,0.008962,-0.008962,3.94393932e-16,0.097174309,105.9003,0.980038913
4,chain,1.878584,1.868528,0.010056,-0.010056,1.412624946e-15,0.102826638,94.5777,0.974482556
4,chain,1.878584,1.8673,0.011284,-0.011284,1.182127889e-15,0.108816602,84.452,0.968621424
4,chain,1.878584,1.865921,0.012663,-0.012663,2.134976333e-15,0.115163426,75.3999,0.962440993
4,chain,1.878584,1.864375,0.014209,-0.014209,2.956333475e-15,0.121887398,67.3104,0.955926183
4,chain,1.878584,1.862639,0.015945,-0.015945,2.315686507e-15,0.129009908,60.0833,0.949061346
4,chain,1.878584,1.860692,0.017892,-0.017892,1.636729347e-15,0.136553494,53.6283,0.941830264
4,chain,1.878584,1.858506,0.020078,-0.020078,7.27982318e-16,0.144541886,47.8644,0.934216144
4,chain,1.878584,1.856054,0.02253,-0.02253,1.29172751e-15,0.153000044,42.7186,0.926201607
4,chain,1.878584,1.853302,0.025282,-0.025282,1.296470277e-15,0.161954197,38.1255,0.91776869
4,chain,1.878584,1.850215,0.028369,-0.028369,1.134512415e-15,0.171431877,34.0265,0.908898838
4,chain,1.878584,1.84675,0.031834,-0.031834,1.942890293e-16,0.181461943,30.3689,0.899572898
4,chain,1.878584,1.842861,0.035723,-0.035723,1.283695372e-15,0.192074601,27.1057,0.889771111
4,chain,1.878584,1.838498,0.040086,-0.040086,5.734851379e-16,0.203301415,24.1946,0.879473106
4,chain,1.878584,1.833602,0.044982,-0.044982,1.326371417e-15,0.2151753,21.5981,0.868657885
4,chain,1.878584,1.828108,0.050476,-0.050476,1.670198583e-16,0.227730501,19.2822,0.857303809
4,chain,1.878584,1.821943,0.056641,-0.056641,6.734491596e-16,0.241002555,17.217,0.845388574
4,chain,1.878584,1.815025,0.063559,-0.063559,1.035097333e-15,0.255028217,15.3753,0.832889184
4,chain,1.878584,1.807262,0.071322,-0.071322,9.824832741e-16,0.269845366,13.7331,0.819781908
4,chain,1.878584,1.798551,0.080033,-0.080033,2.592900656e-16,0.285492859,12.269,0.806042232
4,chain,1.878584,1.788776,0.089808,-0.089808,1.560585712e-16,0.302010346,10.9637,0.791644791
4,chain,1.878584,1.777807,0.100777,-0.100777,1.849850014e-16,0.319438013,9.8,0.77656328
4,chain,1.878584,1.765498,0.113085,-0.113085,1.933337353e-16,0.337816255,8.7627,0.760770344
4,chain,1.878584,1.751686,0.126898,-0.126898,1.040065645e-15,0.357185255,7.8381,0.744237438
4,chain,1.878584,1.736187,0.142397,-0.142397,1.32943768e-15,0.377584443,7.0141,0.726934645
4,chain,1.878584,1.718795,0.159789,-0.159789,1.705374135e-16,0.399051808,6.2797,0.708830455
4,chain,1.878584,1.699279,0.179305,-0.179305,4.759455037e-16,0.421623038,5.6254,0.689891481
4,chain,1.878584,1.677379,0.201205,-0.201205,2.210838537e-16,0.445330425,5.0424,0.670082112
4,chain,1.878584,1.652804,0.22578,-0.22578,5.621320981e-16,0.470201499,4.5231,0.649364075
4,chain,1.878584,1.625228,0.253356,-0.253356,7.901575891e-17,0.4962573,4.0606,0.627695894
4,chain,1.878584,1.594283,0.284301,-0.284301,4.969564997e-16,0.523510215,3.6488,0.605032221
4,chain,1.878584,1.559559,0.319025,-0.319025,4.222028091e-17,0.551961252,3.2823,0.581322992
4,chain,1.878584,1.520594,0.35799,-0.35799,7.467893221e-16,0.581596593,2.9564,0.556512386
4,chain,1.878584,1.476869,0.401714,-0.401714,2.708801373e-16,0.612383243,2.6666,0.530537512
4,chain,1.878584,1.427805,0.450779,-0.450779,1.205796021e-15,0.644263503,2.4092,0.503326761
4,chain,1.878584,1.372747,0.505837,-0.505837,2.849958837e-15,0.677147922,2.1809,0.4747977
4,chain,1.878584,1.310965,0.567619,-0.567619,4.903185737e-16,0.710906271,1.9787,0.444854387
4,chain,1.878584,1.241637,0.636947,-0.636947,2.101803948e-15,0.745355922,1.8,0.413383881
4,chain,1.878584,1.163841,0.714743,-0.714743,3.795294447e-16,0.780246777,1.6426,0.380251665
4,chain,1.878584,1.076544,0.80204,-0.80204,1.635086363e-15,0.8152416,1.5046,0.34529552
4,chain,1.878584,0.978584,0.9,-0.9,1.655344497e-16,0.849890102,1.3844,0.308317216
4,chain,1.878584,1.882584,0.004,0.004,6.784266061e-02,0.063105053,251.1145,1.077778346
4,chain,1.878584,1.883072,0.004489,0.004489,7.200922731e-02,0.066979476,222.9033,1.077506639
4,chain,1.878584,1.883621,0.005037,0.005037,7.641111154e-02,0.071072485,197.9689,1.077201918
4,chain,1.878584,1.884236,0.005652,0.005652,8.106232329e-02,0.075397051,175.9103,1.076860192
4,chain,1.878584,1.884926,0.006342,0.006342,8.597756929e-02,0.079966783,156.3798,1.076476997
