N,topo,sector,Q,pc,pr,imMax,rigidity,rate
4,chain,0_1,0.6,0,1,1.618033989e+00,1,3.333333333
4,chain,0_1,0.69153,0,1,1.618033989e+00,1,2.892156863
4,chain,0_1,0.78305,0,1,1.618033989e+00,1,2.554112554
4,chain,0_1,0.87458,0,1,1.618033989e+00,1,2.286821705
4,chain,0_1,0.9661,0,1,1.618033989e+00,1,2.070175439
4,chain,0_1,1.05763,0,1,1.618033989e+00,1,1.891025641
4,chain,0_1,1.14915,0,1,1.618033989e+00,1,1.740412979
4,chain,0_1,1.24068,0,1,1.618033989e+00,1,1.612021858
4,chain,0_1,1.3322,0,1,1.618033989e+00,1,1.501272265
4,chain,0_1,1.42373,0,1,1.618033989e+00,1,1.404761905
4,chain,0_1,1.51525,0,1,1.618033989e+00,1,1.319910515
4,chain,0_1,1.60678,0,1,6.180339887e-01,1,1.244725738
4,chain,0_1,1.69831,0,1,6.180339887e-01,1,1.177644711
4,chain,0_1,1.78983,0,1,1.618033989e+00,1,1.117424242
4,chain,0_1,1.88136,0,1,1.618033989e+00,1,1.063063063
4,chain,0_1,1.97288,0,1,6.180339887e-01,1,1.013745704
4,chain,0_1,2.06441,0,1,1.618033989e+00,1,0.968801314
4,chain,0_1,2.15593,0,1,1.618033989e+00,1,0.927672956
4,chain,0_1,2.24746,0,1,1.618033989e+00,1,0.889894419
4,chain,0_1,2.33898,0,1,6.180339887e-01,1,0.855072464
4,chain,0_1,2.43051,0,1,1.618033989e+00,1,0.822873082
4,chain,0_1,2.52203,0,1,1.618033989e+00,1,0.793010753
4,chain,0_1,2.61356,0,1,1.618033989e+00,1,0.765239948
4,chain,0_1,2.70508,0,1,1.618033989e+00,1,0.739348371
4,chain,0_1,2.79661,0,1,1.618033989e+00,1,0.715151515
4,chain,0_1,2.88814,0,1,1.618033989e+00,1,0.692488263
4,chain,0_1,2.97966,0,1,6.180339887e-01,1,0.671217292
4,chain,0_1,3.07119,0,1,1.618033989e+00,1,0.651214128
4,chain,0_1,3.16271,0,1,1.618033989e+00,1,0.632368703
4,chain,0_1,3.25424,0,1,1.618033989e+00,1,0.614583333
4,chain,0_1,3.34576,0,1,1.618033989e+00,1,0.597771023
4,chain,0_1,3.43729,0,1,1.618033989e+00,1,0.581854043
4,chain,0_1,3.52881,0,1,6.180339887e-01,1,0.566762728
4,chain,0_1,3.62034,0,1,1.618033989e+00,1,0.552434457
4,chain,0_1,3.71186,0,1,6.180339887e-01,1,0.538812785
4,chain,0_1,3.80339,0,1,1.618033989e+00,1,0.525846702
4,chain,0_1,3.89492,0,1,1.618033989e+00,1,0.513489991
