# two-coast protection landscape, recomputed from below by simulations/two_coast_sweep.py
# N=4 gamma=0.05 sigma=0.2 Z-dephasing on every site, no bond terms
# field:       H(theta) = sum_l (cos theta X_l + sin theta Z_l)
# frustration: H(phi) = sum_w (cos phi XIX + sin phi XXX + XXY + YXX), 3-site windows
# pairing_true = optimal (bottleneck) worst-partner distance for lambda -> -lambda-2sigma
# rate_error / freq_error = the same test on the real / imaginary parts alone
# verdict = the C# classifier's (greedy metric, threshold 1e-6), carried over from simulations/results/tilt_sweep_csharp.tsv
# angle_deg is that file's grid, rounded to 4 decimals; nine small angles are a radian
#   ladder (1e-4 to 5e-2 rad) and were evaluated at their exact value, not the rounded one
# the two angle-0 rows are the protected point: every column there is eigensolver noise
edge	angle_deg	verdict	pairing_true	rate_error	freq_error
field	0.0000	Truly	1.954631E-14	4.107825E-15	1.953993E-14
field	0.0057	Soft	4.000000E-09	3.999999E-09	3.552714E-14
field	0.0115	Soft	1.600000E-08	1.600000E-08	3.641532E-14
field	0.0286	Soft	9.999999E-08	9.999999E-08	2.664535E-14
field	0.0573	Soft	3.999999E-07	3.999999E-07	1.909584E-14
field	0.1146	Hard	1.599998E-06	1.599998E-06	1.421085E-14
field	0.2865	Hard	9.999917E-06	9.999917E-06	2.309264E-14
field	0.5000	Hard	3.046097E-05	3.046097E-05	2.842171E-14
field	0.5730	Hard	3.999868E-05	3.999868E-05	5.062617E-14
field	1.0000	Hard	1.218347E-04	1.218347E-04	2.309264E-14
field	1.1459	Hard	1.599788E-04	1.599788E-04	2.708944E-14
field	1.5000	Hard	2.740935E-04	2.740935E-04	2.042810E-14
field	2.0000	Hard	4.871914E-04	4.871914E-04	3.286260E-14
field	2.5000	Hard	7.610640E-04	7.610640E-04	2.575717E-14
field	2.8648	Hard	9.991732E-04	9.991732E-04	3.019807E-14
field	3.0000	Hard	1.095628E-03	1.095628E-03	2.486900E-14
field	3.5000	Hard	1.490784E-03	1.490784E-03	3.463896E-14
field	4.0000	Hard	1.946410E-03	1.946410E-03	5.151435E-14
field	4.5000	Hard	2.462370E-03	2.462370E-03	2.486900E-14
field	5.0000	Hard	3.038507E-03	3.038507E-03	4.973799E-14
field	5.5000	Hard	3.674647E-03	3.674647E-03	2.753353E-14
field	6.0000	Hard	4.370598E-03	4.370598E-03	1.865175E-14
field	6.5000	Hard	5.126149E-03	5.126149E-03	2.575717E-14
field	7.0000	Hard	5.941072E-03	5.941072E-03	2.664535E-14
field	7.5000	Hard	6.815120E-03	6.815120E-03	1.176836E-14
field	8.0000	Hard	7.748029E-03	7.748029E-03	3.108624E-14
field	8.5000	Hard	8.739516E-03	8.739516E-03	3.907985E-14
field	9.0000	Hard	9.789281E-03	9.789281E-03	2.353673E-14
field	9.5000	Hard	1.089701E-02	1.089701E-02	2.664535E-14
field	10.0000	Hard	1.206236E-02	1.206236E-02	3.019807E-14
field	10.5000	Hard	1.328498E-02	1.328498E-02	2.930989E-14
field	11.0000	Hard	1.456451E-02	1.456451E-02	3.375078E-14
field	11.5000	Hard	1.590055E-02	1.590055E-02	1.953993E-14
field	12.0000	Hard	1.729270E-02	1.729270E-02	1.421085E-14
field	12.5000	Hard	1.874053E-02	1.874053E-02	4.263256E-14
field	13.0000	Hard	2.024362E-02	2.024362E-02	2.930989E-14
field	13.5000	Hard	2.180150E-02	2.180150E-02	2.309264E-14
field	14.0000	Hard	2.341371E-02	2.341371E-02	2.042810E-14
field	14.5000	Hard	2.507974E-02	2.507974E-02	2.575717E-14
field	15.0000	Hard	2.679911E-02	2.679911E-02	3.730349E-14
field	15.5000	Hard	2.857128E-02	2.857128E-02	2.309264E-14
field	16.0000	Hard	3.039572E-02	3.039572E-02	2.220446E-14
field	16.5000	Hard	3.227187E-02	3.227187E-02	2.930989E-14
field	17.0000	Hard	3.419917E-02	3.419917E-02	4.529710E-14
field	17.5000	Hard	3.617703E-02	3.617703E-02	5.684342E-14
field	18.0000	Hard	3.820485E-02	3.820485E-02	1.421085E-14
field	18.5000	Hard	4.028202E-02	4.028202E-02	1.154632E-14
field	19.0000	Hard	4.240790E-02	4.240790E-02	3.552714E-14
field	19.5000	Hard	4.458185E-02	4.458185E-02	1.376677E-14
field	20.0000	Hard	4.680320E-02	4.680320E-02	1.687539E-14
field	20.5000	Hard	4.907129E-02	4.907129E-02	2.930989E-14
field	21.0000	Hard	5.138542E-02	5.138542E-02	2.664535E-14
field	21.5000	Hard	5.374489E-02	5.374489E-02	1.332268E-14
field	22.0000	Hard	5.614898E-02	5.614898E-02	2.842171E-14
field	22.5000	Hard	5.859696E-02	5.859696E-02	2.842171E-14
field	23.0000	Hard	6.108809E-02	6.108809E-02	3.819167E-14
field	23.5000	Hard	6.362160E-02	6.362160E-02	2.042810E-14
field	24.0000	Hard	6.619673E-02	6.619673E-02	1.421085E-14
field	24.5000	Hard	6.881270E-02	6.881270E-02	1.243450E-14
field	25.0000	Hard	7.146870E-02	7.146870E-02	1.243450E-14
field	25.5000	Hard	7.416392E-02	7.416392E-02	1.643130E-14
field	26.0000	Hard	7.689756E-02	7.689756E-02	1.598721E-14
field	26.5000	Hard	7.966876E-02	7.966876E-02	2.930989E-14
field	27.0000	Hard	8.247670E-02	8.247670E-02	2.398082E-14
field	27.5000	Hard	8.532051E-02	8.532051E-02	3.463896E-14
field	28.0000	Hard	8.819932E-02	8.819932E-02	2.398082E-14
field	28.5000	Hard	9.111226E-02	9.111226E-02	2.220446E-14
field	29.0000	Hard	9.405844E-02	9.405844E-02	2.930989E-14
field	29.5000	Hard	9.703696E-02	9.703696E-02	3.819167E-14
field	30.0000	Hard	1.000469E-01	1.000469E-01	2.042810E-14
field	30.5000	Hard	1.030874E-01	1.030874E-01	3.730349E-14
field	31.0000	Hard	1.061574E-01	1.061574E-01	2.842171E-14
field	31.5000	Hard	1.092561E-01	1.092561E-01	1.421085E-14
field	32.0000	Hard	1.123825E-01	1.123825E-01	1.509903E-14
field	32.5000	Hard	1.155357E-01	1.155357E-01	1.110223E-14
field	33.0000	Hard	1.187146E-01	1.187146E-01	4.352074E-14
field	33.5000	Hard	1.219184E-01	1.219184E-01	1.953993E-14
field	34.0000	Hard	1.251459E-01	1.251459E-01	1.421085E-14
field	34.5000	Hard	1.283964E-01	1.283964E-01	2.220446E-14
field	35.0000	Hard	1.316687E-01	1.316687E-01	1.865175E-14
field	35.5000	Hard	1.349618E-01	1.325191E-01	1.421085E-14
field	36.0000	Hard	1.382748E-01	1.308626E-01	2.309264E-14
field	36.5000	Hard	1.416066E-01	1.291967E-01	3.730349E-14
