==============================================================================
THE TWO SOURCES OF F153, AS ONE ANTILINEAR ENTRY-WISE IDENTITY
==============================================================================

  (*)  L[m i, m j] = -conj(L[i,j]) - c*delta_ij     compared with == 0.0

SOURCE 1  complement of a leg whose index is N/2, c = 2*sigma. Both legs are
  swept. It must hold OFF the locus and on NON-pinned blocks.

   N  p  q   dim  leg    D     J   prof  pinned    (*)      spec  lin+gauge
   4  0  2     6  bra  0.0  1.25  locus    True   True   9.1e-16  0.000e+00
   4  1  2    24  bra  0.0  1.25  locus   False   True   2.4e-15  0.000e+00
   4  2  2    36  bra  0.0  1.25  locus   False   True   2.9e-15  0.000e+00
   4  3  2    24  bra  0.0  1.25  locus   False   True   2.9e-15  0.000e+00
   4  4  2     6  bra  0.0  1.25  locus    True   True   1.2e-15  0.000e+00
   4  2  0     6  ket  0.0  1.25  locus    True   True   9.1e-16  0.000e+00
   4  2  1    24  ket  0.0  1.25  locus   False   True   4.3e-15  0.000e+00
   4  2  3    24  ket  0.0  1.25  locus   False   True   1.6e-15  0.000e+00
   4  2  4     6  ket  0.0  1.25  locus    True   True   1.2e-15  0.000e+00
   4  0  2     6  bra  0.0   1.3  locus    True   True   6.2e-16  0.000e+00
   4  1  2    24  bra  0.0   1.3  locus   False   True   3.0e-15  0.000e+00
   4  2  2    36  bra  0.0   1.3  locus   False   True   4.0e-15  0.000e+00
   4  3  2    24  bra  0.0   1.3  locus   False   True   2.1e-15  0.000e+00
   4  4  2     6  bra  0.0   1.3  locus    True   True   7.3e-16  0.000e+00
   4  2  0     6  ket  0.0   1.3  locus    True   True   6.2e-16  0.000e+00
   4  2  1    24  ket  0.0   1.3  locus   False   True   3.1e-15  0.000e+00
   4  2  3    24  ket  0.0   1.3  locus   False   True   3.2e-15  0.000e+00
   4  2  4     6  ket  0.0   1.3  locus    True   True   7.3e-16  0.000e+00
   4  0  2     6  bra  1.0  1.25  locus    True   True   1.1e-15  1.500e+01
   4  1  2    24  bra  1.0  1.25  locus   False   True   3.1e-15  1.000e+01
   4  2  2    36  bra  1.0  1.25  locus   False   True   2.6e-15  1.000e+01
   4  3  2    24  bra  1.0  1.25  locus   False   True   2.2e-15  1.000e+01
   4  4  2     6  bra  1.0  1.25  locus    True   True   8.2e-16  1.500e+01
   4  2  0     6  ket  1.0  1.25  locus    True   True   1.1e-15  1.500e+01
   4  2  1    24  ket  1.0  1.25  locus   False   True   1.9e-15  1.000e+01
   4  2  3    24  ket  1.0  1.25  locus   False   True   1.5e-15  1.000e+01
   4  2  4     6  ket  1.0  1.25  locus    True   True   8.2e-16  1.500e+01
   4  0  2     6  bra  1.0   1.3  locus    True   True   4.9e-16  1.560e+01
   4  1  2    24  bra  1.0   1.3  locus   False   True   3.2e-15  1.040e+01
   4  2  2    36  bra  1.0   1.3  locus   False   True   2.7e-15  1.040e+01
   4  3  2    24  bra  1.0   1.3  locus   False   True   1.3e-15  1.040e+01
   4  4  2     6  bra  1.0   1.3  locus    True   True   5.7e-16  1.560e+01
   4  2  0     6  ket  1.0   1.3  locus    True   True   4.9e-16  1.560e+01
   4  2  1    24  ket  1.0   1.3  locus   False   True   1.3e-15  1.040e+01
   4  2  3    24  ket  1.0   1.3  locus   False   True   2.4e-15  1.040e+01
   4  2  4     6  ket  1.0   1.3  locus    True   True   5.7e-16  1.560e+01
   4  0  2     6  bra  2.0  1.25  locus    True   True   7.7e-16  3.000e+01
   4  1  2    24  bra  2.0  1.25  locus   False   True   2.7e-15  2.000e+01
   4  2  2    36  bra  2.0  1.25  locus   False   True   3.9e-15  2.000e+01
   4  3  2    24  bra  2.0  1.25  locus   False   True   1.8e-15  2.000e+01
   4  4  2     6  bra  2.0  1.25  locus    True   True   3.8e-16  3.000e+01
   4  2  0     6  ket  2.0  1.25  locus    True   True   7.7e-16  3.000e+01
   4  2  1    24  ket  2.0  1.25  locus   False   True   3.6e-15  2.000e+01
   4  2  3    24  ket  2.0  1.25  locus   False   True   3.1e-15  2.000e+01
   4  2  4     6  ket  2.0  1.25  locus    True   True   3.8e-16  3.000e+01
   4  0  2     6  bra  2.0   1.3  locus    True   True   1.8e-15  3.120e+01
   4  1  2    24  bra  2.0   1.3  locus   False   True   1.4e-15  2.080e+01
   4  2  2    36  bra  2.0   1.3  locus   False   True   2.5e-15  2.080e+01
   4  3  2    24  bra  2.0   1.3  locus   False   True   1.5e-15  2.080e+01
   4  4  2     6  bra  2.0   1.3  locus    True   True   3.7e-16  3.120e+01
   4  2  0     6  ket  2.0   1.3  locus    True   True   1.8e-15  3.120e+01
   4  2  1    24  ket  2.0   1.3  locus   False   True   1.9e-15  2.080e+01
   4  2  3    24  ket  2.0   1.3  locus   False   True   1.9e-15  2.080e+01
   4  2  4     6  ket  2.0   1.3  locus    True   True   3.7e-16  3.120e+01
   4  0  2     6  bra  0.0  1.25   free    True   True   7.7e-16  0.000e+00
   4  1  2    24  bra  0.0  1.25   free   False   True   1.3e-15  0.000e+00
   4  2  2    36  bra  0.0  1.25   free   False   True   3.1e-15  0.000e+00
   4  3  2    24  bra  0.0  1.25   free   False   True   3.3e-15  0.000e+00
   4  4  2     6  bra  0.0  1.25   free    True   True   7.7e-16  0.000e+00
   4  2  0     6  ket  0.0  1.25   free    True   True   7.7e-16  0.000e+00
   4  2  1    24  ket  0.0  1.25   free   False   True   3.2e-15  0.000e+00
